family,checkpoint,prompt,position,n_gens,mean_entropy,mean_violence,mean_procedural
olmo,rlvr,anger,25,10,1.1137428692358298,-0.002679526759311557,0.007535779848694801
olmo,rlvr,anger,49,10,1.603157414495945,0.00038714618422091006,0.05092559782788157
olmo,rlvr,love,0,10,2.907782554626465,-0.019687511026859283,0.019524406641721725
olmo,rlvr,love,5,10,1.6456894516944884,-0.04215473495423794,0.03960390780121088
olmo,rlvr,love,25,10,0.6365184498989038,0.015842749900184572,0.0003877462819218636
olmo,rlvr,love,49,10,0.8713562324024678,0.003590479982085526,0.04828246869146824
olmo,rlvr,sexual,0,10,4.521772384643555,0.012754056602716446,0.15303197503089905
olmo,rlvr,sexual,5,10,3.2202536050230264,-0.024951646709814666,0.019883786886930467
olmo,rlvr,sexual,25,10,1.8320258870720862,0.01468233736231923,0.026684067398309707
olmo,rlvr,sexual,49,10,1.3019250061684944,0.0194854405708611,0.03522183261811733
olmo,rlvr,violence,0,10,4.9669575691223145,-0.05929210036993027,0.08890864253044128
olmo,rlvr,violence,5,10,3.5699670016765594,-0.005091657862067223,0.012936548888683319
olmo,rlvr,violence,25,10,2.080036136507988,0.026991806086152793,-0.0016057358123362064
olmo,rlvr,violence,49,9,2.466500880817572,-0.028287570768346388,0.04124616407271889
olmo,rlvr,worker,0,10,3.503528594970703,-0.029886014759540558,0.3346529006958008
olmo,rlvr,worker,5,10,2.0873990284278987,-0.026102039497345686,0.2233846940100193
olmo,rlvr,worker,25,10,0.9002480624889359,-0.014356332551687955,0.01379126524552703
olmo,rlvr,worker,49,10,1.1783522938610986,-0.0372579683753429,0.038234061049297455
olmo,sft,anger,0,10,4.020381927490234,0.007790352217853069,0.02656320109963417
olmo,sft,anger,5,10,3.049260365962982,0.025579695403575898,-0.009720255061984063
olmo,sft,anger,25,10,1.9355446994304657,-0.0031588795594871045,-0.00865559559315443
olmo,sft,anger,49,8,2.1697197258472443,-0.008576600579544902,0.00621092101209797
olmo,sft,love,0,10,3.195148229598999,-0.01766103506088257,0.025074593722820282
olmo,sft,love,5,10,2.44135559797287,-0.02866843519732356,0.01603372097015381
olmo,sft,love,25,10,1.657769033545628,0.007107639126479626,0.013941155560314656
olmo,sft,love,49,9,1.9008741221494145,0.0045612330496725105,0.07519405583540599
olmo,sft,sexual,0,10,4.738554000854492,0.01423489861190319,0.157438725233078
olmo,sft,sexual,5,10,3.4829999089241026,-0.037360329553484915,0.028651384031400086
olmo,sft,sexual,25,10,2.2096242434145097,-0.038610761612653734,0.03664837721735239
olmo,sft,sexual,49,10,2.3464394269161857,-0.026570919924415647,0.03889210354536772
olmo,sft,violence,0,10,5.285430431365967,-0.057063713669776917,0.07834681868553162
olmo,sft,violence,5,10,2.643453586101532,-0.026021760143339633,-0.003519713878631592
olmo,sft,violence,25,10,3.003154081106186,0.0010011659003794193,-0.0041617659851908686
olmo,sft,violence,49,9,2.1365082412958145,0.00760913598868582,0.00037312419671151374
olmo,sft,worker,0,10,4.222386837005615,-0.021747775375843048,0.194818913936615
olmo,sft,worker,5,10,3.288000065088272,0.00875839004293084,0.07778002079576254
olmo,sft,worker,25,10,1.6173832486849278,-0.003643111325800419,0.07840290265157819
olmo,sft,worker,49,10,0.8071862814756287,-0.013886762456968427,0.08710602410137654
