step,family,raw_individual,raw_institution,raw_neutral,raw_inj0.002,raw_inj0.005,raw_inj0.01,raw_inj0.02,raw_inj0.05,raw_inj0.1,raw_inj0.2,unit_individual,unit_institution,unit_neutral,unit_inj0.002,unit_inj0.005,unit_inj0.01,unit_inj0.02,unit_inj0.05,unit_inj0.1,unit_inj0.2
base->superego,olmo-32b,0.08565666102485896,0.05039706650123884,-0.0022801965921710457,0.08588478635909093,0.08622697436043895,0.08679728769601897,0.08793791436717896,0.09135979438065904,0.09706292773645908,0.10846919444805923,0.2324962023441655,0.1390686943898914,-0.006430301317323312,0.23276998871411117,0.23318246554728098,0.23387538646745706,0.2352855695743048,0.23975876008693456,0.2480388656212739,0.26601087722319233
base->superego,olmo-hybrid,0.04804379910124371,0.04179051250517477,-0.0005178534384242681,0.04819405255053364,0.048419432724468525,0.048795066347693365,0.04954633359414302,0.05180013533349196,0.05555647156574021,0.06306914403023672,0.20693428165603164,0.2614044274263364,0.0012146724309952037,0.20706901519349838,0.20726910267037682,0.20759762333014306,0.20823867360115644,0.21007824119070032,0.21306698433546464,0.21932255605693304
base->superego,olmo-think,0.12462490415242268,0.04882015656075712,0.0007708473348685623,0.1249158143074393,0.12535217953996425,0.1260794549275058,0.12753400570258885,0.13189765802783807,0.1391704119032535,0.1537159196540843,0.37732074951826605,0.19923206495974086,0.008917440556943969,0.37731495438378837,0.37730314051986696,0.37727557035967624,0.3771938015611236,0.3767904435766245,0.3759013073375739,0.37463809583921925
base->superego,olmo-tiny,0.02452124643927098,0.03955920677185389,0.002052762055570554,0.02492536806166576,0.025531550495257918,0.02654185455124485,0.02856246266321874,0.03462428699914036,0.04472732755900976,0.06493340867874851,0.08125199932708825,0.1728156118123565,0.010574983207324968,0.08169644924177309,0.08235697071670557,0.08344272377624551,0.08556569042282247,0.09168503146000999,0.10172678980831218,0.12374151086111822
base->superego,olmoe,0.04181371117001786,0.04333559197947379,0.0014504258289668175,0.04232500968115924,0.04309195744787132,0.04437020372572478,0.04692669628143173,0.05459617394855253,0.0673786367270872,0.09294356228415658,0.14384613158193893,0.28933994034587435,0.009253353851964912,0.14692830035545051,0.15155818194674245,0.15928697354073706,0.17475474000088917,0.22054208148540275,0.29070793106070314,0.39086288685699094
base->superego,phi4,0.02268422251993415,-0.011498684222434113,-0.0009459199906593489,0.022911864799181222,0.02325332821805184,0.023822433916169523,0.02496064531240491,0.02837527950111103,0.03406633648228793,0.04544845044464169,0.16240154289997663,-0.07925498623544187,-0.008940492503961835,0.16387420847369563,0.16606516571479396,0.1696686631835097,0.17669568779128794,0.19635817636640404,0.2246655675239795,0.2672935383721428
base->superego,pythia,0.02090964880839837,0.0238747437596388,-0.00014477706084091563,0.02113700310344566,0.021478034546016586,0.022046420283634804,0.023183191758871236,0.026593506184580534,0.0322773635607627,0.04364507831312703,0.41345313947496515,0.44330905943423055,-0.003448340275179033,0.41601979434571046,0.41973843413550477,0.4255955203754209,0.43610412966716905,0.4596237556545508,0.48228876946857385,0.5039942982402327
base->superego,qwen,0.02448886313850232,0.042426992068415194,-0.0007729739851426675,0.024791433799150758,0.02524528979012343,0.026001716441744538,0.027514569744986766,0.03205312965471345,0.03961739617092457,0.05474592920334684,0.10361540485332217,0.28365065767554326,-0.0073325311818831,0.10655204790627924,0.11086983118277678,0.11784539816515087,0.13105236540333734,0.16576031749831535,0.20657543923838087,0.24626585464337866
base->superego,qwen-tiny,0.05340842906193885,0.037347565656775876,-0.0002580262288429732,0.053714329338537405,0.054173179753435254,0.05493793044493167,0.05646743182792447,0.061055935976902925,0.06870344289186699,0.08399845672179511,0.45638806288612344,0.27092320165917516,-0.0048149515222285074,0.4564878130637198,0.4566101769362536,0.4567446811240056,0.4567739005051139,0.4552941238577471,0.44931689663217683,0.43215383961929127
base->superego,qwen3,0.04514148775102209,0.04054429490004858,-0.0027078036153369376,0.04536313990594284,0.045695618138323936,0.046249748525625765,0.04735800930022944,0.05068279162404049,0.05622409549705886,0.06730670324309564,0.21515340827408813,0.17647370146869365,-0.01238570849198265,0.21569215033056147,0.21649223583435065,0.2178045380184157,0.22035130636522102,0.22739968500386973,0.23736984363663452,0.2519479425464601
