model,model_short,family,relation,org,prompt,n_gens,n_branches,branch_entropy,top_branch,top_branch_pct
LLM360/AmberSafe,AmberSafe,Amber,dpo_of,LLM360,neutral,100,14,1.579,Paris,0.74
NousResearch/Hermes-3-Llama-3.1-8B,Hermes-3-Llama-3.1-8B,Llama-3.1-8B,aligned_of,NousResearch,neutral,100,26,3.564,a,0.34
NousResearch/Nous-Hermes-2-Mistral-7B-DPO,Nous-Hermes-2-Mistral-7B-DPO,Mistral-7B-v0.1,dpo_of,NousResearch,neutral,100,28,3.595,Paris,0.37
Qwen/Qwen2.5-0.5B,Qwen2.5-0.5B,Qwen2.5-0.5B,base,Alibaba,neutral,100,35,4.116,Paris,0.3
Qwen/Qwen2.5-0.5B-Instruct,Qwen2.5-0.5B-Instruct,Qwen2.5-0.5B,aligned_of,Alibaba,neutral,87,28,3.963,Paris,0.299
allenai/OLMo-2-0425-1B,OLMo-2-0425-1B,OLMo-2-0425-1B,base,Allen AI,neutral,100,20,1.938,Paris,0.01
allenai/OLMo-2-0425-1B-DPO,OLMo-2-0425-1B-DPO,OLMo-2-0425-1B,dpo_of,Allen AI,neutral,100,5,0.322,Paris,0.96
allenai/OLMo-2-0425-1B-Instruct,OLMo-2-0425-1B-Instruct,OLMo-2-0425-1B,rlvr_of,Allen AI,neutral,100,6,0.402,Paris,0.01
allenai/OLMo-2-0425-1B-SFT,OLMo-2-0425-1B-SFT,OLMo-2-0425-1B,sft_of,Allen AI,neutral,100,8,0.674,Paris,0.91
01-ai/Yi-1.5-9B-Chat,Yi-1.5-9B-Chat,Yi-9B,aligned_of,01.AI,contradiction,100,52,5.014,be,0.19
01-ai/Yi-9B,Yi-9B,Yi-9B,base,01.AI,contradiction,100,55,5.218,be,0.13
EleutherAI/pythia-6.9b,pythia-6.9b,pythia-6.9b,base,EleutherAI,contradiction,100,42,4.606,kill,0.23
HuggingFaceH4/mistral-7b-sft-beta,mistral-7b-sft-beta,Mistral-7B-v0.1,sft_of,HuggingFace,contradiction,100,41,4.277,be,0.26
HuggingFaceH4/zephyr-7b-beta,zephyr-7b-beta,Mistral-7B-v0.1,dpo_of,HuggingFace,contradiction,100,31,3.853,kill,0.24
HuggingFaceTB/SmolLM2-360M,SmolLM2-360M,SmolLM2-360M,base,HuggingFace,contradiction,100,51,5.155,be,0.15
HuggingFaceTB/SmolLM2-360M-Instruct,SmolLM2-360M-Instruct,SmolLM2-360M,aligned_of,,contradiction,100,47,4.895,be,0.18
HuggingFaceTB/SmolLM3-3B,SmolLM3-3B,SmolLM3-3B-Base,aligned_of,,contradiction,100,39,4.407,kill,0.2
HuggingFaceTB/SmolLM3-3B-Base,SmolLM3-3B-Base,SmolLM3-3B-Base,base,HuggingFace,contradiction,100,58,5.205,kill,0.18
LLM360/Amber,Amber,Amber,base,LLM360,contradiction,100,45,4.664,kill,0.17
LLM360/AmberChat,AmberChat,Amber,sft_of,LLM360,contradiction,100,41,4.503,be,0.26
LLM360/AmberSafe,AmberSafe,Amber,dpo_of,LLM360,contradiction,100,51,5.14,make,0.13
NousResearch/Hermes-3-Llama-3.1-8B,Hermes-3-Llama-3.1-8B,Llama-3.1-8B,aligned_of,NousResearch,contradiction,100,46,5.037,be,0.09
NousResearch/Nous-Hermes-2-Mistral-7B-DPO,Nous-Hermes-2-Mistral-7B-DPO,Mistral-7B-v0.1,dpo_of,NousResearch,contradiction,100,41,4.41,kill,0.2
Qwen/Qwen2.5-0.5B,Qwen2.5-0.5B,Qwen2.5-0.5B,base,Alibaba,contradiction,100,52,5.022,kill,0.17
