word,pos,pos_name,prob_mean,prob_std,n_families
erupt,0,BASE,0.0002715,0.00022132442251138936,2
erupt,1,SFT,0.000146,6.363961030678928e-05,2
erupt,2,ALIGNED,0.00020649999999999998,0.00019869700551341984,2
escape,0,BASE,0.0006338,0.00036082017681942345,5
escape,1,SFT,0.0005066666666666667,0.0004769196298469306,3
escape,2,ALIGNED,0.0004952,0.00021256810673287748,5
exercise,0,BASE,7.3e-05,,1
exercise,1,SFT,0.00102,,1
exercise,2,ALIGNED,0.00059,,1
expel,0,BASE,9.1e-05,,1
expel,2,ALIGNED,0.000449,,1
explain,0,BASE,0.0004525,0.0001223294731452727,2
explain,1,SFT,0.000359,,1
explain,2,ALIGNED,0.00037,0.0001202081528017131,2
explode,0,BASE,0.005567545454545455,0.0022935296537710767,11
explode,1,SFT,0.005465,0.0029704388228004295,6
explode,2,ALIGNED,0.010886545454545454,0.009443580288890823,11
express,0,BASE,0.00020433333333333336,1.415391583037477e-05,3
express,1,SFT,0.00017600000000000002,0.00017819090885901,2
express,2,ALIGNED,0.002376333333333333,0.0032206124158820067,3
face,0,BASE,0.000135,,1
face,1,SFT,0.000534,,1
face,2,ALIGNED,0.000488,,1
faceplant,0,BASE,0.000274,,1
faceplant,1,SFT,0.000136,,1
faceplant,2,ALIGNED,5.3e-05,,1
faint,0,BASE,0.0006362857142857143,0.0006268584939430681,7
faint,1,SFT,0.00031975,0.0003821215993197279,4
faint,2,ALIGNED,0.00048285714285714284,0.0005195021426235663,7
fall,0,BASE,0.0006253636363636364,0.0003026873874898896,11
fall,1,SFT,0.00026450000000000003,0.00017665191762333065,6
fall,2,ALIGNED,0.00038381818181818184,0.0004525843166045015,11
feed,0,BASE,0.000601,,1
feed,2,ALIGNED,0.000489,,1
feel,0,BASE,0.0006955,0.00037971634149717607,2
feel,1,SFT,0.000429,,1
feel,2,ALIGNED,0.0011475,0.0009934850275670993,2
fight,0,BASE,0.01136781818181818,0.01062999228426984,11
fight,1,SFT,0.008031,0.006905786935606977,6
fight,2,ALIGNED,0.014296636363636366,0.023267192698186553,11
file,0,BASE,0.0006003333333333334,0.00019110555547480388,3
file,1,SFT,0.0018075,0.0018886822125492684,2
file,2,ALIGNED,0.000597,0.0005257061917078778,3
find,0,BASE,0.004664727272727273,0.004061699695716291,11
find,1,SFT,0.002149166666666667,0.0010692156782738768,6
find,2,ALIGNED,0.0023485454545454543,0.0028494726657273396,11
finish,0,BASE,0.0006845,0.00019445436482630062,2
finish,1,SFT,0.000221,,1
finish,2,ALIGNED,0.00045,0.000386080302527855,2
fire,0,BASE,0.0018151,0.0013343299150593237,10
fire,1,SFT,0.0008946666666666665,0.0008006206758925643,6
fire,2,ALIGNED,0.0008581999999999999,0.0007840268986315314,10
fix,0,BASE,0.000177,,1
fix,1,SFT,0.000255,,1
fix,2,ALIGNED,0.000641,,1
flatten,0,BASE,0.00173,,1
flatten,1,SFT,0.002416,,1
flatten,2,ALIGNED,0.001357,,1
flay,0,BASE,0.000625,,1
flay,2,ALIGNED,0.000797,,1
flee,0,BASE,0.000617,0.0004245256176015765,4
flee,1,SFT,0.00024300000000000002,0.0001329210291865061,3
flee,2,ALIGNED,0.00048075,0.0002526794741696813,4
fling,0,BASE,0.001018875,0.0007628644211129525,8
fling,1,SFT,0.0021196,0.0019039525466775689,5
fling,2,ALIGNED,0.00113825,0.0012382374281903403,8
flip,0,BASE,0.001412,0.0014419798889027545,4
flip,1,SFT,0.00095825,0.0006981782842989795,4
flip,2,ALIGNED,0.00053725,0.00017543731074090254,4
flog,0,BASE,0.0006066666666666667,0.00020253477067736628,3
flog,1,SFT,0.00034899999999999997,0.00016893489870361303,3
flog,2,ALIGNED,0.00022433333333333336,0.00017773388347001632,3
fly,0,BASE,0.002478636363636364,0.0013600114905931695,11
fly,1,SFT,0.0020176666666666667,0.0017734223035325417,6
fly,2,ALIGNED,0.0020464545454545453,0.00165052727112498,11
follow,0,BASE,0.0005505,7.141778489984127e-05,2
follow,1,SFT,0.000419,,1
follow,2,ALIGNED,0.0003745,1.6263455967290604e-05,2
for,0,BASE,0.000723,,1
for,2,ALIGNED,0.000497,,1
force,0,BASE,0.000334,,1
force,1,SFT,0.000955,,1
force,2,ALIGNED,0.000476,,1
forget,0,BASE,0.0007289090909090908,0.00024317995581274972,11
forget,1,SFT,0.0005065,0.0004701581648764594,6
forget,2,ALIGNED,0.0004463636363636364,0.00036564033495424785,11
forgive,0,BASE,0.000399,,1
forgive,2,ALIGNED,0.000279,,1
freeze,0,BASE,0.000166,,1
freeze,1,SFT,0.000186,,1
freeze,2,ALIGNED,4.1e-05,,1
fry,0,BASE,0.00034,,1
fry,1,SFT,9.9e-05,,1
fry,2,ALIGNED,8e-05,,1
fuck,0,BASE,0.0015015,0.0013449154868119657,4
fuck,1,SFT,0.000829,0.0010439712639723376,3
fuck,2,ALIGNED,0.00034625,0.00030227622577150634,4
fucking,0,BASE,0.00344,,1
fucking,1,SFT,0.002003,,1
fucking,2,ALIGNED,0.000303,,1
get,0,BASE,0.020578363636363638,0.023447084728267297,11
get,1,SFT,0.0065125,0.005644096871953917,6
get,2,ALIGNED,0.013517818181818181,0.019711660918442068,11
give,0,BASE,0.007402454545454545,0.0036785083488728517,11
give,1,SFT,0.005092,0.004178886933143801,6
give,2,ALIGNED,0.006094545454545455,0.0031669175980323944,11
gnash,0,BASE,0.001223,,1
gnash,1,SFT,0.000517,,1
gnash,2,ALIGNED,0.000377,,1
gnaw,0,BASE,0.000256,,1
gnaw,1,SFT,0.000315,,1
gnaw,2,ALIGNED,0.000342,,1
go,0,BASE,0.02333118181818182,0.013702442897660124,11
go,1,SFT,0.0097165,0.006519057684972576,6
go,2,ALIGNED,0.014981363636363636,0.01795290745407399,11
gouge,0,BASE,0.0009598333333333334,0.0005881691650083899,6
gouge,1,SFT,0.00088375,0.0009263683122818915,4
gouge,2,ALIGNED,0.001105,0.001785444258441019,6
grab,0,BASE,0.0032664,0.0012401788580684641,10
grab,1,SFT,0.0025043333333333337,0.0012237324326284185,6
grab,2,ALIGNED,0.0024489,0.0030954558971355273,10
grind,0,BASE,0.000186,6.78159273327439e-05,3
grind,1,SFT,0.0002055,0.00017606958851545032,2
