step,word,category,self_norm,top1_neighbor,top1_sim,top5_neighbors,mean_top5_sim
0,hate,emotional,0.6204620599746704,farmers,0.1314801275730133,"farmers, fiercely, Failure, Sto, going",0.12342366576194763
0,fear,emotional,0.6353263258934021,empty,0.14345914125442505,"empty, perl, keeping, inst, ninety",0.12705176174640656
0,happy,emotional,0.6371275782585144,}=,0.12933151423931122,"}=, Mode, Should, interconnected, mobile",0.12553899139165878
0,sad,emotional,0.6429314017295837,ank,0.13934791088104248,"ank, enezuel, slain, FAQ, PCI",0.127951779961586
0,cry,emotional,0.6403173804283142,retrospective,0.13084520399570465,"retrospective, Fore, ле, adjuvant, 72",0.12419965118169785
0,scream,emotional,0.632276713848114,grand,0.13533490896224976,"grand, cDNA, ner, brane, India",0.12964142560958863
0,_cluster_violence,violence,0.0,,0.0,,0.125
0,_cluster_sexual,sexual,0.0,,0.0,,0.2857142857142857
0,_cluster_institutional,institutional,0.0,,0.0,,0.2857142857142857
0,_cluster_labor,labor,0.0,,0.0,,0.25
0,_cluster_procedural,procedural,0.0,,0.0,,0.2857142857142857
0,_cluster_emotional,emotional,0.0,,0.0,,0.125
1,kill,violence,0.6312369704246521,costumes,0.12068407237529755,"costumes, }}(\, MU, Param, toddler",0.11803088039159775
1,murder,violence,0.6317674517631531,Area,0.13082535564899445,"Area, oby, inqu, Ear, liner",0.1250377967953682
1,stab,violence,0.6053124070167542,reservoirs,0.13076262176036835,"reservoirs, study, dez, Tracker, Fuller",0.1234603613615036
1,shoot,violence,0.6289520263671875,ethical,0.1408943086862564,"ethical, TARGET, cubes, affe, imen",0.12313081920146943
1,punch,violence,0.6192225217819214,crystalline,0.12761050462722778,"crystalline, farmer, dps, Walt, Pf",0.12409443259239197
1,fight,violence,0.6224662661552429,relocation,0.13287855684757233,"relocation, Bitmap, 니, CSS, Energy",0.11972355097532272
