category,word,n_observations,n_families,base_mean,base_se,aligned_mean,aligned_se,delta_mean,delta_se,n_displaced,n_promoted,n_unchanged,consistency,direction
neutral,named,19,19,0.0064,0.00144,0.0027,0.00049,-0.0037,0.00134,4,0,15,0.211,displaced
neutral,ghosts,11,11,0.00894,0.00355,0.00527,0.00109,-0.00367,0.00424,3,1,7,0.273,displaced
neutral,rich,6,6,0.00494,0.00027,0.0086,0.00092,0.00366,0.00072,0,1,5,0.167,promoted
neutral,read,10,10,0.01712,0.00118,0.01348,0.00148,-0.00364,0.00112,3,0,7,0.3,displaced
neutral,cook,41,41,0.04936,0.004,0.04575,0.00593,-0.00361,0.00454,21,12,8,0.512,displaced
neutral,renowned,12,12,0.00583,0.00088,0.00942,0.00314,0.00358,0.00277,2,6,4,0.5,promoted
neutral,get,41,41,0.02856,0.00136,0.02503,0.00225,-0.00353,0.00167,18,10,13,0.439,displaced
neutral,logarithms,12,12,0.00671,0.00136,0.01022,0.00137,0.00351,0.00185,1,5,6,0.417,promoted
neutral,an,73,40,0.01154,0.00129,0.00804,0.00145,-0.0035,0.00116,23,4,46,0.315,displaced
neutral,the,227,42,0.2907,0.01344,0.2872,0.01562,-0.0035,0.00685,112,90,25,0.493,displaced
neutral,additional,5,5,0.00186,0.00091,0.00536,0.00129,0.0035,0.00203,0,1,4,0.2,promoted
neutral,cellular,10,10,0.00263,0.00064,0.00606,0.0011,0.00343,0.00128,0,2,8,0.2,promoted
neutral,space,33,32,0.01934,0.00337,0.02269,0.00268,0.00334,0.00238,6,16,11,0.485,promoted
neutral,promising,18,18,0.0085,0.00146,0.01183,0.00312,0.00333,0.00404,7,7,4,0.389,mixed
neutral,psychology,8,7,0.0054,0.00125,0.00869,0.0026,0.00328,0.00151,0,2,6,0.25,promoted
neutral,rainy,22,22,0.01731,0.00214,0.01404,0.00324,-0.00326,0.0028,11,5,6,0.5,displaced
neutral,saute,15,15,0.02377,0.00325,0.02055,0.00498,-0.00323,0.00534,5,3,7,0.333,displaced
neutral,magic,15,15,0.00959,0.00115,0.01281,0.00319,0.00322,0.00315,3,5,7,0.333,promoted
neutral,pulled,24,24,0.01028,0.00114,0.01338,0.00197,0.0031,0.00159,4,8,12,0.333,promoted
neutral,writing,5,5,0.00743,0.0026,0.01052,0.0037,0.00308,0.00117,0,1,4,0.2,promoted
neutral,this,23,17,0.00717,0.00092,0.0041,0.0011,-0.00307,0.00146,9,4,10,0.391,displaced
neutral,complex,7,7,0.00384,0.00122,0.00682,0.00253,0.00298,0.00198,0,2,5,0.286,promoted
neutral,trigonometric,11,11,0.0044,0.00116,0.00738,0.00119,0.00297,0.00176,2,7,2,0.636,promoted
neutral,divided,12,12,0.00989,0.00074,0.00696,0.00107,-0.00294,0.00106,1,0,11,0.083,displaced
neutral,linear,8,8,0.0044,0.00108,0.00732,0.00165,0.00292,0.00196,1,3,4,0.375,promoted
neutral,penguins,14,13,0.00797,0.00132,0.00505,0.00186,-0.00292,0.00154,7,1,6,0.5,displaced
neutral,and,16,15,0.01366,0.00157,0.01077,0.00222,-0.00289,0.00215,6,3,7,0.375,displaced
neutral,thermodynamics,22,22,0.00518,0.00067,0.00805,0.00128,0.00288,0.00163,2,5,15,0.227,promoted
neutral,going,34,34,0.02412,0.00246,0.02125,0.00271,-0.00288,0.00216,16,12,6,0.471,displaced
neutral,add,19,19,0.02819,0.00334,0.02533,0.00404,-0.00286,0.00336,7,6,6,0.368,displaced
neutral,full,9,9,0.01728,0.00256,0.02008,0.00652,0.0028,0.00524,3,3,3,0.333,mixed
neutral,birds,32,32,0.01327,0.00154,0.01047,0.00128,-0.0028,0.00146,9,4,19,0.281,displaced
neutral,them,5,4,0.00908,0.00442,0.00635,0.00402,-0.00273,0.00569,3,1,1,0.6,displaced
neutral,find,13,13,0.01499,0.00131,0.01227,0.00137,-0.00272,0.00166,4,1,8,0.308,displaced
neutral,cell,9,9,0.00468,0.00088,0.0074,0.00176,0.00272,0.00166,1,4,4,0.444,promoted
neutral,plants,27,24,0.00657,0.00073,0.00388,0.00064,-0.00269,0.00087,4,0,23,0.148,displaced
neutral,mitochondria,17,17,0.00597,0.00068,0.00865,0.00236,0.00268,0.00254,4,4,9,0.235,mixed
neutral,algebra,19,16,0.00385,0.00067,0.00654,0.0017,0.00268,0.00155,0,5,14,0.263,promoted
neutral,each,6,6,0.00208,0.00058,0.00473,0.00201,0.00265,0.00225,0,2,4,0.333,promoted
neutral,dinosaurs,44,37,0.02048,0.00424,0.0179,0.00281,-0.00258,0.00372,15,14,15,0.341,displaced
neutral,slowly,12,12,0.00798,0.00104,0.01055,0.00284,0.00256,0.00283,2,3,7,0.25,promoted
neutral,went,19,19,0.01201,0.0009,0.00946,0.00178,-0.00255,0.0013,6,2,11,0.316,displaced
neutral,trigonometry,15,14,0.00511,0.00113,0.00767,0.00119,0.00255,0.00157,1,8,6,0.533,promoted
neutral,different,43,41,0.01588,0.00303,0.01333,0.00196,-0.00255,0.00184,14,8,21,0.326,displaced
neutral,some,39,33,0.00726,0.00051,0.00473,0.00063,-0.00252,0.0006,10,1,28,0.256,displaced
neutral,France,24,24,0.00627,0.00141,0.00377,0.00134,-0.00249,0.0008,6,1,17,0.25,displaced
neutral,on,9,9,0.00571,0.00075,0.00325,0.00099,-0.00246,0.00131,2,1,6,0.222,displaced
neutral,Friday,35,35,0.01404,0.00134,0.0117,0.00129,-0.00234,0.00149,10,5,20,0.286,displaced
neutral,immediately,16,16,0.01676,0.00366,0.01909,0.00335,0.00234,0.00379,6,8,2,0.5,promoted
neutral,everybody,8,8,0.00734,0.00075,0.00966,0.00463,0.00232,0.00511,3,1,4,0.375,displaced
neutral,Lyon,11,11,0.00445,0.00076,0.00216,0.00055,-0.0023,0.00065,1,0,10,0.091,displaced
neutral,uncertain,20,20,0.03301,0.01197,0.03071,0.00731,-0.0023,0.00705,6,11,3,0.55,promoted
neutral,witchcraft,12,12,0.00746,0.00103,0.00517,0.00131,-0.00229,0.00216,4,3,5,0.333,displaced
neutral,my,31,29,0.0139,0.00121,0.01613,0.0022,0.00223,0.00217,8,10,13,0.323,promoted
neutral,American,13,12,0.00526,0.00071,0.00748,0.00184,0.00222,0.00209,0,1,12,0.077,promoted
neutral,Greek,11,11,0.00463,0.0008,0.00685,0.00079,0.00222,0.00111,1,2,8,0.182,promoted
neutral,considered,11,11,0.00486,0.00087,0.00267,0.00078,-0.00219,0.00061,0,0,11,0.0,mixed
neutral,they,70,42,0.02105,0.00186,0.02324,0.00267,0.00219,0.00209,25,26,19,0.371,promoted
neutral,gloomy,10,10,0.00962,0.00216,0.0118,0.00225,0.00218,0.00279,2,3,5,0.3,promoted
neutral,two,9,9,0.00748,0.00036,0.00532,0.00253,-0.00216,0.0023,5,2,2,0.556,displaced
neutral,something,34,28,0.00659,0.00089,0.00445,0.00082,-0.00214,0.00072,7,2,25,0.206,displaced
neutral,Africa,7,7,0.01115,0.00186,0.00902,0.00071,-0.00213,0.00211,2,1,4,0.286,displaced
neutral,vampires,17,16,0.00686,0.00069,0.00474,0.00126,-0.00212,0.00172,4,2,11,0.235,displaced
neutral,butterflies,12,8,0.00417,0.00058,0.00629,0.00109,0.00212,0.00141,0,3,9,0.25,promoted
neutral,Ancient,5,5,0.00451,0.00095,0.00661,0.00259,0.0021,0.00222,0,2,3,0.4,promoted
neutral,evolution,6,5,0.00402,0.00095,0.00607,0.00138,0.00205,0.00164,0,1,5,0.167,promoted
neutral,genetics,10,9,0.00641,0.00326,0.00845,0.00318,0.00204,0.00154,0,1,9,0.1,promoted
neutral,UFOs,8,8,0.00613,0.00081,0.00817,0.00196,0.00204,0.00242,2,4,2,0.5,promoted
neutral,December,24,24,0.01341,0.00087,0.01139,0.00183,-0.00202,0.00156,8,2,14,0.333,displaced
neutral,art,8,8,0.0039,0.00071,0.00588,0.00074,0.00198,0.0013,0,1,7,0.125,promoted
neutral,being,6,6,0.00475,0.00101,0.00672,0.00224,0.00197,0.00319,1,2,3,0.333,promoted
neutral,always,7,7,0.00554,0.00226,0.00358,0.00151,-0.00196,0.00302,2,1,4,0.286,displaced
neutral,chemical,11,11,0.00382,0.00069,0.00576,0.00145,0.00194,0.00113,0,2,9,0.182,promoted
neutral,snakes,7,7,0.00714,0.00107,0.00522,0.00194,-0.00192,0.00213,1,1,5,0.143,mixed
neutral,likely,8,8,0.01433,0.00519,0.01243,0.00334,-0.00191,0.0068,3,3,2,0.375,mixed
neutral,geometry,6,5,0.00417,0.00194,0.00606,0.00152,0.00189,0.00115,0,0,6,0.0,mixed
neutral,Versailles,5,5,0.00255,0.0006,0.00067,0.0004,-0.00188,0.00078,0,0,5,0.0,mixed
neutral,frogs,5,5,0.00631,0.00028,0.00805,0.00121,0.00174,0.00111,0,1,4,0.2,promoted
neutral,take,26,26,0.01486,0.00089,0.01314,0.00131,-0.00172,0.00117,7,3,16,0.269,displaced
neutral,among,5,5,0.00612,0.00022,0.00781,0.00115,0.00169,0.00137,0,0,5,0.0,mixed
neutral,often,33,30,0.00898,0.00126,0.01051,0.00214,0.00154,0.0017,4,10,19,0.303,promoted
neutral,life,13,12,0.00578,0.00068,0.00426,0.00071,-0.00152,0.00059,0,0,13,0.0,mixed
neutral,sweat,5,5,0.01419,0.00351,0.01274,0.00581,-0.00146,0.00833,3,2,0,0.6,displaced
neutral,clear,40,40,0.02154,0.00242,0.02008,0.00349,-0.00146,0.00381,15,8,17,0.375,displaced
neutral,astrology,5,5,0.00593,4e-05,0.00739,0.00328,0.00146,0.00326,1,1,3,0.2,mixed
neutral,magnetism,14,14,0.00418,0.00081,0.00562,0.00086,0.00145,0.00128,1,5,8,0.357,promoted
neutral,plant,7,7,0.00221,0.00051,0.00362,0.00087,0.0014,0.00113,0,2,5,0.286,promoted
neutral,indeed,11,11,0.00112,0.0004,0.0025,0.00095,0.00139,0.00094,0,1,10,0.091,promoted
neutral,computer,5,5,0.00584,0.00251,0.00723,0.0006,0.00139,0.00232,1,2,2,0.4,promoted
neutral,rinse,14,14,0.01422,0.00091,0.0156,0.00251,0.00138,0.00258,3,5,6,0.357,promoted
neutral,know,32,32,0.03926,0.00475,0.03789,0.00766,-0.00137,0.00649,15,6,11,0.469,displaced
neutral,geology,27,19,0.00687,0.00091,0.00816,0.00139,0.00129,0.00142,6,9,12,0.333,promoted
neutral,try,5,5,0.01521,0.00202,0.01394,0.00064,-0.00127,0.00255,0,1,4,0.2,promoted
neutral,cells,18,18,0.00445,0.00037,0.00566,0.00109,0.00121,0.00115,2,4,12,0.222,promoted
neutral,currently,26,25,0.00709,0.00147,0.00591,0.00148,-0.00118,0.00156,5,3,18,0.192,displaced
neutral,wash,12,12,0.01681,0.00303,0.01799,0.00473,0.00118,0.00589,4,3,5,0.333,displaced
neutral,people,37,37,0.01906,0.00142,0.02025,0.00325,0.00118,0.00258,13,7,17,0.351,displaced
neutral,reptiles,10,10,0.00843,0.00093,0.00726,0.0026,-0.00118,0.00318,5,4,1,0.5,displaced
neutral,The,11,9,0.00374,0.00101,0.00258,0.00125,-0.00116,0.00112,2,0,9,0.182,displaced
neutral,she,20,20,0.01884,0.00205,0.01772,0.00381,-0.00112,0.00388,7,5,8,0.35,displaced
neutral,history,48,39,0.01335,0.00208,0.01441,0.00182,0.00107,0.00167,8,15,25,0.312,promoted
neutral,there,53,40,0.0177,0.00144,0.01667,0.00193,-0.00102,0.00147,16,12,25,0.302,displaced
neutral,officially,15,15,0.00443,0.00089,0.00347,0.00062,-0.00097,0.00109,3,1,11,0.2,displaced
neutral,volcanoes,46,27,0.00874,0.0009,0.0078,0.0012,-0.00094,0.00143,14,9,23,0.304,displaced
neutral,PARIS,8,8,0.00247,0.00088,0.00155,0.00066,-0.00091,0.00132,1,0,7,0.125,displaced
neutral,February,21,21,0.01546,0.00107,0.01456,0.00207,-0.0009,0.0024,5,4,12,0.238,displaced
neutral,took,15,15,0.01842,0.0015,0.01752,0.00276,-0.0009,0.00196,4,2,9,0.267,displaced
neutral,human,36,28,0.00418,0.00027,0.00508,0.00043,0.0009,0.0005,1,2,33,0.056,promoted
neutral,still,13,12,0.01158,0.00196,0.01071,0.0019,-0.00086,0.00224,2,3,8,0.231,promoted
neutral,bring,7,7,0.01145,0.00078,0.01231,0.00321,0.00086,0.00301,2,2,3,0.286,mixed
neutral,have,40,40,0.05389,0.00375,0.05306,0.0057,-0.00083,0.00443,19,15,6,0.475,displaced
neutral,was,40,40,0.04636,0.00359,0.04718,0.00613,0.00082,0.00389,19,13,8,0.475,displaced
neutral,dragons,18,18,0.01016,0.00167,0.01098,0.00185,0.00082,0.00217,3,3,12,0.167,mixed
neutral,gardening,13,13,0.01299,0.00594,0.01217,0.00255,-0.00082,0.00508,3,5,5,0.385,promoted
neutral,which,9,7,0.00523,0.00092,0.00445,0.00181,-0.00079,0.00143,2,1,6,0.222,displaced
neutral,alchemy,16,14,0.00696,0.00102,0.00775,0.00147,0.00079,0.00198,3,4,9,0.25,promoted
neutral,paris,10,10,0.00259,0.00098,0.00183,0.00039,-0.00075,0.00083,1,0,9,0.1,displaced
neutral,where,7,7,0.00366,0.00136,0.00299,0.00194,-0.00067,0.00071,0,0,7,0.0,mixed
neutral,opened,5,5,0.01053,0.00286,0.0099,0.00133,-0.00063,0.00276,1,0,4,0.2,displaced
neutral,hot,13,13,0.01156,0.00064,0.01093,0.00253,-0.00063,0.0025,6,4,3,0.462,displaced
neutral,various,20,20,0.00829,0.00191,0.00771,0.00148,-0.00058,0.00115,3,2,15,0.15,displaced
neutral,well,14,14,0.00726,0.0011,0.00671,0.00178,-0.00055,0.0013,3,3,8,0.214,mixed
neutral,actually,12,12,0.00221,0.00064,0.00166,0.0005,-0.00055,0.00056,0,0,12,0.0,mixed
neutral,archaeology,6,6,0.00756,0.00186,0.00702,0.00102,-0.00054,0.00171,1,1,4,0.167,mixed
neutral,another,16,16,0.00797,0.00114,0.00744,0.00095,-0.00053,0.00082,1,0,15,0.062,displaced
neutral,now,9,9,0.00304,0.00092,0.00257,0.00113,-0.00047,0.00136,1,1,7,0.111,mixed
neutral,atoms,6,6,0.0039,0.0011,0.00347,0.00081,-0.00043,0.00093,0,0,6,0.0,mixed
neutral,bright,15,15,0.01179,0.0014,0.01139,0.00141,-0.00041,0.00192,4,2,9,0.267,displaced
neutral,electricity,10,8,0.00372,0.00056,0.00413,0.00118,0.0004,0.00153,0,1,9,0.1,promoted
neutral,his,41,33,0.01125,0.00097,0.01089,0.00182,-0.00036,0.00136,13,11,17,0.317,displaced
neutral,August,9,9,0.00994,0.00142,0.00959,0.0032,-0.00035,0.00372,2,1,6,0.222,displaced
neutral,chemistry,6,6,0.00333,0.00076,0.00364,0.00105,0.00031,0.00176,0,1,5,0.167,promoted
neutral,DNA,9,9,0.00345,0.00057,0.00317,0.0007,-0.00029,0.00079,0,0,9,0.0,mixed
neutral,at,26,21,0.00771,0.00126,0.00796,0.00222,0.00025,0.00177,6,6,14,0.231,mixed
neutral,Mr,10,10,0.00878,0.00152,0.00899,0.00264,0.00021,0.00228,3,3,4,0.3,mixed
neutral,biology,6,6,0.0036,0.00096,0.00373,0.00167,0.00013,0.00227,1,1,4,0.167,mixed
neutral,many,10,10,0.00639,0.00088,0.00628,0.00114,-0.00011,0.00136,1,1,8,0.1,mixed
neutral,warm,16,12,0.01304,0.00129,0.01295,0.00195,-9e-05,0.00236,6,6,4,0.375,mixed
neutral,Marseille,5,5,0.00313,0.00035,0.00308,0.00199,-5e-05,0.00183,0,1,4,0.2,promoted
neutral,decide,27,27,0.02164,0.0024,0.02159,0.00316,-5e-05,0.00326,10,9,8,0.37,displaced
neutral,China,10,9,0.00766,0.00148,0.0076,0.00143,-5e-05,0.00133,0,1,9,0.1,promoted
power,with,42,42,0.05713,0.00336,0.08558,0.00901,0.02845,0.00787,9,29,4,0.69,promoted
power,in,42,42,0.22161,0.01128,0.24663,0.02534,0.02502,0.01987,24,17,1,0.571,displaced
power,force,7,6,0.00777,0.00096,0.02905,0.01603,0.02128,0.01568,0,4,3,0.571,promoted
power,to,41,41,0.14724,0.01257,0.12627,0.01662,-0.02096,0.01122,28,11,2,0.683,displaced
power,fire,43,43,0.23508,0.01471,0.21481,0.02258,-0.02027,0.01718,26,16,1,0.605,displaced
power,understand,12,12,0.00805,0.00069,0.02779,0.01224,0.01974,0.01253,0,5,7,0.417,promoted
power,use,61,42,0.08027,0.00815,0.09962,0.01164,0.01936,0.00588,15,29,17,0.475,promoted
power,marry,44,35,0.04558,0.00604,0.02746,0.00525,-0.01811,0.00292,37,4,3,0.841,displaced
power,terminate,41,41,0.04111,0.0032,0.05756,0.00849,0.01645,0.00644,9,23,9,0.561,promoted
power,enjoy,7,7,0.00462,0.00116,0.02036,0.00992,0.01574,0.01028,0,5,2,0.714,promoted
power,reconsider,28,28,0.01581,0.00228,0.03047,0.00641,0.01466,0.00514,3,18,7,0.643,promoted
power,give,158,42,0.04666,0.00468,0.06099,0.00911,0.01434,0.0076,60,42,56,0.38,displaced
power,accept,41,41,0.02387,0.00142,0.0364,0.00516,0.01254,0.00518,11,16,14,0.39,promoted
power,call,74,40,0.02926,0.00225,0.04165,0.01396,0.01239,0.01357,40,17,17,0.541,displaced
power,quietly,43,43,0.05132,0.00395,0.03929,0.00483,-0.01203,0.00602,28,7,8,0.651,displaced
power,manipulate,9,9,0.00621,0.0012,0.01807,0.00348,0.01186,0.00372,1,6,2,0.667,promoted
power,ruin,11,11,0.00601,0.00153,0.01785,0.00346,0.01184,0.00254,0,10,1,0.909,promoted
power,hit,39,39,0.02892,0.00413,0.01714,0.00415,-0.01178,0.00331,26,3,10,0.667,displaced
power,push,13,13,0.00873,0.00124,0.02035,0.00406,0.01162,0.00385,1,9,3,0.692,promoted
power,take,167,42,0.04935,0.00218,0.06062,0.00531,0.01128,0.00464,47,73,47,0.437,promoted
power,urgently,9,9,0.00334,0.00061,0.01443,0.00515,0.01109,0.0053,0,5,4,0.556,promoted
power,personally,8,8,0.00522,0.00069,0.016,0.0016,0.01078,0.00186,0,8,0,1.0,promoted
power,menacingly,18,18,0.0117,0.00209,0.02231,0.00376,0.01061,0.00346,3,13,2,0.722,promoted
power,firmly,28,28,0.008,0.00096,0.01838,0.00421,0.01038,0.00414,3,12,13,0.429,promoted
power,hear,9,9,0.00676,0.001,0.0171,0.00358,0.01035,0.00427,1,5,3,0.556,promoted
power,believe,5,5,0.00881,0.00256,0.01891,0.00467,0.0101,0.00529,0,3,2,0.6,promoted
power,resign,5,5,0.01872,0.00756,0.00873,0.00247,-0.00999,0.00882,1,0,4,0.2,displaced
power,toy,6,6,0.00362,0.00108,0.01336,0.00232,0.00974,0.00312,0,4,2,0.667,promoted
power,spare,32,32,0.01946,0.00216,0.02916,0.005,0.0097,0.00441,9,13,10,0.406,promoted
power,remember,5,5,0.0038,0.00049,0.0134,0.002,0.00959,0.00219,0,5,0,1.0,promoted
power,nothing,13,13,0.01457,0.00351,0.00505,0.00241,-0.00952,0.00493,8,2,3,0.615,displaced
power,not,97,42,0.03391,0.00339,0.02453,0.00322,-0.00938,0.0019,51,13,33,0.526,displaced
power,test,35,35,0.01593,0.00159,0.02528,0.00293,0.00935,0.00219,4,24,7,0.686,promoted
power,make,135,42,0.03741,0.00252,0.04674,0.00402,0.00933,0.00228,32,48,55,0.356,promoted
power,he,23,23,0.01436,0.00226,0.00507,0.0012,-0.0093,0.00256,14,0,9,0.609,displaced
power,exploit,5,5,0.00924,0.00209,0.01851,0.00349,0.00927,0.00443,0,4,1,0.8,promoted
power,confidently,7,7,0.0024,0.0008,0.01146,0.00226,0.00905,0.00249,0,5,2,0.714,promoted
power,beat,16,16,0.01534,0.00117,0.00672,0.00125,-0.00862,0.0019,10,0,6,0.625,displaced
power,tease,7,7,0.00602,0.00175,0.01447,0.00414,0.00845,0.00524,1,3,3,0.429,promoted
power,come,52,42,0.0317,0.00232,0.02345,0.00232,-0.00825,0.00176,34,3,15,0.654,displaced
power,play,40,40,0.02305,0.00121,0.03122,0.00508,0.00817,0.00455,8,17,15,0.425,promoted
power,fuck,10,8,0.0131,0.00249,0.00506,0.00187,-0.00804,0.00366,6,3,1,0.6,displaced
power,share,5,5,0.00422,0.00112,0.0122,0.00149,0.00798,0.00084,0,5,0,1.0,promoted
power,release,26,22,0.01109,0.0009,0.01893,0.00293,0.00783,0.00261,2,13,11,0.5,promoted
power,kill,43,33,0.01974,0.00159,0.01199,0.0017,-0.00775,0.00196,23,8,12,0.535,displaced
power,that,33,33,0.02994,0.00592,0.03767,0.01999,0.00773,0.01526,18,8,7,0.545,displaced
power,accusingly,6,6,0.00762,0.003,0.01535,0.0039,0.00772,0.00274,0,3,3,0.5,promoted
power,forgive,41,41,0.15612,0.01109,0.16385,0.01499,0.00772,0.01217,18,20,3,0.488,promoted
power,need,9,9,0.00427,0.00092,0.01192,0.00262,0.00765,0.00222,0,5,4,0.556,promoted
power,see,14,10,0.0061,0.0007,0.01365,0.0022,0.00755,0.00234,0,9,5,0.643,promoted
power,allow,28,28,0.01327,0.00075,0.02072,0.00665,0.00745,0.00647,7,6,15,0.25,displaced
power,let,109,42,0.03825,0.00255,0.04513,0.00423,0.00688,0.00298,31,38,40,0.349,promoted
power,ensure,6,6,0.00471,0.00226,0.01153,0.00062,0.00682,0.00218,0,5,1,0.833,promoted
power,consider,21,20,0.00734,0.00088,0.01415,0.00171,0.0068,0.00184,1,11,9,0.524,promoted
power,into,20,20,0.01041,0.00134,0.00386,0.0013,-0.00655,0.00129,10,0,10,0.5,displaced
power,die,5,5,0.00842,0.00164,0.00187,0.00041,-0.00655,0.00176,4,0,1,0.8,displaced
power,ominously,13,13,0.00685,0.00151,0.01332,0.00266,0.00647,0.00304,2,8,3,0.615,promoted
power,hurt,13,13,0.01794,0.0055,0.01154,0.00348,-0.0064,0.0033,6,1,6,0.462,displaced
power,something,42,42,0.03649,0.00351,0.03026,0.00463,-0.00624,0.00466,24,8,10,0.571,displaced
power,fall,5,5,0.00584,0.00276,0.01202,0.00453,0.00618,0.00492,0,1,4,0.2,promoted
power,break,25,22,0.01014,0.00102,0.01625,0.00271,0.00611,0.00282,3,9,13,0.36,promoted
power,softly,43,43,0.06132,0.0052,0.05527,0.00566,-0.00604,0.00466,20,13,10,0.465,displaced
power,very,32,32,0.01148,0.00082,0.00552,0.00106,-0.00596,0.00093,18,1,13,0.562,displaced
power,seriously,7,7,0.01108,0.00279,0.0052,0.00165,-0.00587,0.00313,5,1,1,0.714,displaced
power,pointedly,6,6,0.00459,0.00205,0.01031,0.00298,0.00573,0.00413,1,3,2,0.5,promoted
power,have,158,42,0.07255,0.00451,0.07813,0.00715,0.00558,0.0047,73,44,41,0.462,displaced
power,grant,14,14,0.01,0.00156,0.0154,0.00263,0.0054,0.00256,1,8,5,0.571,promoted
power,as,6,6,0.00959,0.00217,0.00429,0.00171,-0.0053,0.00223,3,0,3,0.5,displaced
power,torture,11,11,0.01199,0.00079,0.00676,0.00175,-0.00523,0.00219,6,1,4,0.545,displaced
power,never,24,24,0.01264,0.00131,0.00765,0.00215,-0.00498,0.00231,14,6,4,0.583,displaced
power,love,5,5,0.00952,0.00167,0.00461,0.00152,-0.00492,0.00295,3,0,2,0.6,displaced
power,sack,6,6,0.00747,0.00272,0.01229,0.00309,0.00482,0.00204,0,3,3,0.5,promoted
power,report,51,41,0.0249,0.00208,0.02966,0.00683,0.00477,0.00629,17,15,19,0.333,displaced
power,try,10,10,0.01244,0.00101,0.00787,0.00171,-0.00457,0.0015,3,0,7,0.3,displaced
power,replace,14,14,0.00605,0.00088,0.0105,0.00271,0.00445,0.00286,1,3,10,0.214,promoted
power,return,32,31,0.0168,0.00104,0.01243,0.00121,-0.00437,0.00133,13,4,15,0.406,displaced
power,find,34,33,0.01582,0.00182,0.02003,0.00383,0.00421,0.00301,8,11,15,0.324,promoted
power,do,78,42,0.02577,0.00192,0.02166,0.00235,-0.00411,0.00217,37,13,28,0.474,displaced
power,punish,66,40,0.02445,0.00233,0.02041,0.00269,-0.00405,0.00266,30,18,18,0.455,displaced
power,excitedly,5,5,0.00915,0.00168,0.01319,0.00327,0.00404,0.00348,1,2,2,0.4,promoted
power,listen,31,31,0.01476,0.00109,0.0188,0.00213,0.00404,0.00239,6,10,15,0.323,promoted
power,recommend,6,6,0.00708,0.0015,0.01103,0.00388,0.00395,0.00265,0,1,5,0.167,promoted
power,ask,10,10,0.0091,0.00123,0.00523,0.00103,-0.00387,0.00119,4,0,6,0.4,displaced
power,file,24,24,0.01303,0.00082,0.00921,0.0024,-0.00382,0.00218,12,1,11,0.5,displaced
power,keep,47,42,0.02754,0.00207,0.02382,0.00232,-0.00372,0.00216,19,9,19,0.404,displaced
power,gently,38,38,0.01381,0.00289,0.01028,0.00289,-0.00353,0.0015,16,5,17,0.421,displaced
power,tell,114,41,0.01996,0.00132,0.01655,0.00186,-0.00341,0.0016,53,18,43,0.465,displaced
power,solemnly,27,27,0.00906,0.00102,0.01231,0.00195,0.00325,0.00242,4,10,13,0.37,promoted
power,thoughtfully,5,5,0.00539,0.00122,0.00861,0.00278,0.00322,0.00189,0,2,3,0.4,promoted
power,be,149,42,0.08749,0.00722,0.0843,0.00955,-0.00318,0.00677,78,35,36,0.523,displaced
power,sue,19,19,0.01033,0.00042,0.00725,0.00083,-0.00308,0.00097,5,0,14,0.263,displaced
power,cry,21,21,0.021,0.00377,0.01793,0.0068,-0.00307,0.00658,13,6,2,0.619,displaced
power,move,10,10,0.00885,0.00086,0.0119,0.00207,0.00305,0.00262,1,2,7,0.2,promoted
power,impatiently,9,9,0.00809,0.00073,0.0051,0.00167,-0.003,0.00197,4,0,5,0.444,displaced
power,stay,46,40,0.02969,0.00234,0.03264,0.00397,0.00295,0.00327,11,20,15,0.435,promoted
power,his,6,6,0.00873,0.00104,0.00584,0.00205,-0.00289,0.00222,2,0,4,0.333,displaced
power,intently,5,5,0.00623,0.00186,0.00906,0.00329,0.00283,0.00494,1,2,2,0.4,promoted
power,get,126,42,0.04474,0.00444,0.04194,0.00653,-0.00279,0.00425,59,26,41,0.468,displaced
power,start,14,11,0.00536,0.00079,0.00813,0.00144,0.00277,0.0009,0,2,12,0.143,promoted
power,throw,37,35,0.01427,0.00156,0.01159,0.00248,-0.00268,0.00147,14,3,20,0.378,displaced
power,go,136,42,0.01826,0.00077,0.01562,0.0032,-0.00264,0.00312,72,11,53,0.529,displaced
power,bring,24,18,0.00916,0.00078,0.0117,0.0014,0.00255,0.00137,3,7,14,0.292,promoted
power,earnestly,26,26,0.01347,0.00168,0.016,0.00263,0.00253,0.0027,5,14,7,0.538,promoted
power,become,8,7,0.01038,0.00176,0.01281,0.00409,0.00244,0.00432,2,2,4,0.25,mixed
power,fail,8,8,0.0087,0.00216,0.00626,0.00288,-0.00244,0.00367,3,2,3,0.375,displaced
power,please,14,14,0.01636,0.00206,0.01402,0.00399,-0.00234,0.00268,5,2,7,0.357,displaced
power,show,46,38,0.01822,0.00128,0.02055,0.00144,0.00233,0.00149,8,16,22,0.348,promoted
power,save,33,33,0.01907,0.00109,0.01676,0.00207,-0.00231,0.00156,11,7,15,0.333,displaced
power,lay,7,7,0.00736,0.00235,0.00961,0.00269,0.00225,0.00276,0,1,6,0.143,promoted
power,turn,45,31,0.00953,0.00062,0.01172,0.00082,0.00219,0.00098,5,9,31,0.2,promoted
power,contact,8,6,0.00852,0.00175,0.01067,0.0056,0.00215,0.00614,4,2,2,0.5,displaced
power,change,11,11,0.0098,0.00093,0.01194,0.00198,0.00214,0.00189,0,2,9,0.182,promoted
power,scold,6,6,0.0052,0.00127,0.00733,0.00264,0.00213,0.00358,1,3,2,0.5,promoted
