family,role,category,pos,n,resistance,median
pythia,superego,death,0,1000,-0.40763277186542257,-0.1313664515075993
pythia,superego,death,1,1000,-0.15898603570446815,-0.021794914514939118
pythia,superego,death,2,1000,-0.021935282349372115,-0.03677208790011978
pythia,superego,death,3,1000,-0.0339026093524088,-0.02758853594329244
pythia,superego,death,4,1000,-0.06471413045344068,-0.028063288851049285
pythia,superego,death,5,1000,-0.02174050670387055,-0.01540986081343033
pythia,superego,death,6,1000,-0.030833143869080704,-0.011744287078085147
pythia,superego,death,7,1000,-0.021413088254613015,-0.009227036173908965
pythia,superego,death,8,1000,0.07381300591584983,-0.01860999705674551
pythia,superego,death,9,987,-0.037883039600330945,-0.027089924523003166
qwen,superego,death,0,500,0.7621474450845991,0.09523727070531172
qwen,superego,death,1,500,-0.6306640993724342,-0.3191500530547253
qwen,superego,death,2,500,-0.04187009079361551,-0.013252447614290471
qwen,superego,death,3,500,0.2536298091432874,-0.026766983187319605
qwen,superego,death,4,500,-0.1647365130102613,-0.1200799536978615
qwen,superego,death,5,500,0.06315068598370188,-0.0001743400544319212
qwen,superego,death,6,500,0.0089614190601971,6.879307674665673e-07
qwen,superego,death,7,500,0.060907036059758835,-0.008331135807368
qwen,superego,death,8,500,0.1821606639960203,-0.004687423139401453
qwen,superego,death,9,500,0.23191286259110938,-0.0061587506254033916
qwen-tiny,superego,death,0,500,-0.014016856524204544,0.22345254541945173
qwen-tiny,superego,death,1,500,0.4568145248624284,0.32709721567333955
qwen-tiny,superego,death,2,500,0.0666608435176933,-0.09315400494102283
qwen-tiny,superego,death,3,500,0.7093174164082316,9.167418972706551e-05
qwen-tiny,superego,death,4,500,0.04929488504251204,-0.024892424037703448
qwen-tiny,superego,death,5,500,0.7251832383738177,-0.012387436222029577
qwen-tiny,superego,death,6,500,0.056885662694487235,-0.032217363049673584
qwen-tiny,superego,death,7,500,0.15766305180853046,-0.004433159523478725
qwen-tiny,superego,death,8,500,0.04780762719010248,-0.00258298531380391
qwen-tiny,superego,death,9,500,0.10349322951378279,-6.467037916453572e-05
qwen3,superego,death,0,500,2.7200597663778585,0.5828513118855152
qwen3,superego,death,1,500,0.07465225859250428,-1.2003948606725152
qwen3,superego,death,2,500,-0.15210965095080503,-0.23575761858311128
qwen3,superego,death,3,500,0.3152663542009789,0.01990276084855553
qwen3,superego,death,4,500,0.11456743862870376,-0.13816288652621148
qwen3,superego,death,5,500,0.7859528195653587,-0.04931712080208981
qwen3,superego,death,6,500,0.1303520559179388,-0.08217479663469882
qwen3,superego,death,7,500,0.3502049142598781,-0.0010340687348455097
qwen3,superego,death,8,500,0.3820385364111899,-0.07498615513432935
qwen3,superego,death,9,500,0.37735444696200315,-0.16189430936938384
redpajama,superego,death,0,500,1.265630373138652,0.38907142429460956
redpajama,superego,death,1,500,0.13660810271802612,-0.22462805728429014
redpajama,superego,death,2,500,1.1772108644598096,-0.13173305458893533
redpajama,superego,death,3,500,1.3773857651420653,0.3648692455020697
redpajama,superego,death,4,500,3.8912544888243605,0.19959925150583208
redpajama,superego,death,5,500,9.195478787975876,3.2443745926738843
redpajama,superego,death,6,500,4.39919371578329,0.6240563657464208
redpajama,superego,death,7,500,8.557180827967125,5.841041011865214
redpajama,superego,death,8,500,7.5441763685949255,4.514610230527018
redpajama,superego,death,9,417,6.039175852637866,3.865995413559265
smol,superego,death,0,500,0.26275286688469257,0.4280809513145653
smol,superego,death,1,500,-3.614640699049389,-5.171064571451219
smol,superego,death,2,500,0.0371749182513834,-0.005836791563520957
smol,superego,death,3,500,0.2895500314790235,0.061225834532463254
smol,superego,death,4,500,0.12783009048021407,0.12467218006052548
smol,superego,death,5,500,0.2775553605756101,0.01959153146419533
smol,superego,death,6,500,0.19185018524983735,0.1720255335928755
smol,superego,death,7,500,0.14805882976023604,0.09472285794583157
smol,superego,death,8,500,0.41825523380111546,0.09611557262593039
smol,superego,death,9,493,0.27177142973255575,0.08864907968148308
smol3,superego,death,0,500,0.2074220531258171,-0.5295588005201218
smol3,superego,death,1,500,-6.889066017530868,-6.689906865492649
smol3,superego,death,2,500,-0.04006844277843087,-0.0016584303599504412
smol3,superego,death,3,500,-0.09053595305438268,-0.01610281855332146
smol3,superego,death,4,500,-0.24000538243057712,-0.21678756141585187
smol3,superego,death,5,500,-0.061701538420472476,-0.06918381193456664
smol3,superego,death,6,500,-0.053396707550484056,-0.03281512531936675
smol3,superego,death,7,500,-2.674830814062588e-06,-0.015489260507241972
smol3,superego,death,8,500,0.0813481287976491,-0.027410407939985806
smol3,superego,death,9,500,-0.013743113470449979,-0.05024403345449883
stablelm,superego,death,0,500,0.3893272519711558,0.2876743713640752
stablelm,superego,death,1,500,0.04673641765463065,0.012495632791825587
stablelm,superego,death,2,500,0.453511282268328,0.44370939640425733
stablelm,superego,death,3,500,0.476533961921296,0.30831021287646077
stablelm,superego,death,4,500,0.1787751827166735,0.07839840204796734
stablelm,superego,death,5,500,0.28537781543791185,0.069538756614617
stablelm,superego,death,6,500,0.4010359001864797,0.10760904238829751
stablelm,superego,death,7,500,0.2745403062910931,0.1393958161488956
stablelm,superego,death,8,500,0.22372781622897653,0.0907069130206945
stablelm,superego,death,9,500,0.21262554479425003,0.13839202737676598
zephyr,superego,death,0,1000,8.510126165925914,1.7612156791333091
zephyr,superego,death,1,1000,3.143872198652759,0.06670723740655851
zephyr,superego,death,2,1000,3.1863899742860156,0.2606633785216448
zephyr,superego,death,3,1000,1.460279337321965,0.03185587899973908
zephyr,superego,death,4,1000,2.772428640564849,0.32817647046582493
zephyr,superego,death,5,1000,2.7311142777539232,0.1983128829114739
zephyr,superego,death,6,1000,3.2136253724431634,0.11289994809454965
zephyr,superego,death,7,1000,1.6259735730579925,0.10568480526349323
zephyr,superego,death,8,1000,1.6333786839453217,0.020265896848001532
zephyr,superego,death,9,988,1.1758305930200474,0.0884844028516393
amber,ego,institutional,0,4800,9.855272457876918,3.6962970276482228
amber,ego,institutional,1,4800,4.611571409040484,0.9047471937156681
amber,ego,institutional,2,4800,2.6294338883566235,0.1211854294574595
amber,ego,institutional,3,4800,2.34113453057788,0.14794027813190858
amber,ego,institutional,4,4800,1.59008661860869,0.030123587818876175
amber,ego,institutional,5,4800,1.5447400979457067,0.1252725808335393
amber,ego,institutional,6,4800,1.2896658262713407,0.0024653547365974743
amber,ego,institutional,7,4799,1.2194723877566003,0.02570928696211692
amber,ego,institutional,8,4794,1.137326827117422,0.0008420734875034736
amber,ego,institutional,9,4761,1.1642125664361307,0.07076585067572395
archangel-dpo,ego,institutional,0,9600,0.028695282765685334,0.016474345034028712
archangel-dpo,ego,institutional,1,9600,-0.0032341961909126884,-0.0033974114705729247
archangel-dpo,ego,institutional,2,9600,-0.0026196953031106997,0.0009340569754728745
archangel-dpo,ego,institutional,3,9600,-0.019275721319309977,-0.0033638481489814925
archangel-dpo,ego,institutional,4,9600,-0.011420992911820093,-0.005461814827480947
archangel-dpo,ego,institutional,5,9600,-0.008770672264673242,-0.0026207450669233677
archangel-dpo,ego,institutional,6,9600,-0.006110747379093744,-0.002774663340790996
archangel-dpo,ego,institutional,7,9600,-0.0028305004673304717,8.110216368989646e-05
archangel-dpo,ego,institutional,8,9600,0.43090075061591426,0.001710857077301447
archangel-dpo,ego,institutional,9,9081,0.008771567819549655,0.003999071601019809
ct-llm,ego,institutional,0,2400,0.042045296352369615,0.05694046635143339
ct-llm,ego,institutional,1,2400,0.04284711341054898,0.016438732603690595
ct-llm,ego,institutional,2,2400,0.03193554366455492,0.0012287039804696654
ct-llm,ego,institutional,3,2400,0.02261195370443639,0.007757384568955286
ct-llm,ego,institutional,4,2400,0.024309107139972076,0.006981883158087363
ct-llm,ego,institutional,5,2400,0.036702065763082374,0.026869183161780687
ct-llm,ego,institutional,6,2400,0.043638557997672724,0.014636355961400498
ct-llm,ego,institutional,7,2400,0.035219987907846945,0.009400573323671071
ct-llm,ego,institutional,8,2400,0.03112269526874408,0.009147364776025263
