f1,f2,js_base,js_aligned
llama,zephyr,0.6124904155731201,0.5747936964035034
olmo,olmo-tiny,0.19466185569763184,0.3440830707550049
olmo,pythia,0.6340101957321167,0.6285802125930786
olmo,qwen,0.6518224477767944,0.6529768109321594
olmo,qwen-tiny,0.6669614315032959,0.6618894338607788
olmo,smol,0.6233507394790649,0.61625075340271
olmo,tulu,0.07874245196580887,0.32250943779945374
olmo,zephyr,0.6126911640167236,0.6101318597793579
olmo-tiny,pythia,0.6271457672119141,0.525364100933075
olmo-tiny,qwen,0.6626622676849365,0.6587115526199341
olmo-tiny,qwen-tiny,0.6705774068832397,0.6727770566940308
olmo-tiny,smol,0.6205097436904907,0.5197548270225525
olmo-tiny,tulu,0.16520319879055023,0.22303222119808197
olmo-tiny,zephyr,0.6091142296791077,0.5042802095413208
pythia,qwen,0.6503955125808716,0.6590874791145325
pythia,qwen-tiny,0.646233320236206,0.6537187099456787
pythia,smol,0.6664049029350281,0.6708565354347229
pythia,tulu,0.6333357095718384,0.5656321048736572
pythia,zephyr,0.6501036882400513,0.661771297454834
qwen,qwen-tiny,0.5620599985122681,0.5296541452407837
qwen,smol,0.6424294710159302,0.6531547904014587
qwen,tulu,0.661175549030304,0.66631680727005
qwen,zephyr,0.6161848306655884,0.6225966215133667
qwen-tiny,smol,0.6341784000396729,0.6439247131347656
qwen-tiny,tulu,0.6715569496154785,0.6797240972518921
qwen-tiny,zephyr,0.6122403144836426,0.6190429925918579
smol,tulu,0.623774528503418,0.560874879360199
smol,zephyr,0.6280218958854675,0.646349310874939
tulu,zephyr,0.6124904155731201,0.5381741523742676
amber,deepseek-7b,0.5776509046554565,0.5795375108718872
amber,llama,0.6188392639160156,0.6440505385398865
amber,olmo,0.6278244256973267,0.6272401809692383
amber,olmo-tiny,0.6381409168243408,0.6446847319602966
amber,pythia,0.6537672281265259,0.6801733374595642
amber,qwen,0.5966169834136963,0.6285804510116577
amber,qwen-tiny,0.6303209066390991,0.6348744630813599
amber,smol,0.6441892385482788,0.6767997145652771
amber,tulu,0.6188392639160156,0.655536949634552
amber,zephyr,0.6625127196311951,0.6895544528961182
deepseek-7b,llama,0.6696696281433105,0.6703559160232544
deepseek-7b,olmo,0.6695845723152161,0.67094486951828
deepseek-7b,olmo-tiny,0.6708410978317261,0.6734098196029663
deepseek-7b,pythia,0.6213929653167725,0.609271764755249
deepseek-7b,qwen,0.6645045280456543,0.6739453077316284
deepseek-7b,qwen-tiny,0.6713106632232666,0.6777106523513794
deepseek-7b,smol,0.5963389277458191,0.5934287309646606
deepseek-7b,tulu,0.6696696281433105,0.6778622269630432
deepseek-7b,zephyr,0.5753214359283447,0.5538429617881775
llama,olmo,0.2050577700138092,0.3194744884967804
llama,olmo-tiny,0.14897982776165009,0.12334491312503815
llama,pythia,0.647127091884613,0.6504092812538147
llama,qwen,0.6448787450790405,0.6475789546966553
llama,qwen-tiny,0.6531199216842651,0.6519311666488647
llama,smol,0.6433647274971008,0.6495174169540405
llama,tulu,0.0,0.07597599923610687
llama,zephyr,0.6259657144546509,0.6320484280586243
olmo,olmo-tiny,0.21905666589736938,0.3652782440185547
olmo,pythia,0.6444884538650513,0.6341512799263
olmo,qwen,0.6459240317344666,0.6686947345733643
olmo,qwen-tiny,0.6521053314208984,0.6723262667655945
olmo,smol,0.6430121660232544,0.6333092451095581
olmo,tulu,0.2050577700138092,0.249443918466568
olmo,zephyr,0.6301747560501099,0.6195096373558044
olmo-tiny,pythia,0.6558351516723633,0.6535847783088684
olmo-tiny,qwen,0.6506813764572144,0.6594142913818359
olmo-tiny,qwen-tiny,0.6531257629394531,0.6614851951599121
olmo-tiny,smol,0.6545464396476746,0.6543792486190796
olmo-tiny,tulu,0.14897982776165009,0.17319026589393616
olmo-tiny,zephyr,0.6391160488128662,0.6349573135375977
pythia,qwen,0.6496950387954712,0.6554664969444275
pythia,qwen-tiny,0.6577392816543579,0.658820629119873
pythia,smol,0.6698722839355469,0.6746115684509277
pythia,tulu,0.647127091884613,0.659784197807312
pythia,zephyr,0.6625718474388123,0.6698839664459229
qwen,qwen-tiny,0.23919826745986938,0.29407620429992676
qwen,smol,0.6492302417755127,0.6578903198242188
qwen,tulu,0.6448787450790405,0.6601977348327637
qwen,zephyr,0.6066709756851196,0.6200680136680603
qwen-tiny,smol,0.6628078818321228,0.667014479637146
qwen-tiny,tulu,0.6531199216842651,0.6638016700744629
qwen-tiny,zephyr,0.6390038132667542,0.62769615650177
smol,tulu,0.6433647274971008,0.6581530570983887
smol,zephyr,0.6476296782493591,0.6677813529968262
tulu,zephyr,0.6259657144546509,0.6473990678787231
amber,deepseek-7b,0.6114424467086792,0.6540452241897583
amber,llama,0.5783679485321045,0.5884281396865845
amber,olmo,0.600287675857544,0.6179578900337219
amber,olmo-tiny,0.5699852705001831,0.557474672794342
amber,pythia,0.6016747355461121,0.5982863903045654
amber,qwen,0.5921233892440796,0.5668516159057617
amber,qwen-tiny,0.5640732645988464,0.5699732303619385
amber,smol,0.6038404107093811,0.6357049942016602
amber,tulu,0.5783679485321045,0.48901885747909546
amber,zephyr,0.6895400285720825,0.6930893659591675
