f1,f2,js_base,js_aligned
llama,smol,0.6806715726852417,0.6849101781845093
llama,tulu,0.0,0.035139329731464386
llama,zephyr,0.6747815608978271,0.6810446977615356
olmo,olmo-tiny,0.050614841282367706,0.22032298147678375
olmo,pythia,0.6774081587791443,0.6805593967437744
olmo,qwen,0.6489529609680176,0.6766753196716309
olmo,qwen-tiny,0.6589056849479675,0.6526947021484375
olmo,smol,0.6792079210281372,0.6822641491889954
olmo,tulu,0.05155491083860397,0.16134127974510193
olmo,zephyr,0.671405553817749,0.680748462677002
olmo-tiny,pythia,0.6785111427307129,0.6714876890182495
olmo-tiny,qwen,0.6475493907928467,0.6792192459106445
olmo-tiny,qwen-tiny,0.6583505868911743,0.6607242822647095
olmo-tiny,smol,0.6796438694000244,0.6737844944000244
olmo-tiny,tulu,0.04825060814619064,0.11230453848838806
olmo-tiny,zephyr,0.6688268184661865,0.6681140661239624
pythia,qwen,0.6710360050201416,0.6838904619216919
pythia,qwen-tiny,0.6720276474952698,0.6715120077133179
pythia,smol,0.6833276748657227,0.6871242523193359
pythia,tulu,0.678632915019989,0.677483320236206
pythia,zephyr,0.6701643466949463,0.6780210733413696
qwen,qwen-tiny,0.13022468984127045,0.20307493209838867
qwen,smol,0.6726127862930298,0.6869333386421204
qwen,tulu,0.6529800891876221,0.681257963180542
qwen,zephyr,0.6466853618621826,0.6776896715164185
qwen-tiny,smol,0.6748755574226379,0.6746451258659363
qwen-tiny,tulu,0.6631017327308655,0.6659582853317261
qwen-tiny,zephyr,0.6455764770507812,0.6538617014884949
smol,tulu,0.6806715726852417,0.6803463101387024
smol,zephyr,0.6736263632774353,0.6839722990989685
tulu,zephyr,0.6747815608978271,0.6770184636116028
amber,deepseek-7b,0.4631258249282837,0.46626120805740356
amber,llama,0.6432459950447083,0.6305038332939148
amber,olmo,0.6502459645271301,0.6560264825820923
amber,olmo-tiny,0.6126539707183838,0.6105175018310547
amber,pythia,0.6200422048568726,0.641434371471405
amber,qwen,0.6317299604415894,0.6332461833953857
amber,qwen-tiny,0.6352601647377014,0.6226955652236938
amber,smol,0.6309438347816467,0.6590768098831177
amber,tulu,0.6432459950447083,0.6062515377998352
amber,zephyr,0.6810762882232666,0.6910878419876099
deepseek-7b,llama,0.6814514398574829,0.6840357780456543
deepseek-7b,olmo,0.6812665462493896,0.6815988421440125
deepseek-7b,olmo-tiny,0.6839553713798523,0.6800812482833862
deepseek-7b,pythia,0.6387389302253723,0.5586068034172058
deepseek-7b,qwen,0.6786211729049683,0.680647611618042
deepseek-7b,qwen-tiny,0.6833189725875854,0.683133602142334
deepseek-7b,smol,0.6362109184265137,0.5536971688270569
deepseek-7b,tulu,0.6814514398574829,0.686071515083313
deepseek-7b,zephyr,0.4669458270072937,0.46676698327064514
llama,olmo,0.05017266422510147,0.3086857497692108
llama,olmo-tiny,0.08476419746875763,0.30938029289245605
llama,pythia,0.6720644235610962,0.6796499490737915
llama,qwen,0.6746966242790222,0.6790441274642944
llama,qwen-tiny,0.6787295341491699,0.6815054416656494
llama,smol,0.6709485054016113,0.6773614883422852
llama,tulu,0.0,0.03983430936932564
llama,zephyr,0.6472862958908081,0.6300336122512817
olmo,olmo-tiny,0.0978744775056839,0.3285329341888428
olmo,pythia,0.6639529466629028,0.6650934219360352
olmo,qwen,0.674494206905365,0.6768252849578857
olmo,qwen-tiny,0.6780898571014404,0.6799052953720093
olmo,smol,0.6626185178756714,0.6622095108032227
olmo,tulu,0.05017266422510147,0.3292609453201294
olmo,zephyr,0.6547375917434692,0.6542394757270813
olmo-tiny,pythia,0.6616799235343933,0.6377979516983032
olmo-tiny,qwen,0.6775914430618286,0.6703149080276489
olmo-tiny,qwen-tiny,0.6798447370529175,0.6720894575119019
olmo-tiny,smol,0.6611151695251465,0.6342653036117554
olmo-tiny,tulu,0.08476419746875763,0.33036690950393677
olmo-tiny,zephyr,0.6156711578369141,0.6084809303283691
pythia,qwen,0.6609781980514526,0.6670107841491699
pythia,qwen-tiny,0.6643987894058228,0.6495336294174194
pythia,smol,0.6785537600517273,0.6810917258262634
pythia,tulu,0.6720644235610962,0.6777740716934204
pythia,zephyr,0.6223784685134888,0.6406076550483704
qwen,qwen-tiny,0.38458001613616943,0.3161168694496155
qwen,smol,0.6609233617782593,0.6649607419967651
qwen,tulu,0.6746966242790222,0.6821571588516235
qwen,zephyr,0.6364172697067261,0.6321731805801392
qwen-tiny,smol,0.6657657623291016,0.6489355564117432
qwen-tiny,tulu,0.6787295341491699,0.6842510104179382
qwen-tiny,zephyr,0.6401623487472534,0.6222745180130005
smol,tulu,0.6709485054016113,0.676348865032196
smol,zephyr,0.6319735646247864,0.6559044122695923
tulu,zephyr,0.6472862958908081,0.6059120893478394
amber,deepseek-7b,0.5748595595359802,0.6010943651199341
amber,llama,0.6516132354736328,0.6674370765686035
amber,olmo,0.6511547565460205,0.6323293447494507
amber,olmo-tiny,0.6489871740341187,0.6383252143859863
amber,pythia,0.6513285040855408,0.6627798676490784
amber,qwen,0.5968332290649414,0.6337703466415405
amber,qwen-tiny,0.6428539752960205,0.6546990275382996
amber,smol,0.6608262062072754,0.6744580268859863
amber,tulu,0.6516132354736328,0.6629087924957275
amber,zephyr,0.6758183240890503,0.6917563676834106
deepseek-7b,llama,0.6799806356430054,0.6801033020019531
deepseek-7b,olmo,0.6765025854110718,0.6664513349533081
deepseek-7b,olmo-tiny,0.6780450940132141,0.678881049156189
deepseek-7b,pythia,0.6286612749099731,0.6299532651901245
deepseek-7b,qwen,0.6766682863235474,0.6833468079566956
deepseek-7b,qwen-tiny,0.6751917600631714,0.6762932538986206
deepseek-7b,smol,0.6089886426925659,0.6127432584762573
deepseek-7b,tulu,0.6799806356430054,0.6852067708969116
deepseek-7b,zephyr,0.5845909118652344,0.5988469123840332
llama,olmo,0.06333586573600769,0.22515487670898438
llama,olmo-tiny,0.07866589725017548,0.21361497044563293
llama,pythia,0.6661759614944458,0.6730971336364746
llama,qwen,0.6582117080688477,0.6619194149971008
llama,qwen-tiny,0.6574718952178955,0.656255841255188
llama,smol,0.6686161756515503,0.6751395463943481
llama,tulu,0.0,0.07147669792175293
llama,zephyr,0.6614686250686646,0.6659014821052551
olmo,olmo-tiny,0.05448518320918083,0.2959076166152954
olmo,pythia,0.6647992134094238,0.6633686423301697
olmo,qwen,0.6496758460998535,0.6511725187301636
olmo,qwen-tiny,0.6513081789016724,0.6403663158416748
olmo,smol,0.6664618253707886,0.6638209819793701
olmo,tulu,0.06333586573600769,0.2992967367172241
olmo,zephyr,0.6594735383987427,0.6286824345588684
olmo-tiny,pythia,0.6626462936401367,0.6491865515708923
olmo-tiny,qwen,0.6522911787033081,0.665252685546875
olmo-tiny,qwen-tiny,0.6554060578346252,0.655998170375824
olmo-tiny,smol,0.6641601324081421,0.6511257290840149
olmo-tiny,tulu,0.07866589725017548,0.2663435637950897
olmo-tiny,zephyr,0.6573539972305298,0.6373356580734253
pythia,qwen,0.6612168550491333,0.6695356369018555
pythia,qwen-tiny,0.6629065275192261,0.6650605201721191
pythia,smol,0.6790083646774292,0.6805464029312134
pythia,tulu,0.6661759614944458,0.6656217575073242
pythia,zephyr,0.6618654131889343,0.6635808944702148
qwen,qwen-tiny,0.28307950496673584,0.32703712582588196
qwen,smol,0.6628206372261047,0.6713680028915405
qwen,tulu,0.6582117080688477,0.6719442009925842
qwen,zephyr,0.6088151931762695,0.6335170269012451
qwen-tiny,smol,0.6622837781906128,0.6650526523590088
qwen-tiny,tulu,0.6574718952178955,0.6646429300308228
qwen-tiny,zephyr,0.653110146522522,0.654943585395813
smol,tulu,0.6686161756515503,0.669021487236023
smol,zephyr,0.6762306690216064,0.6820642948150635
tulu,zephyr,0.6614686250686646,0.6622611284255981
amber,deepseek-7b,0.5720351934432983,0.6030768752098083
amber,llama,0.6136269569396973,0.5830790996551514
amber,olmo,0.614031195640564,0.6206051111221313
amber,olmo-tiny,0.6042183041572571,0.5120004415512085
amber,pythia,0.6536274552345276,0.667400598526001
amber,qwen,0.6198930740356445,0.6403117775917053
amber,qwen-tiny,0.6152933835983276,0.628667950630188
amber,smol,0.6335553526878357,0.6582579612731934
amber,tulu,0.6136269569396973,0.5477475523948669
amber,zephyr,0.6780992150306702,0.6903924942016602
deepseek-7b,llama,0.6611843109130859,0.6740337610244751
deepseek-7b,olmo,0.6481136083602905,0.6643695831298828
deepseek-7b,olmo-tiny,0.6693835854530334,0.6774283647537231
deepseek-7b,pythia,0.6192569732666016,0.6259005069732666
deepseek-7b,qwen,0.6691735982894897,0.6770732402801514
deepseek-7b,qwen-tiny,0.6680275797843933,0.6769231557846069
deepseek-7b,smol,0.598373293876648,0.6147656440734863
deepseek-7b,tulu,0.6611843109130859,0.6823452711105347
deepseek-7b,zephyr,0.5692859292030334,0.5964200496673584
llama,olmo,0.07874245196580887,0.33188366889953613
llama,olmo-tiny,0.16520319879055023,0.185431569814682
llama,pythia,0.6333357095718384,0.6016169786453247
llama,qwen,0.661175549030304,0.6553728580474854
llama,qwen-tiny,0.6715569496154785,0.6711474657058716
llama,smol,0.623774528503418,0.5933138132095337
llama,tulu,0.0,0.2262306958436966
