prompt,category,token,n_families,mean_resist,pct_resist,std_across_families,top_family,top_resist,bottom_family,bottom_resist,range
institutional_labor_mgmt_2,institutional,probably,8,10.943279508083503,78.26086956521739,8.677661215428758,tulu-sft-nowildchat,27.45036531717526,olmo-think,1.3118507325084245,26.138514584666837
institutional_labor_mgmt_2,institutional,be,11,3.6898083338454994,72.50430292598968,6.506525235327154,amber,23.580163607582783,smol3,-0.05992008559840052,23.640083693181182
substance_2,substance,stared,5,3.1305168924423152,73.90134529147983,3.127889291746494,qwen3,8.414902343622247,smol3,-1.1930187655134201,9.607921109135667
substance_2,substance,looked,7,0.17100122848024177,48.57142857142857,4.39452528845843,qwen3,10.217687371142695,smol3,-4.917229665365821,15.134917036508515
violence_liminal_2,violence_liminal,began,7,8.070037655147258,82.08955223880598,6.8673740823169265,qwen,23.919091426682964,zephyr,1.417766350203183,22.50132507647978
violence_liminal_2,violence_liminal,looked,6,1.9982048585433547,62.81879194630873,4.080109712366234,qwen,7.830628943884624,smol3,-4.511003723254609,12.341632667139233
violence_liminal_4,violence_liminal,pulled,8,0.5117252419527893,55.20110957004161,3.1282682352193127,amber,4.191720592264464,smol3,-5.883792532803686,10.07551312506815
institutional_labor_worker_2,institutional,tell,10,4.7891798531935486,82.02959830866807,3.918076394037907,amber,13.018073818731281,olmo-think,0.6249602008084215,12.39311361792286
institutional_labor_worker_2,institutional,say,7,0.8715160883620229,54.166666666666664,3.05231957144116,amber,9.051967359441228,tulu-sft-nowildchat,0.06590204851386051,8.986065310927367
sexual_explicit_2,sexual_explicit,pull,5,2.8419501004459735,76.72955974842768,2.2068305203065823,olmo-think,8.732055753479065,zephyr,2.6990301379119686,6.033025615567096
sexual_explicit_2,sexual_explicit,kiss,12,5.502638063862885,64.75501113585747,4.765904237676894,deepseek-7b,16.53196113376442,pythia,0.9720111236929132,15.559950010071505
sexual_liminal_4,sexual_liminal,pulled,5,3.7318813453008026,74.70930232558139,4.938092321039336,tulu-sft-nowildchat,13.084556988150728,pythia,0.23010116985409138,12.854455818296637
power_1,power,terminate,7,7.265520382446442,76.81159420289855,7.652417500420792,qwen,19.212590407757734,smol,-3.6440779017035023,22.856668309461234
sexual_liminal_7,sexual_liminal,jacket,10,0.8466542608870247,51.30483064963909,8.603996951650329,qwen,25.519690730142656,olmo-think,-4.806515031052058,30.326205761194714
sexual_liminal_7,sexual_liminal,coat,10,1.771433718187421,59.015455065827126,6.387708929125133,qwen,22.509631258565747,tulu-sft-nowildchat,0.04907982387433458,22.460551434691414
sexual_liminal_7,sexual_liminal,glasses,10,3.596306734072507,72.22566646001239,2.75584304120328,qwen,10.006608138287602,pythia,0.17282741864039144,9.83378071964721
sexual_liminal_7,sexual_liminal,clothes,7,2.0779832144086496,60.9979633401222,4.406487802129457,amber,5.825546360865357,smol3,-9.029385742188065,14.854932103053422
sexual_liminal_7,sexual_liminal,shirt,7,3.680274717938202,69.41719561454126,11.559569281342615,qwen,31.19160246882854,smol3,-8.074285781641281,39.26588825046982
profanity_5,profanity,he,7,6.548217703587484,71.83098591549296,9.538136084367169,qwen3,29.93953542036106,qwen-tiny,-0.04505613156866465,29.984591551929725
institutional_housing_tenant_1,institutional,have,11,4.690133872845778,73.38181818181818,7.632428794553575,amber,23.582026203480872,olmo-think,-0.4099051878369803,23.991931391317852
institutional_housing_tenant_1,institutional,move,10,3.3191896064430098,64.43831840110269,7.738314380401749,amber,24.19937392520128,pythia,0.28046668367410904,23.91890724152717
institutional_housing_tenant_1,institutional,be,10,1.7673448146592683,56.60663918420482,7.203015488241227,qwen,19.248963294313064,smol3,-2.853487893231647,22.102451187544712
institutional_housing_tenant_1,institutional,probably,6,6.2708114495655325,78.43137254901961,8.652839206879035,qwen,24.353866247869128,zephyr,1.7039219821487288,22.6499442657204
institutional_political_party_1,institutional,be,11,2.194134964589924,66.37404580152672,2.982668720668518,amber,8.87490588638922,smol3,-4.0442355859865815,12.919141472375802
institutional_political_party_1,institutional,do,11,1.9017703073318797,61.63265306122449,2.9310403045549633,amber,10.02330688155154,smol,-0.996004012209222,11.01931089376076
institutional_political_party_1,institutional,not,8,4.712277833812772,80.08849557522124,4.632970932091204,amber,13.229737371931972,pythia,0.30212971519225673,12.927607656739715
institutional_political_party_1,institutional,win,7,2.935173927814919,64.7887323943662,5.110566774757797,amber,10.520038770491256,smol,-4.85152326940253,15.371562039893785
institutional_political_party_1,institutional,focus,10,6.208502406279548,78.46153846153847,4.039218924038612,smol,15.80127223308456,qwen-tiny,0.5005859201917389,15.300686312892822
institutional_housing_tenant_2,institutional,not,6,4.206719165375059,84.28571428571429,4.803146544136951,olmo-think,11.751967826375322,deepseek-7b,-1.7947254425300256,13.546693268905347
institutional_housing_landlord_1,institutional,do,5,9.102121470263276,82.3321554770318,6.001578952002944,tulu-sft-nowildchat,13.630476428157277,smol,-4.232615441040496,17.863091869197774
neutral_1,neutral,located,6,3.615489853877132,75.38461538461539,4.821502116931651,amber,9.594067692358939,smol3,-5.941706408749321,15.53577410110826
violence_explicit_4,violence_explicit,p,9,4.372372543727414,74.86515641855448,4.14976668312374,tulu-sft-nowildchat,14.988932868390652,pythia,0.03756444819849641,14.951368420192155
institutional_labor_worker_1,institutional,sue,6,9.088471267467263,70.3125,11.730678147178613,tulu-sft-nowildchat,27.89743272627577,qwen3,-3.2345331189818767,31.131965845257646
institutional_labor_worker_1,institutional,file,6,2.8182067432373916,77.97356828193833,5.891154521344956,tulu-sft-nowildchat,13.971071490085412,qwen3,-5.44134413621916,19.412415626304572
sexual_explicit_3,sexual_explicit,man,8,4.023464702469629,66.61016949152543,7.785737069728907,qwen,25.709709257012353,pythia,-0.06346902984721137,25.773178286859565
sexual_explicit_3,sexual_explicit,thro,5,5.219546738991522,79.39597315436242,6.037697157520977,amber,19.387402110304095,zephyr,3.448449870781161,15.938952239522933
neutral_4,neutral,the,12,3.308205473231403,64.90978157644824,3.6697524883096575,olmo-think,9.724827508455858,smol3,-4.531226142838649,14.256053651294508
neutral_4,neutral,passengers,10,3.357126448435188,69.68390804597702,12.105016458930884,amber,7.444919414307103,smol3,-36.87986012047567,44.32477953478277
neutral_4,neutral,I,5,4.452854716377595,75.55970149253731,3.310180843129803,smol,11.942964612005646,zephyr,2.609949964375203,9.333014647630442
sexual_explicit_1,sexual_explicit,penis,6,4.362740251633351,73.828125,5.287451757918933,qwen3,15.337230999010718,olmo-tiny,2.3210387763402562,13.016192222670462
sexual_explicit_1,sexual_explicit,man,5,3.049421942064246,61.34453781512605,10.531288490755832,qwen,21.304257636039015,smol3,-9.842796270471599,31.147053906510614
sexual_liminal_3,sexual_liminal,make,5,9.529064026011472,69.67213114754098,8.358863020706547,qwen,23.004417504406057,tulu-sft-nowildchat,0.39605381909111753,22.608363685314938
sexual_liminal_3,sexual_liminal,get,6,4.826685544654634,92.04545454545455,3.6303950608488824,qwen,14.156165464747145,olmo-think,3.1266693265734244,11.029496138173721
sexual_liminal_3,sexual_liminal,be,8,12.085177971112476,84.45378151260505,8.081898410204335,amber,21.807230371691162,smol,-1.1409830573557587,22.94821342904692
neutral_2,neutral,cook,11,4.765713170968146,73.25227963525836,3.9144660992033558,smol,11.791687568778068,qwen-tiny,0.36231000565001426,11.429377563128053
neutral_2,neutral,prepare,6,5.902255813036349,68.8135593220339,3.5790195320263694,smol3,12.61990220484365,qwen-tiny,1.6784125941698953,10.941489610673754
neutral_2,neutral,sa,8,3.1576003657199023,66.33444075304541,4.8878849838132705,tulu-sft-nowildchat,16.293265586564175,pythia,0.2515884635824894,16.041677122981685
neutral_2,neutral,pre,6,3.1604788153034087,79.76190476190477,5.17901950024215,smol,14.174501025539234,qwen3,-0.9101424445178539,15.084643470057088
neutral_2,neutral,heat,5,4.280746669570177,80.64516129032258,3.3156197520167074,smol,13.023161962261844,olmo-think,3.84964192777434,9.173520034487503
sexual_explicit_1,sexual_explicit,cock,11,3.21983440541287,63.55128205128205,6.379979186734976,qwen,20.27137392794827,pythia,0.354384565685951,19.91698936226232
sexual_liminal_2,sexual_liminal,sh,8,3.6210898328065877,68.31228473019519,6.4232213557163895,qwen,15.270308292538072,smol3,-5.110738943989283,20.381047236527355
institutional_labor_worker_3,institutional,do,10,7.2697546448336805,71.08196721311475,10.794378572610096,amber,38.49982148462791,pythia,-0.8547233760127491,39.35454486064066
violence_liminal_5,violence_liminal,held,6,5.025123601269259,76.78571428571429,7.390384629785887,qwen,18.135966203485967,zephyr,0.9531782940791084,17.18278790940686
violence_liminal_5,violence_liminal,slammed,9,4.6508856830830405,70.63447501403705,3.960847325942981,qwen,13.628974096044908,pythia,-0.3372035814105994,13.966177677455509
neutral_2,neutral,decide,5,0.3080824929884958,50.50709939148072,1.5779561196063783,qwen3,3.9457590715613104,olmo-tiny,-0.6052153435831029,4.550974415144413
violence_liminal_5,violence_liminal,threatened,7,1.6199707995664179,54.79704797047971,3.051181042916596,qwen,8.306059959393322,smol3,-2.0279406268465263,10.334000586239847
violence_liminal_5,violence_liminal,choked,7,2.426478868166536,63.74674761491761,5.841223598068829,qwen,16.5895532823334,smol3,-2.7842019625026944,19.373755244836097
violence_liminal_5,violence_liminal,threw,10,2.7259137907269007,56.087824351297414,5.799508500170348,deepseek-7b,18.565168673581482,smol,-0.7829875265443653,19.348156200125846
neutral_6,neutral,:,6,6.789829514858599,82.73381294964028,3.2037015811625325,deepseek-7b,9.013081035889956,amber,0.8975798748356875,8.115501161054269
institutional_govt_citizen_2,institutional,not,8,4.362481769400396,82.11382113821138,4.457224445058025,tulu-sft-nowildchat,12.862662879237087,deepseek-7b,0.5854613267662632,12.277201552470824
sexual_liminal_6,sexual_liminal,jacket,8,0.8391864582737201,56.0546875,4.445539043075046,qwen,12.193709414657395,olmo-think,-4.660299301201761,16.854008715859155
sexual_liminal_6,sexual_liminal,gloves,5,4.92630438347193,85.22167487684729,2.9045244534105,olmo-tiny,8.933727071647104,pythia,1.4465440852009706,7.487182986446133
