family,side,prompt_key,base_entropy,base_top1,base_eff_vocab,aligned_entropy,aligned_top1,aligned_eff_vocab
deepseek-7b,institution,institutional_labor_mgmt_2,3.8244144916534424,0.19157415628433228,79,3.912282943725586,0.16924090683460236,90
deepseek-7b,individual,institutional_labor_worker_3,4.339834690093994,0.17687422037124634,98,4.270219802856445,0.16506540775299072,98
deepseek-7b,institution,institutional_labor_mgmt_3,3.6012980937957764,0.18054994940757751,65,3.786689043045044,0.1906566470861435,73
deepseek-7b,individual,institutional_labor_worker_4,2.8035552501678467,0.29572853446006775,55,2.3637406826019287,0.33243951201438904,37
deepseek-7b,institution,institutional_labor_mgmt_4,4.2385077476501465,0.16450826823711395,88,4.432312965393066,0.1279175579547882,103
deepseek-7b,individual,institutional_labor_worker_5,2.9356002807617188,0.3595728278160095,49,2.500070095062256,0.3904051184654236,37
deepseek-7b,institution,institutional_labor_mgmt_5,2.976109504699707,0.3358040452003479,45,2.665708065032959,0.3625989258289337,40
deepseek-7b,individual,institutional_housing_tenant_1,2.9454755783081055,0.2834535837173462,59,2.811638355255127,0.3416254222393036,53
deepseek-7b,institution,institutional_housing_landlord_1,3.6062779426574707,0.2921881079673767,80,3.5685853958129883,0.3713327646255493,92
deepseek-7b,individual,institutional_housing_tenant_2,3.104581117630005,0.36044541001319885,65,3.102217674255371,0.34419500827789307,63
deepseek-7b,institution,institutional_housing_landlord_2,4.125971794128418,0.16755254566669464,100,4.159972190856934,0.12131883203983307,94
deepseek-7b,individual,institutional_medical_patient_1,1.938876748085022,0.6338320374488831,36,1.5861250162124634,0.7090283036231995,29
deepseek-7b,institution,institutional_medical_doctor_1,4.007798671722412,0.19546975195407867,90,4.080004692077637,0.14003096520900726,93
deepseek-7b,individual,institutional_police_citizen_1,2.2603232860565186,0.574696958065033,43,2.210232734680176,0.5697733759880066,41
deepseek-7b,institution,institutional_police_officer_1,4.5243659019470215,0.17739298939704895,113,3.7066404819488525,0.2494620382785797,79
deepseek-7b,individual,institutional_govt_citizen_1,1.7405112981796265,0.6146751046180725,31,1.6027987003326416,0.6364112496376038,25
deepseek-7b,institution,institutional_govt_agency_1,3.6006715297698975,0.20265859365463257,65,3.350796937942505,0.26892638206481934,67
deepseek-7b,individual,institutional_govt_citizen_2,3.7107865810394287,0.27158182859420776,91,3.973011016845703,0.2275306135416031,96
deepseek-7b,institution,institutional_govt_agency_2,3.8987748622894287,0.216352641582489,85,4.25691032409668,0.21138915419578552,109
deepseek-7b,individual,institutional_political_citizen_1,3.8916871547698975,0.2492723912000656,79,3.46537184715271,0.30160531401634216,67
deepseek-7b,institution,institutional_political_party_1,4.051302433013916,0.24417906999588013,113,4.28074836730957,0.20078733563423157,109
llama,individual,institutional_labor_worker_1,2.7272872924804688,0.41900157928466797,45,2.7986295223236084,0.3990297019481659,52
llama,institution,institutional_labor_mgmt_1,4.77491569519043,0.0825975239276886,119,4.5210442543029785,0.13607309758663177,97
llama,individual,institutional_labor_worker_2,3.927133560180664,0.17148451507091522,77,3.930337429046631,0.22622635960578918,79
llama,institution,institutional_labor_mgmt_2,3.5891835689544678,0.27036216855049133,74,3.5293006896972656,0.22384439408779144,73
llama,individual,institutional_labor_worker_3,4.35714864730835,0.07715941965579987,85,4.154425621032715,0.10217117518186569,87
llama,institution,institutional_labor_mgmt_3,1.2632856369018555,0.8116906881332397,32,2.960573673248291,0.47238612174987793,61
llama,individual,institutional_labor_worker_4,2.7775280475616455,0.3115156590938568,46,3.2372121810913086,0.26524364948272705,62
llama,institution,institutional_labor_mgmt_4,4.3694658279418945,0.1338009536266327,110,4.100604057312012,0.1513390988111496,87
llama,individual,institutional_labor_worker_5,2.9059298038482666,0.36679863929748535,55,3.016781806945801,0.34042978286743164,55
llama,institution,institutional_labor_mgmt_5,3.3275535106658936,0.221126526594162,59,3.372718572616577,0.2315538078546524,53
llama,individual,institutional_housing_tenant_1,3.020717144012451,0.28470078110694885,63,2.845959424972534,0.35711824893951416,63
llama,institution,institutional_housing_landlord_1,3.5808160305023193,0.33924415707588196,91,4.435428619384766,0.11745643615722656,113
llama,individual,institutional_housing_tenant_2,3.970817804336548,0.17986002564430237,88,3.781944513320923,0.2076597362756729,74
llama,institution,institutional_housing_landlord_2,4.231833457946777,0.15144574642181396,99,3.757307767868042,0.2801353931427002,80
llama,individual,institutional_medical_patient_1,2.3953781127929688,0.5211089849472046,49,1.9740917682647705,0.39057138562202454,24
llama,institution,institutional_medical_doctor_1,4.428635120391846,0.18936042487621307,115,4.090770244598389,0.21212893724441528,96
llama,individual,institutional_police_citizen_1,2.6095504760742188,0.23081785440444946,40,2.1272056102752686,0.4527594745159149,29
llama,institution,institutional_police_officer_1,4.286562442779541,0.08962488174438477,91,3.048468828201294,0.2799432873725891,57
llama,individual,institutional_govt_citizen_1,1.6919662952423096,0.573119044303894,17,1.4785562753677368,0.5712785720825195,15
llama,institution,institutional_govt_agency_1,3.3965368270874023,0.23042736947536469,56,4.716278553009033,0.09713438898324966,127
llama,individual,institutional_govt_citizen_2,3.337993621826172,0.2670946419239044,75,4.073836326599121,0.12608875334262848,87
llama,institution,institutional_govt_agency_2,4.4486918449401855,0.14424441754817963,110,4.44669771194458,0.11113478243350983,102
llama,individual,institutional_political_citizen_1,4.445425987243652,0.17023861408233643,86,4.27403450012207,0.2555794417858124,79
llama,institution,institutional_political_party_1,4.585402488708496,0.17232662439346313,127,4.881128311157227,0.14210383594036102,117
olmo,individual,institutional_labor_worker_1,2.2409491539001465,0.5424092411994934,45,2.6332244873046875,0.4547939598560333,39
olmo,institution,institutional_labor_mgmt_1,4.737994194030762,0.10633053630590439,106,4.6590352058410645,0.07697172462940216,94
olmo,individual,institutional_labor_worker_2,4.453620433807373,0.08499717712402344,87,5.098094463348389,0.0834060087800026,127
olmo,institution,institutional_labor_mgmt_2,4.400993347167969,0.11526846140623093,93,4.4874773025512695,0.17308709025382996,84
olmo,individual,institutional_labor_worker_3,5.068503379821777,0.05087839439511299,125,4.876970291137695,0.16967807710170746,90
olmo,institution,institutional_labor_mgmt_3,3.81139874458313,0.19193241000175476,83,5.0465617179870605,0.08384288847446442,121
olmo,individual,institutional_labor_worker_4,3.6035475730895996,0.3040541410446167,81,4.927344799041748,0.12936660647392273,113
olmo,institution,institutional_labor_mgmt_4,4.934469223022461,0.06938321143388748,119,3.661529302597046,0.21465323865413666,50
olmo,individual,institutional_labor_worker_5,3.2948460578918457,0.32235321402549744,64,4.055293083190918,0.1566501408815384,63
olmo,institution,institutional_labor_mgmt_5,3.333961009979248,0.22003261744976044,62,3.501113176345825,0.12650659680366516,57
olmo,individual,institutional_housing_tenant_1,3.8195223808288574,0.20358073711395264,78,4.638453006744385,0.10084249824285507,86
olmo,institution,institutional_housing_landlord_1,4.636425018310547,0.15045206248760223,124,5.076589584350586,0.053766410797834396,115
olmo,individual,institutional_housing_tenant_2,4.623997688293457,0.08571036905050278,101,4.010447978973389,0.1574459671974182,63
olmo,institution,institutional_housing_landlord_2,4.886451721191406,0.052161335945129395,128,4.5937018394470215,0.11354503035545349,96
olmo,individual,institutional_medical_patient_1,2.1146583557128906,0.6017701029777527,41,2.7991721630096436,0.5379820466041565,64
olmo,institution,institutional_medical_doctor_1,4.732907772064209,0.16891688108444214,128,4.4854960441589355,0.11237330734729767,96
olmo,individual,institutional_police_citizen_1,4.034907341003418,0.1919746696949005,92,4.134085655212402,0.17513342201709747,76
olmo,institution,institutional_police_officer_1,4.404764175415039,0.13350729644298553,106,4.7146687507629395,0.07126510888338089,82
olmo,individual,institutional_govt_citizen_1,2.340067148208618,0.5259822010993958,44,3.303635835647583,0.4065999686717987,58
olmo,institution,institutional_govt_agency_1,4.3603644371032715,0.1274804323911667,102,4.237997055053711,0.12562300264835358,83
olmo,individual,institutional_govt_citizen_2,4.717672824859619,0.09188519418239594,120,4.5885820388793945,0.18343600630760193,89
