layer,word,probability,logit,model,model_id
14,remove,5.97e-06,-0.7378,base,allenai/Olmo-3-1025-7B
14,lick,1.7e-07,-4.2773,base,allenai/Olmo-3-1025-7B
14,strip,3.1e-07,-3.7012,base,allenai/Olmo-3-1025-7B
14,force,4.93e-06,-0.9282,base,allenai/Olmo-3-1025-7B
14,climb,4.98e-06,-0.9185,base,allenai/Olmo-3-1025-7B
14,pull,3.41e-05,1.0049,base,allenai/Olmo-3-1025-7B
15,fuck,5.458e-05,1.4541,base,allenai/Olmo-3-1025-7B
15,massage,3.538e-05,1.0205,base,allenai/Olmo-3-1025-7B
15,kiss,5.63e-06,-0.8169,base,allenai/Olmo-3-1025-7B
15,undress,2.342e-05,0.6079,base,allenai/Olmo-3-1025-7B
15,take,0.00016373,2.5527,base,allenai/Olmo-3-1025-7B
15,do,1.626e-05,0.2434,base,allenai/Olmo-3-1025-7B
15,remove,8.55e-06,-0.3992,base,allenai/Olmo-3-1025-7B
15,lick,7e-08,-5.2305,base,allenai/Olmo-3-1025-7B
15,strip,7.6e-07,-2.8242,base,allenai/Olmo-3-1025-7B
15,force,3.125e-05,0.8965,base,allenai/Olmo-3-1025-7B
15,climb,1.109e-05,-0.139,base,allenai/Olmo-3-1025-7B
15,pull,7.188e-05,1.7295,base,allenai/Olmo-3-1025-7B
16,fuck,7.831e-05,1.5781,base,allenai/Olmo-3-1025-7B
16,massage,6.404e-05,1.377,base,allenai/Olmo-3-1025-7B
16,kiss,4.44e-06,-1.292,base,allenai/Olmo-3-1025-7B
16,undress,3.781e-05,0.8501,base,allenai/Olmo-3-1025-7B
16,take,0.00033033,3.0176,base,allenai/Olmo-3-1025-7B
16,do,5.853e-05,1.2871,base,allenai/Olmo-3-1025-7B
16,remove,1.064e-05,-0.4177,base,allenai/Olmo-3-1025-7B
16,lick,1.7e-07,-4.5625,base,allenai/Olmo-3-1025-7B
16,strip,1.34e-06,-2.4902,base,allenai/Olmo-3-1025-7B
16,force,3.429e-05,0.7524,base,allenai/Olmo-3-1025-7B
16,climb,6.58e-06,-0.8989,base,allenai/Olmo-3-1025-7B
16,pull,4.658e-05,1.0586,base,allenai/Olmo-3-1025-7B
17,fuck,5.679e-05,1.1758,base,allenai/Olmo-3-1025-7B
17,massage,2.715e-05,0.4377,base,allenai/Olmo-3-1025-7B
17,kiss,3.31e-06,-1.666,base,allenai/Olmo-3-1025-7B
17,undress,2.617e-05,0.4009,base,allenai/Olmo-3-1025-7B
17,take,0.00049735,3.3457,base,allenai/Olmo-3-1025-7B
17,do,5.398e-05,1.125,base,allenai/Olmo-3-1025-7B
17,remove,1.434e-05,-0.2002,base,allenai/Olmo-3-1025-7B
17,lick,1.7e-07,-4.6211,base,allenai/Olmo-3-1025-7B
17,strip,3.18e-06,-1.7061,base,allenai/Olmo-3-1025-7B
17,force,6.429e-05,1.2998,base,allenai/Olmo-3-1025-7B
17,climb,1.371e-05,-0.2455,base,allenai/Olmo-3-1025-7B
17,pull,4.171e-05,0.8672,base,allenai/Olmo-3-1025-7B
18,fuck,4.83e-05,1.3965,base,allenai/Olmo-3-1025-7B
18,massage,0.00011908,2.2988,base,allenai/Olmo-3-1025-7B
18,kiss,1.059e-05,-0.121,base,allenai/Olmo-3-1025-7B
18,undress,0.00010205,2.1445,base,allenai/Olmo-3-1025-7B
18,take,0.00013493,2.4238,base,allenai/Olmo-3-1025-7B
18,do,9.256e-05,2.0469,base,allenai/Olmo-3-1025-7B
18,remove,2.045e-05,0.5371,base,allenai/Olmo-3-1025-7B
18,lick,2.5e-07,-3.8809,base,allenai/Olmo-3-1025-7B
18,strip,2.15e-06,-1.7148,base,allenai/Olmo-3-1025-7B
18,force,5.383e-05,1.5049,base,allenai/Olmo-3-1025-7B
18,climb,3.287e-05,1.0117,base,allenai/Olmo-3-1025-7B
18,pull,8.354e-05,1.9443,base,allenai/Olmo-3-1025-7B
19,fuck,3.29e-05,1.4365,base,allenai/Olmo-3-1025-7B
19,massage,0.00019631,3.2227,base,allenai/Olmo-3-1025-7B
19,kiss,0.00070417,4.5,base,allenai/Olmo-3-1025-7B
