corpus_id,variant,author,idx,n_chars,n_words,blt_bits_per_char
human/original/mansfield,original,mansfield,16,567,100,1.160766985542276
human/original/mansfield,original,mansfield,17,545,100,1.3228168774344846
human/original/mansfield,original,mansfield,18,531,100,1.361980736301918
human/original/mansfield,original,mansfield,19,575,100,1.4152233673720993
human/original/mansfield,original,mansfield,20,535,100,1.6148813681756216
human/original/mansfield,original,mansfield,21,562,100,1.1881594820200942
human/original/mansfield,original,mansfield,22,583,100,1.3607125960225308
human/original/mansfield,original,mansfield,23,573,100,1.2131965018600672
human/original/mansfield,original,mansfield,24,575,100,1.9976501442288435
human/original/mansfield,original,mansfield,25,583,100,1.2341555761431897
human/original/mansfield,original,mansfield,26,537,100,1.4416961693504102
human/original/mansfield,original,mansfield,27,566,100,1.028623721635657
human/original/mansfield,original,mansfield,28,586,100,1.3772826076314557
human/original/mansfield,original,mansfield,29,577,100,1.2901491679008543
human/original/mansfield,original,mansfield,30,543,100,1.2205585295977575
human/original/mansfield,original,mansfield,31,580,100,1.2544019463678662
human/original/mansfield,original,mansfield,32,551,100,1.14805063108441
human/original/mansfield,original,mansfield,33,550,100,1.1705917392333536
human/original/mansfield,original,mansfield,34,565,100,0.9877231579746484
human/original/mansfield,original,mansfield,35,580,100,1.126029200445893
human/original/mansfield,original,mansfield,36,526,100,1.296904398644787
human/original/mansfield,original,mansfield,37,561,100,1.308846629695243
human/original/mansfield,original,mansfield,38,598,100,1.4240637683266346
human/original/mansfield,original,mansfield,39,556,100,1.7428360676572734
human/original/mansfield,original,mansfield,40,556,100,1.2608456662826393
human/original/mansfield,original,mansfield,41,533,100,1.2947768446516281
human/original/mansfield,original,mansfield,42,540,100,1.3450788212676883
human/original/mansfield,original,mansfield,43,537,100,1.4473592175379149
human/original/mansfield,original,mansfield,44,547,100,1.3323330902098898
human/original/mansfield,original,mansfield,45,488,100,1.110477849079798
human/original/mansfield,original,mansfield,46,532,100,1.165313055149562
human/original/mansfield,original,mansfield,47,518,100,1.236039559758753
human/original/mansfield,original,mansfield,48,540,100,1.0180452362442505
human/original/mansfield,original,mansfield,49,544,100,1.1551165917990578
human/original/mansfield,original,mansfield,50,537,100,1.2403150163812142
human/original/mansfield,original,mansfield,51,519,100,1.8253036032271028
human/original/mansfield,original,mansfield,52,526,100,1.1376563738566527
human/original/mansfield,original,mansfield,53,393,65,1.1935540886585814
human/basic/hemingway,basic,hemingway,0,519,100,1.111192352012759
human/basic/hemingway,basic,hemingway,1,462,100,1.3819731932502333
human/basic/hemingway,basic,hemingway,2,512,100,1.1198103290164938
human/basic/hemingway,basic,hemingway,3,503,100,1.3379972563629627
human/basic/hemingway,basic,hemingway,4,516,100,1.4187127521627443
human/basic/hemingway,basic,hemingway,5,546,100,1.3098373336975409
human/basic/hemingway,basic,hemingway,6,540,100,1.1814320526194146
human/basic/hemingway,basic,hemingway,7,538,100,1.02185070742233
human/basic/hemingway,basic,hemingway,8,495,100,0.989334973447881
human/basic/hemingway,basic,hemingway,9,486,100,1.001481494180354
human/basic/hemingway,basic,hemingway,10,438,100,1.4595231892083735
human/basic/hemingway,basic,hemingway,11,483,100,1.0715505405718222
human/basic/hemingway,basic,hemingway,12,303,56,1.2496548262263851
human/basic/anderson,basic,anderson,0,499,100,1.0980719135104082
human/basic/anderson,basic,anderson,1,481,100,1.2837883308353224
human/basic/anderson,basic,anderson,2,516,100,1.1929843803474993
human/basic/anderson,basic,anderson,3,494,100,1.3582824867768999
human/basic/anderson,basic,anderson,4,508,100,1.6219212162156524
human/basic/anderson,basic,anderson,5,494,100,1.2092039018705314
human/basic/anderson,basic,anderson,6,517,100,1.24691155704605
human/basic/anderson,basic,anderson,7,566,100,1.2466294712216346
human/basic/anderson,basic,anderson,8,480,100,1.0990345624978728
human/basic/anderson,basic,anderson,9,510,100,1.454086956965755
human/basic/anderson,basic,anderson,10,499,100,1.1191228290659523
human/basic/anderson,basic,anderson,11,464,96,1.376268572951342
