family,pair,layer,prompt,pole1_mass,pole2_mass,blend_mass,in_frame,remainder
llama,obey/rebel,dpo,A,0.38065397500582127,0.013207956694217936,0.12568708135690673,0.5195490130569459,0.4804509869430541
llama,obey/rebel,dpo,B,0.20577601749288726,0.1387789398264733,0.10765101259516091,0.4522059699145215,0.5477940300854784
llama,obey/rebel,dpo,AB,0.2641154467206045,0.09159122914233658,0.12671282945898513,0.48241950532192623,0.5175804946780738
llama,pleasure/pain,base,A,0.13632612195000285,0.0737648152978185,0.16643385373899433,0.3765247909868157,0.6234752090131843
llama,pleasure/pain,base,B,0.020578971582486862,0.41281713884079857,0.0977807570146556,0.531176867437941,0.468823132562059
llama,pleasure/pain,base,AB,0.09110890563456568,0.14203059622320444,0.18670876489350724,0.41984826675127734,0.5801517332487227
llama,pleasure/pain,dpo,A,0.12346756144917337,0.044752968638944096,0.16527925953936737,0.33349978962748483,0.6665002103725152
llama,pleasure/pain,dpo,B,0.015217134094353614,0.3228271800648878,0.10745601367240798,0.4455003278316494,0.5544996721683506
llama,pleasure/pain,dpo,AB,0.08541409264847485,0.10920706673726066,0.21334112111673206,0.4079622805024676,0.5920377194975324
amber,love/hate,base,A,0.40136694761003866,0.01026846288943167,0.07500392773433687,0.48663933823380723,0.5133606617661928
amber,love/hate,base,B,0.046679913748860026,0.35326068984284886,0.06561605389083618,0.4655566574825451,0.5344433425174548
amber,love/hate,base,AB,0.2309093581814688,0.21709136301256435,0.06458351833419719,0.5125842395282303,0.4874157604717697
amber,love/hate,sft,A,0.4074022366721503,0.00416958123864584,0.09631125021654421,0.5078830681273404,0.4921169318726596
amber,love/hate,sft,B,0.049494005685294884,0.2889552890101449,0.12406041460468814,0.4625097093001279,0.5374902906998721
amber,love/hate,sft,AB,0.36956583320770947,0.14057159315357354,0.08152553242410715,0.5916629587853901,0.4083370412146099
amber,love/hate,dpo,A,0.18678817656035968,0.0005939408809061615,0.31209774491146774,0.49947986235273356,0.5005201376472664
amber,love/hate,dpo,B,0.038315314169462884,0.2296857109565277,0.28294001753942677,0.5509410426654173,0.4490589573345827
amber,love/hate,dpo,AB,0.16462557546942036,0.07413557087494671,0.20881517190384108,0.44757631824820815,0.5524236817517918
amber,trust/fear,base,A,0.25795097270988265,0.024456060602107678,0.13638250963025186,0.41878954294224224,0.5812104570577578
amber,trust/fear,base,B,0.09713495329383799,0.12917845485559096,0.1266488554728525,0.35296226362228145,0.6470377363777186
amber,trust/fear,base,AB,0.21639987073139522,0.03246780630060003,0.13851494717742394,0.38738262420941916,0.6126173757905808
amber,trust/fear,sft,A,0.38620201231626605,0.026337019777026013,0.22000828780996606,0.6325473199032581,0.3674526800967419
amber,trust/fear,sft,B,0.10497916728650938,0.21798668678770677,0.15119295133618949,0.47415880541040567,0.5258411945895943
amber,trust/fear,sft,AB,0.31994831883982977,0.05268262165534616,0.1567944441109655,0.5294253846061414,0.4705746153938586
amber,trust/fear,dpo,A,0.30702774805746585,0.005666678158236442,0.3121968655337793,0.6248912917494815,0.37510870825051845
