family,direction,category,position,mean_resist,std_resist,n
tulu,reverse,violence_explicit,1,0.14899180508340107,0.4054568414460257,1500
tulu,reverse,violence_explicit,2,0.39438917856667466,0.7769696094126695,1500
tulu,reverse,violence_explicit,3,0.33722082017889543,0.7147344161080169,1500
tulu,reverse,violence_explicit,4,0.4427578603145426,0.684690969969413,1500
tulu,reverse,violence_explicit,5,0.7063874236855087,1.2971107608853831,1500
tulu,reverse,violence_explicit,6,0.6107820899607292,1.264846452436117,1500
tulu,reverse,violence_explicit,7,0.3971039293417877,0.8128969974119894,1500
tulu,reverse,violence_explicit,8,0.43501370674368917,0.963004039061962,1500
tulu,reverse,violence_explicit,9,0.33133368014822784,0.7425938480295702,1500
olmo,forward,institutional,0,0.3454772565152058,2.1233560799306432,50400
olmo,forward,institutional,1,0.6806247486286124,2.0399050444332625,50400
olmo,forward,institutional,2,0.35510669556335817,1.182075232917942,50400
olmo,forward,institutional,3,0.5208055257169253,1.5025672773804664,50400
olmo,forward,institutional,4,0.46416047424364754,1.2323436710166322,50400
olmo,forward,institutional,5,0.31444249084353665,1.2071634656610748,50400
olmo,forward,institutional,6,0.33214400481523576,1.0181043831565542,50400
olmo,forward,institutional,7,0.35257963958974897,1.080206860911183,50378
olmo,forward,institutional,8,0.2985924736074116,0.9686548494873031,50316
olmo,forward,institutional,9,0.306858234926162,1.0564378958797274,50104
olmo,forward,institutional,10,0.3406383489967358,1.131520426607478,38177
qwen3,reverse,violence_explicit,0,1.0714406662996794,1.0933670877336177,500
qwen3,reverse,violence_explicit,1,0.6413256327640194,0.6478666958609977,500
qwen3,reverse,violence_explicit,2,1.0960764897926591,1.8564584606712726,500
qwen3,reverse,violence_explicit,3,1.0915415702597986,1.9380515526167341,500
qwen3,reverse,violence_explicit,4,1.1667784930453067,2.8302786165636022,500
qwen3,reverse,violence_explicit,5,1.4741183027503528,3.363582702778731,500
qwen3,reverse,violence_explicit,6,1.345605526681435,2.313976502153112,500
qwen3,reverse,violence_explicit,7,1.289407540376756,2.201359885986335,500
qwen3,reverse,violence_explicit,8,1.3135187520212908,2.0251053635708587,500
qwen3,reverse,violence_explicit,9,1.1743906381066318,2.0141922411580624,500
falcon3-1b,reverse,violence_explicit,0,0.2171641147431664,0.47563548988175114,500
falcon3-1b,reverse,violence_explicit,1,0.08158964437737715,0.2204925438864806,500
falcon3-1b,reverse,violence_explicit,2,0.6906551575245568,0.7953844465028815,500
falcon3-1b,reverse,violence_explicit,3,2.315943890536937,2.8524762985013385,500
falcon3-1b,reverse,violence_explicit,4,0.9458420668773281,1.5143247520067666,500
falcon3-1b,reverse,violence_explicit,5,2.292014164886206,3.140896756615856,500
falcon3-1b,reverse,violence_explicit,6,1.2970259865777174,2.603549085941071,500
falcon3-1b,reverse,violence_explicit,7,1.1213727201596069,2.405408401838358,500
falcon3-1b,reverse,violence_explicit,8,1.0310820529372968,1.6931075080439908,500
falcon3-1b,reverse,violence_explicit,9,0.9270753333910812,1.6291315136032118,500
llama,reverse,institutional,0,0.7871561868508788,1.602452928112116,2400
llama,reverse,institutional,1,0.6392102697115152,0.8668023162301681,2400
llama,reverse,institutional,2,0.9378078580948986,1.6695299788141982,2400
llama,reverse,institutional,3,0.8523865577612059,1.1788810196571593,2400
llama,reverse,institutional,4,0.604733526147544,1.1113698756808557,2400
llama,reverse,institutional,5,0.6621692592067707,0.9094422935858597,2400
llama,reverse,institutional,6,0.5893324114346147,0.9474352293582564,2400
llama,reverse,institutional,7,0.5539431962568288,1.0040537818680073,2400
llama,reverse,institutional,8,0.5544984154506115,0.9912305827570459,2400
llama,reverse,institutional,9,0.7016528545863427,1.3585366455657568,2397
olmo-hybrid,reverse,neutral,0,0.9187253203619218,1.2260685717378412,1400
olmo-hybrid,reverse,neutral,1,0.4992674477025097,0.7373224707097659,1400
