stage,prompt_key,side,layer,mean_entropy
base,institutional_labor_worker_3,individual,26,0.2684865016490221
base,institutional_labor_worker_3,individual,27,0.8076543398201466
base,institutional_labor_worker_3,individual,28,0.38615801886771806
base,institutional_labor_worker_3,individual,29,0.5465221546473913
base,institutional_labor_worker_3,individual,30,0.3990571827744134
base,institutional_labor_worker_3,individual,31,0.7545380154624581
base,institutional_labor_mgmt_3,institution,0,1.8604149146704003
base,institutional_labor_mgmt_3,institution,1,1.267679251730442
base,institutional_labor_mgmt_3,institution,2,0.8543021170189604
base,institutional_labor_mgmt_3,institution,3,0.9560824916698039
base,institutional_labor_mgmt_3,institution,4,0.7301802426227368
base,institutional_labor_mgmt_3,institution,5,0.8331853724084795
base,institutional_labor_mgmt_3,institution,6,1.0305297266459092
base,institutional_labor_mgmt_3,institution,7,1.1897851997055113
base,institutional_labor_mgmt_3,institution,8,0.9513127792160958
base,institutional_labor_mgmt_3,institution,9,1.0400026720599271
base,institutional_labor_mgmt_3,institution,10,1.059787013567984
base,institutional_labor_mgmt_3,institution,11,1.391941046807915
base,institutional_labor_mgmt_3,institution,12,0.9829123648814857
base,institutional_labor_mgmt_3,institution,13,0.8203460086369887
base,institutional_labor_mgmt_3,institution,14,1.112391376052983
base,institutional_labor_mgmt_3,institution,15,1.562039589509368
base,institutional_labor_mgmt_3,institution,16,0.9454603076446801
base,institutional_labor_mgmt_3,institution,17,0.7923085782676935
base,institutional_labor_mgmt_3,institution,18,0.740246640983969
base,institutional_labor_mgmt_3,institution,19,0.9722091206349432
base,institutional_labor_mgmt_3,institution,20,0.4161742036812939
base,institutional_labor_mgmt_3,institution,21,0.47554192366078496
base,institutional_labor_mgmt_3,institution,22,0.38693965889979154
base,institutional_labor_mgmt_3,institution,23,0.5475394953973591
base,institutional_labor_mgmt_3,institution,24,0.3704769930700422
base,institutional_labor_mgmt_3,institution,25,0.41434302122797817
base,institutional_labor_mgmt_3,institution,26,0.21480499458266422
base,institutional_labor_mgmt_3,institution,27,0.5606938139535487
base,institutional_labor_mgmt_3,institution,28,0.2434869878925383
base,institutional_labor_mgmt_3,institution,29,0.3889110700401943
base,institutional_labor_mgmt_3,institution,30,0.24610327841946855
base,institutional_labor_mgmt_3,institution,31,0.7242640797048807
base,institutional_labor_worker_4,individual,0,1.870163445477374
base,institutional_labor_worker_4,individual,1,1.3627047567861155
base,institutional_labor_worker_4,individual,2,0.9469433343037963
base,institutional_labor_worker_4,individual,3,1.2707121246494353
base,institutional_labor_worker_4,individual,4,0.83548424532637
base,institutional_labor_worker_4,individual,5,0.9488897051196545
base,institutional_labor_worker_4,individual,6,1.1122265486046672
base,institutional_labor_worker_4,individual,7,1.333425113465637
base,institutional_labor_worker_4,individual,8,1.0576405876781791
base,institutional_labor_worker_4,individual,9,1.2069470342248678
base,institutional_labor_worker_4,individual,10,1.221199799561873
base,institutional_labor_worker_4,individual,11,1.5195796606130898
base,institutional_labor_worker_4,individual,12,1.0791414029663429
base,institutional_labor_worker_4,individual,13,0.957019466906786
base,institutional_labor_worker_4,individual,14,1.3750529629178345
base,institutional_labor_worker_4,individual,15,1.7067599780857563
base,institutional_labor_worker_4,individual,16,1.2002234333194792
base,institutional_labor_worker_4,individual,17,1.0879771616309881
base,institutional_labor_worker_4,individual,18,0.8333966981153935
base,institutional_labor_worker_4,individual,19,1.2391335284337401
base,institutional_labor_worker_4,individual,20,0.6008445769548416
base,institutional_labor_worker_4,individual,21,0.5573527836240828
base,institutional_labor_worker_4,individual,22,0.5353184780105948
base,institutional_labor_worker_4,individual,23,0.7095533441752195
base,institutional_labor_worker_4,individual,24,0.4269903994863853
base,institutional_labor_worker_4,individual,25,0.52180917840451
base,institutional_labor_worker_4,individual,26,0.25721898302435875
base,institutional_labor_worker_4,individual,27,0.738181974273175
base,institutional_labor_worker_4,individual,28,0.32810926844831556
base,institutional_labor_worker_4,individual,29,0.4870425433618948
base,institutional_labor_worker_4,individual,30,0.36986851278925315
base,institutional_labor_worker_4,individual,31,0.8129441333003342
base,institutional_labor_mgmt_4,institution,0,1.7827081650029868
base,institutional_labor_mgmt_4,institution,1,1.2805764854419976
base,institutional_labor_mgmt_4,institution,2,0.9241102151572704
base,institutional_labor_mgmt_4,institution,3,1.1623728033155203
base,institutional_labor_mgmt_4,institution,4,0.904936135862954
base,institutional_labor_mgmt_4,institution,5,0.9888914824696258
base,institutional_labor_mgmt_4,institution,6,1.1456985084805638
base,institutional_labor_mgmt_4,institution,7,1.3511489115771838
base,institutional_labor_mgmt_4,institution,8,1.1407521354267374
base,institutional_labor_mgmt_4,institution,9,1.1731479831505567
base,institutional_labor_mgmt_4,institution,10,1.1252874634228647
base,institutional_labor_mgmt_4,institution,11,1.5460762418806553
base,institutional_labor_mgmt_4,institution,12,0.9802572212647647
base,institutional_labor_mgmt_4,institution,13,0.9238972447346896
base,institutional_labor_mgmt_4,institution,14,1.2051738193258643
base,institutional_labor_mgmt_4,institution,15,1.5100559145212173
base,institutional_labor_mgmt_4,institution,16,1.0118218178395182
base,institutional_labor_mgmt_4,institution,17,1.1377597486134619
base,institutional_labor_mgmt_4,institution,18,0.9577266802079976
base,institutional_labor_mgmt_4,institution,19,1.3667530212551355
base,institutional_labor_mgmt_4,institution,20,0.6935210973024368
base,institutional_labor_mgmt_4,institution,21,0.6952081928029656
base,institutional_labor_mgmt_4,institution,22,0.7133643762208521
base,institutional_labor_mgmt_4,institution,23,0.8908778456971049
base,institutional_labor_mgmt_4,institution,24,0.6381202056072652
base,institutional_labor_mgmt_4,institution,25,0.7540813274681568
base,institutional_labor_mgmt_4,institution,26,0.47431846626568586
base,institutional_labor_mgmt_4,institution,27,0.9778939569368958
base,institutional_labor_mgmt_4,institution,28,0.5838246166240424
