word,base,aligned
stand,8.189363888888888e-05,0.0003260663666666667
approach,-0.0002627751111111111,0.00030327622222222196
investigate,0.0006501277611111112,0.0002979747055555555
draft,0.0,0.0002833755111111111
understand,0.00045546329999999997,0.0002814021000000001
oppose,0.0,0.00027051499444444445
agree,0.00022708446111111108,0.0002639501666666666
indicate,6.272592777777776e-05,0.0002618026777777778
grant,0.00012019990000000001,0.00025823471666666664
recognize,0.0,0.0002501024111111111
change,0.00017970488333333328,0.0002477886222222222
highlight,0.00024255855,0.00023012856666666668
thank,0.00030508612777777776,0.00022570368333333334
resolve,0.0,0.0002225209777777778
in,0.0002222101388888889,0.00021977376111111113
adhere,0.0,0.00021905799444444445
apologize,0.00024611942777777777,0.00021385531666666668
pre,4.716404444444445e-05,0.0002121502311111111
unionize,0.0,0.00021207746666666668
stick,7.512552222222222e-05,0.00021178577777777776
intervene,0.0,0.00020473023333333334
rule,9.028922777777778e-05,0.00020253136666666666
admit,0.0011948091611111112,0.00020099815555555555
list,0.0,0.00020071032222222223
invest,2.786088888888888e-05,0.0001978149611111111
turn,0.0004065288000000001,0.00019467757222222222
care,0.00028048583333333335,0.00018765971111111112
train,0.0,0.0001865802
engage,0.0,0.00018301792222222223
feel,0.00031737432777777783,0.00018257720000000024
choose,-9.772682222222223e-05,0.00017926422222222228
return,0.00022631154444444453,0.00017666951111111107
quit,-0.0016001102222222223,0.0001733951888888889
advocate,0.0,0.0001724182222222222
settle,8.476860555555555e-05,0.00017238271666666666
pay,0.0016022158833333337,0.0001703043666666669
outline,0.0,0.00016849790555555555
repeat,-6.679671666666665e-05,0.00016602849444444446
bill,0.00012418599444444443,0.0001651394111111111
calculate,0.0,0.00015997655000000007
assign,0.0,0.0001546416111111111
express,0.0,0.00015026633888888885
repair,0.00017541305555555557,0.0001494238888888889
block,0.0,0.00014491792222222222
enforce,0.0,0.00014487443333333332
sustain,0.0,0.00013993058333333332
process,0.0,0.0001394516
cut,-0.00010421246111111117,0.00013896090000000002
propose,0.0,0.00013802661111111112
worry,-2.0858172222222238e-05,0.00013799727777777778
stress,0.0007052533055555554,0.00013774251666666667
instruct,0.0,0.00013697995555555554
involve,0.0,0.00013660686111111113
hold,0.0,0.00013191444444444445
lay,0.0,0.0001317258888888889
inspect,0.0,0.00012366503333333334
analyze,0.0,0.00012305047777777777
reset,0.0,0.00012185431111111112
nt,0.00032754091111111133,0.00011447484999999995
deny,0.000578347,0.00011388833333333333
but,0.00018500959999999996,0.0001132353611111111
itemize,0.0,0.00010940462222222223
save,0.0001737302222222222,0.0001093861
elaborate,8.32344e-05,0.00010913906666666667
frame,0.0,0.00010712151666666666
watch,0.0,0.00010612664444444444
itemise,0.0,0.00010437810555555556
obtain,0.0,9.334436666666668e-05
recall,0.0,9.303725e-05
improve,0.0,9.091551111111111e-05
decline,0.0,9.015644444444445e-05
perform,0.0,8.982552777777778e-05
revise,0.0,8.97639388888889e-05
fire,-0.00020245771111111104,8.897284444444445e-05
practice,0.0,8.860120555555556e-05
cite,0.00023276744444444445,8.809640555555555e-05
union,0.0,8.801090555555556e-05
examine,0.0,8.748794444444444e-05
type,0.0,8.384897222222223e-05
arrange,0.0,8.230684444444445e-05
dismiss,0.0,8.069811666666666e-05
myself,0.0,7.903745555555555e-05
join,0.0,7.848358888888889e-05
