stratum,word,n_lineages,median_delta,lineages_pos,lineages_tested,p,plan_b_word
animal_unmarked,wiggled,46,0.0001094435,24,46,0.88299591,False
animal_unmarked,giggled,43,0.0010807537,32,43,0.001913961,False
animal_unmarked,forced,46,-0.0010176606,13,46,0.0045338616,False
animal_unmarked,counted,45,-0.00013386635,22,45,1,False
animal_unmarked,sucked,40,-0.0011942831,6,40,8.3645846e-06,False
animal_unmarked,splashed,44,-0.0009961578,12,44,0.0036577668,False
animal_unmarked,poured,46,-0.0010704172,6,46,3.1028037e-07,False
animal_unmarked,laughed,46,8.44556e-05,24,46,0.88299591,False
animal_unmarked,her,46,-0.00091132745,4,46,5.1001905e-09,False
animal_unmarked,tickled,43,-0.0002317796,18,43,0.36037765,False
animal_unmarked,herded,42,-9.85917e-05,17,42,0.27995624,False
animal_unmarked,shooed,45,-8.30787e-05,22,45,1,False
animal_unmarked,hauled,43,-0.001080423,8,43,4.1934158e-05,False
animal_unmarked,under,46,-0.0001484139,17,46,0.10380536,False
animal_unmarked,shot,45,-0.0012088241,3,45,8.654979e-10,False
animal_unmarked,behind,45,-0.00052537535,17,45,0.13515645,False
animal_unmarked,beat,42,-0.0011749659,8,42,6.8771115e-05,False
animal_unmarked,coaxed,46,-0.00022505135,20,46,0.46139118,False
animal_unmarked,backed,45,-0.0008226169,17,45,0.13515645,False
animal_unmarked,shoo,44,-2.0382404e-06,16,44,0.096141754,False
animal_unmarked,flung,45,-0.0012059355,7,45,3.1213096e-06,False
animal_unmarked,gathered,44,-0.00035149845,21,44,0.88039582,False
animal_unmarked,ch,40,-2.51488e-07,10,40,0.0022214338,False
animal_unmarked,squatted,40,-0.00064181075,17,40,0.42959051,False
animal_unmarked,popped,45,-0.0011717059,8,45,1.537409e-05,False
animal_unmarked,knocked,46,-0.0010858611,14,46,0.011351591,False
animal_unmarked,slapped,45,-0.0010986602,9,45,6.5746632e-05,False
animal_unmarked,hopped,46,-0.00041325428,17,46,0.10380536,False
animal_unmarked,b,44,-8.0756232e-07,13,44,0.0095598789,False
animal_unmarked,changed,44,-0.00052169892,12,44,0.0036577668,False
animal_unmarked,built,42,-0.00076439232,14,42,0.043558522,False
animal_unmarked,make,46,-0.00083811612,17,46,0.10380536,False
animal_unmarked,water,46,-0.00051962096,10,46,0.00015641721,False
animal_unmarked,m,41,-5.361913e-07,11,41,0.0043240049,False
animal_unmarked,have,44,-0.00010008535,21,44,0.88039582,False
animal_unmarked,give,46,-0.00076647945,16,46,0.054076032,False
animal_unmarked,provide,41,0.0011403327,30,41,0.0043240049,False
animal_unmarked,treated,45,0.00015031145,27,45,0.23269319,False
animal_unmarked,feed,46,-0.0025199513,15,46,0.025896082,False
animal_unmarked,if,41,-0.0012416605,4,41,1.0258373e-07,False
animal_unmarked,small,44,-0.0010315541,15,44,0.048766766,False
animal_unmarked,provided,46,0.0014013477,40,46,3.1028037e-07,False
animal_unmarked,move,42,-0.00064035892,11,42,0.002887248,False
animal_unmarked,close,43,-0.00028273761,21,43,1,False
animal_unmarked,filled,46,-0.0002860044,18,46,0.18392482,False
animal_unmarked,another,45,-0.0010040597,11,45,0.00082408236,False
animal_unmarked,without,46,-0.0004834227,20,46,0.46139118,False
animal_unmarked,keep,46,-0.0012219465,12,46,0.0016414913,False
animal_unmarked,once,41,-0.0010689354,7,41,2.5320804e-05,False
animal_unmarked,take,43,-0.001073845,13,43,0.013718185,False
animal_unmarked,an,46,-0.00083415212,7,46,1.8315433e-06,False
animal_unmarked,eat,40,-0.0012361433,12,40,0.016589003,False
animal_unmarked,barely,44,0.0007468782,25,44,0.45138083,False
animal_unmarked,watered,45,-0.000209701,21,45,0.76599182,False
animal_unmarked,clean,45,-3.49001e-05,17,45,0.13515645,False
animal_unmarked,use,43,-0.0004035654,17,43,0.22205282,False
animal_unmarked,slept,44,-0.0015213404,11,44,0.0012600338,False
animal_unmarked,brushed,46,-0.00053526595,16,46,0.054076032,False
animal_unmarked,always,43,-0.0001991016,18,43,0.36037765,False
animal_unmarked,quietly,41,0.00091564415,23,41,0.53270926,False
animal_unmarked,sl,44,-8.185649e-08,11,44,0.0012600338,False
animal_unmarked,raced,46,-0.00047763285,18,46,0.18392482,False
animal_unmarked,stormed,40,0.0082589225,27,40,0.038477308,False
animal_unmarked,leaned,46,-9.98945e-06,22,46,0.88299591,False
animal_unmarked,bolted,44,-0.00105201,9,44,0.00010604467,False
animal_unmarked,strode,46,-0.00041866422,17,46,0.10380536,False
animal_unmarked,approached,46,0.00073811648,34,46,0.0016414913,False
animal_unmarked,mounted,46,-0.0010777733,11,46,0.00053558507,False
animal_unmarked,hit,46,-0.00090279393,11,46,0.00053558507,False
