lineage,scenario,condition,js_indiv,js_inst,d_js,resid_indiv,resid_inst,nw_indiv,nw_inst,mass_indiv,mass_inst
meta-llama/Llama-3.1-70B,m03_U6,we_final,0.05423716422779428,0.12124384822144349,0.0670066839936492,0.08463494,0.13733065,33,47,0.9297565515999997,0.9029669986903001
meta-llama/Llama-3.1-70B,m03_U6,we_medial,0.10690943992778808,0.06731611253147027,-0.03959332739631781,0.14211789,0.17619547,95,125,0.8707002074000002,0.8642740663545
meta-llama/Llama-3.1-70B,m03_U7,I_absent,0.05602017469431111,0.06218350945024564,0.00616333475593453,0.26931706,0.22750644,86,74,0.7306832677220001,0.7724938540040001
meta-llama/Llama-3.1-70B,m03_U7,I_final,0.07142008484071671,0.05810502651891955,-0.013315058321797163,0.1130081,0.111015566,73,66,0.8869921688200002,0.8889848256
meta-llama/Llama-3.1-70B,m03_U7,I_final_ought,0.05486764073709157,0.06252118109704072,0.007653540359949147,0.13093257,0.1557088,87,101,0.8816852041199997,0.8540229453000004
meta-llama/Llama-3.1-70B,m03_U7,I_medial,0.07050588170764512,0.08576349212595323,0.015257610418308115,0.14237522,0.17522371,118,116,0.8576252222999999,0.8477130863600002
meta-llama/Llama-3.1-70B,m03_U7,we_absent,0.019240056546606273,0.045265610919338506,0.026025554372732233,0.23139201,0.18428916,72,72,0.7686084782062997,0.8157111566179998
meta-llama/Llama-3.1-70B,m03_U7,we_final,0.03218092247767674,0.09607866834381695,0.06389774586614022,0.086190164,0.14597102,27,84,0.9164289327,0.8540293073999998
meta-llama/Llama-3.1-70B,m03_U7,we_medial,0.07083659744717158,0.08192270457451106,0.011086107127339484,0.1420846,0.16961567,101,106,0.8799806632299997,0.8584027579499997
meta-llama/Llama-3.1-70B,m03_U8,I_absent,0.10187535992312943,0.08615736097097239,-0.015717998952157045,0.18672612,0.24928081,92,97,0.8132742042297003,0.7507195202656
meta-llama/Llama-3.1-70B,m03_U8,I_final,0.05677055410916456,0.2663471085515119,0.20957655444234732,0.060436375,0.14431195,38,84,0.9395639987,0.87184736127
meta-llama/Llama-3.1-70B,m03_U8,I_final_ought,0.06964527669466976,0.18975681697463667,0.12011154027996691,0.07783356,0.18185493,39,106,0.92981218,0.8397308495099997
meta-llama/Llama-3.1-70B,m03_U8,I_medial,0.1870868362812379,0.15293102215854917,-0.03415581412268873,0.114307545,0.17732583,97,139,0.8856928250799999,0.8226745041000003
meta-llama/Llama-3.1-70B,m03_U8,we_absent,0.09388542332049382,0.08291188692072807,-0.010973536399765754,0.19346695,0.18892261,97,93,0.8065334656169003,0.8110776684676999
meta-llama/Llama-3.1-70B,m03_U8,we_final,0.06259620249319126,0.10889833083763256,0.04630212834444131,0.07512981,0.16299362,46,136,0.9248705983,0.8370067600999997
meta-llama/Llama-3.1-70B,m03_U8,we_medial,0.1271961579473627,0.10132376151372416,-0.025872396433638534,0.10730487,0.18432201,98,148,0.89269550875,0.8156783377999997
mistralai/Mistral-7B-v0.1,m03_C1,I_absent,0.05263537431324197,0.030191879890775025,-0.022443494422466948,0.16260861,0.30453798,96,100,0.8686383974695204,0.7254084418264899
mistralai/Mistral-7B-v0.1,m03_C1,I_final,0.045128904682402916,0.044288583801196525,-0.0008403208812063911,0.0993112,0.16834402,53,84,0.9081791937780548,0.8316560800267202
mistralai/Mistral-7B-v0.1,m03_C1,I_final_ought,0.04201267212994421,0.04701306385813138,0.00500039172818717,0.119339816,0.22706553,94,139,0.8989093387782823,0.7729345947133498
mistralai/Mistral-7B-v0.1,m03_C1,I_medial,0.07103331031533422,0.0477227443844766,-0.02331056593085762,0.11293153,0.17650643,107,125,0.8870686414070783,0.8360450366193802
mistralai/Mistral-7B-v0.1,m03_C1,we_absent,0.031509841755257804,0.02578292528569044,-0.005726916469567363,0.15812942,0.32995242,93,91,0.8541372033201476,0.7222557103763758
mistralai/Mistral-7B-v0.1,m03_C1,we_final,0.0267331680355897,0.013777497578249427,-0.012955670457340272,0.07886301,0.14041084,24,53,0.9375632894000001,0.8856064340240001
mistralai/Mistral-7B-v0.1,m03_C1,we_medial,0.06830869765906342,0.03423191756350107,-0.034076780095562344,0.12096918,0.1794517,100,110,0.8875740767581359,0.840578445124987
mistralai/Mistral-7B-v0.1,m03_C2,I_absent,0.04822245627063613,0.042185754567032885,-0.006036701703603244,0.43371892,0.3334054,85,89,0.6052723668550598,0.6665946836999999
mistralai/Mistral-7B-v0.1,m03_C2,I_final,0.1274018356611886,0.051606465149868844,-0.07579537051131975,0.08784096,0.16091727,63,79,0.9121590908975566,0.850307317015792
mistralai/Mistral-7B-v0.1,m03_C2,I_final_ought,0.0829254965759463,0.0686510404455793,-0.014274456130367,0.08430447,0.22842976,67,114,0.9156956100057947,0.8013912357194551
mistralai/Mistral-7B-v0.1,m03_C2,I_medial,0.1624637963687696,0.08464098418219188,-0.07782281218657772,0.07610744,0.18346784,59,140,0.923892576411393,0.839029475145379
mistralai/Mistral-7B-v0.1,m03_C2,we_absent,0.07637910061405459,0.04892105752825946,-0.02745804308579513,0.3445127,0.3074576,94,106,0.6622689636992332,0.7422851333776996
mistralai/Mistral-7B-v0.1,m03_C2,we_final,0.10756150867047644,0.04186163468695846,-0.06569987398351798,0.109990515,0.1575927,86,95,0.8900095081541437,0.8424072849303939
mistralai/Mistral-7B-v0.1,m03_C2,we_medial,0.1748180597810886,0.0709763411559853,-0.1038417186251033,0.08207269,0.19006635,67,140,0.9179273639768157,0.8222033288012767
mistralai/Mistral-7B-v0.1,m03_C3,I_absent,0.01482643122397957,0.02153384483469695,0.00670741361071738,0.46804354,0.2503334,64,69,0.53195663628117,0.7567963723499999
mistralai/Mistral-7B-v0.1,m03_C3,I_final,0.057190746787408105,0.06588283311302813,0.008692086325620026,0.15600562,0.13971351,99,112,0.8439944172055359,0.860286591145894
mistralai/Mistral-7B-v0.1,m03_C3,I_final_ought,0.05428242352347882,0.032261337801927525,-0.022021085721551294,0.16175006,0.14522561,110,126,0.8448273229724189,0.8547744417461262
mistralai/Mistral-7B-v0.1,m03_C3,I_medial,0.042716484510439495,0.041764015352132214,-0.0009524691583072814,0.1574481,0.12713844,113,125,0.8425520160863625,0.8728616801832612
mistralai/Mistral-7B-v0.1,m03_C3,we_absent,0.016003976535333565,0.023399939615222264,0.007395963079888698,0.5007565,0.26541242,51,54,0.5137717944,0.7345876214399998
mistralai/Mistral-7B-v0.1,m03_C3,we_final,0.038700506482847216,0.05557310596173301,0.016872599478885794,0.15690513,0.18730849,114,137,0.8430948640302998,0.8126915710548082
mistralai/Mistral-7B-v0.1,m03_C3,we_medial,0.05499137182135923,0.0587814146492837,0.0037900428279244724,0.16082603,0.18211506,119,142,0.840326253665274,0.8178850393636709
mistralai/Mistral-7B-v0.1,m03_C4,I_absent,0.037697093869204355,0.04995444189643152,0.012257348027227166,0.11334431,0.1523498,84,131,0.8866557448360946,0.8476501947358027
mistralai/Mistral-7B-v0.1,m03_C4,I_final,0.025620831963001273,0.059163200433737045,0.03354236847073577,0.093728825,0.055251025,36,10,0.9062713113999998,0.9490318149
mistralai/Mistral-7B-v0.1,m03_C4,I_final_ought,0.04082985327213737,0.03555105034620367,-0.005278802925933697,0.06907136,0.06801298,39,28,0.9355945974926283,0.9381222464768332
mistralai/Mistral-7B-v0.1,m03_C4,I_medial,0.06769226290248785,0.20637966801414723,0.1386874051116594,0.12225391,0.09551671,82,67,0.8893851537429567,0.9044832591215896
mistralai/Mistral-7B-v0.1,m03_C4,we_absent,0.05535705934186579,0.06095594529536717,0.00559888595350138,0.09857924,0.13339649,87,144,0.9014207790450198,0.8666036253009374
mistralai/Mistral-7B-v0.1,m03_C4,we_final,0.01372190333344749,0.003244019636379132,-0.010477883697068358,0.06976569,0.03543292,12,6,0.9302342859,0.9645671949
mistralai/Mistral-7B-v0.1,m03_C4,we_medial,0.11698455461963587,0.017098278024739545,-0.09988627659489632,0.09442946,0.056848694,34,13,0.9211408783,0.9580386557000001
mistralai/Mistral-7B-v0.1,m03_N1,I_absent,0.0770986762971207,0.030846950539355614,-0.04625172575776508,0.34998542,0.31680366,95,104,0.7128196419513951,0.7115186611599996
mistralai/Mistral-7B-v0.1,m03_N1,I_final,0.09944115300051858,0.07073805203850629,-0.028703100962012285,0.11665031,0.1625315,77,93,0.8833497951175241,0.8374685150339999
mistralai/Mistral-7B-v0.1,m03_N1,I_final_ought,0.1261815529251728,0.13117477935185493,0.004993226426682124,0.0938015,0.189985,74,108,0.9061985954415283,0.8100150559339996
mistralai/Mistral-7B-v0.1,m03_N1,I_medial,0.2135583845699424,0.09343758850616062,-0.12012079606378177,0.08825011,0.15191962,84,119,0.9117498717107299,0.8480805413035303
mistralai/Mistral-7B-v0.1,m03_N1,we_absent,0.07688106462033041,0.036153374903382336,-0.040727689716948075,0.3505286,0.3638427,94,89,0.7278969442500001,0.6928422264300002
mistralai/Mistral-7B-v0.1,m03_N1,we_final,0.257768898320595,0.03732734109423422,-0.2204415572263608,0.12908238,0.19131121,44,55,0.8966276555700002,0.8283856549999999
mistralai/Mistral-7B-v0.1,m03_N1,we_medial,0.24649057986466488,0.09512366842695802,-0.15136691143770686,0.09893371,0.1388452,87,98,0.90106639154951,0.8611547894518601
mistralai/Mistral-7B-v0.1,m03_N2,I_absent,0.085277655322575,0.06000544251443403,-0.025272212808140973,0.29733938,0.25527942,56,37,0.79588649305,0.8087593630799998
mistralai/Mistral-7B-v0.1,m03_N2,I_final,0.07738698325887652,0.06475692778415539,-0.012630055474721139,0.088574804,0.097596794,66,71,0.9135674679671859,0.9024034358659025
mistralai/Mistral-7B-v0.1,m03_N2,I_final_ought,0.11254656886994638,0.14198534082112527,0.029438771951178888,0.13382936,0.14266819,87,107,0.8661707513578457,0.8573318820713333
mistralai/Mistral-7B-v0.1,m03_N2,I_medial,0.11893564590343168,0.13581185285726335,0.01687620695383167,0.10365531,0.1180904,82,103,0.8963446459701333,0.8819096163862
mistralai/Mistral-7B-v0.1,m03_N2,we_absent,0.0433159381248885,0.029294590534270512,-0.014021347590617989,0.523137,0.19504343,52,48,0.5614102498000002,0.8339917084999997
mistralai/Mistral-7B-v0.1,m03_N2,we_final,0.02975927983231281,0.04770829754769283,0.017949017715380024,0.122317545,0.07872064,41,64,0.8834117566000002,0.9212794595337725
mistralai/Mistral-7B-v0.1,m03_N2,we_medial,0.0967966417432291,0.13322218658616417,0.03642554484293506,0.09799258,0.1112901,82,98,0.902007425935228,0.8887100154146943
mistralai/Mistral-7B-v0.1,m03_N3,I_absent,0.01708682597941059,0.03056093539668304,0.01347410941727245,0.22399923,0.30461428,82,115,0.80361007823457,0.7448289181084897
mistralai/Mistral-7B-v0.1,m03_N3,I_final,0.015086462614956605,0.04757564984887489,0.03248918723391829,0.06754724,0.13017896,45,81,0.93923275122382,0.869821117485345
mistralai/Mistral-7B-v0.1,m03_N3,I_final_ought,0.05362311689375207,0.0794406634157537,0.025817546522001633,0.09224304,0.15737045,68,108,0.90812121185195,0.8426295708610363
mistralai/Mistral-7B-v0.1,m03_N3,I_medial,0.05118671489502529,0.060282566399204186,0.009095851504178895,0.10566826,0.14186628,84,111,0.8943318635186901,0.8581337475883632
mistralai/Mistral-7B-v0.1,m03_N3,we_absent,0.024644244242859274,0.03803242370164062,0.01338817945878135,0.13557178,0.2725204,70,106,0.8764318312299999,0.7711065322909002
mistralai/Mistral-7B-v0.1,m03_N3,we_final,0.011169740492763577,0.05570174193350722,0.044532001440743645,0.04451295,0.13617565,19,96,0.9554871842003,0.8638244625278001
mistralai/Mistral-7B-v0.1,m03_N3,we_medial,0.04776948304992128,0.06319600382632079,0.015426520776399513,0.09397516,0.13206525,72,99,0.9065726291714602,0.8679348533433229
mistralai/Mistral-7B-v0.1,m03_N5,I_absent,0.038998613362687055,0.05616242371497724,0.017163810352290185,0.27851197,0.29250038,92,103,0.7629198256432779,0.743107346568096
mistralai/Mistral-7B-v0.1,m03_N5,I_final,0.04600246616005091,0.05206399845300788,0.006061532292956973,0.08328909,0.13420792,59,88,0.9167109556241501,0.8837219968917462
mistralai/Mistral-7B-v0.1,m03_N5,I_final_ought,0.05881713474988911,0.08079156959877334,0.021974434848884235,0.10418054,0.15741703,75,126,0.9028077156762752,0.8485848879570538
mistralai/Mistral-7B-v0.1,m03_N5,I_medial,0.09356696441400553,0.0899595123707718,-0.003607452043233733,0.10031047,0.17454407,97,136,0.8996895702121249,0.8453544261753999
mistralai/Mistral-7B-v0.1,m03_N5,we_absent,0.03735771557579397,0.0413736960372744,0.004015980461480433,0.28009593,0.25112712,91,122,0.785374648963252,0.7777682254183259
mistralai/Mistral-7B-v0.1,m03_N5,we_final,0.021312417722039356,0.021613652426071148,0.0003012347040317921,0.07457301,0.13716663,29,73,0.9254270931999998,0.8767197425467281
mistralai/Mistral-7B-v0.1,m03_N5,we_medial,0.14340466179243028,0.060628507351729144,-0.08277615444070113,0.09136763,0.16754659,84,119,0.9086324658606704,0.8532380299260073
mistralai/Mistral-7B-v0.1,m03_N6,I_absent,0.017550605106851722,0.02701613651458566,0.009465531407733936,0.35330766,0.44046304,85,82,0.6565382595999995,0.6178056852251652
mistralai/Mistral-7B-v0.1,m03_N6,I_final,0.03845310713098286,0.06680193055719215,0.028348823426209292,0.09341181,0.14462742,55,85,0.9095461415999999,0.855372548526336
mistralai/Mistral-7B-v0.1,m03_N6,I_final_ought,0.0374420715216781,0.11246623011291448,0.07502415859123639,0.1376693,0.1460103,82,105,0.8754920890148484,0.853989713736676
