stratum,labeling,frm,to,fwd,rev,e_fwd,e_rev,reciprocal,p,bonferroni,E,p_edge
m01_unmarked,framenet,Process_stop,Cooking_creation,9,6,7,4,True,0.6072387695312499,False,11,0.548828125
m01_unmarked,framenet,Manipulation,Scouring,27,5,9,4,True,0.0001130742020905,False,13,0.266845703125
m01_unmarked,framenet,Leadership,Text_creation,17,4,12,3,True,0.0071973800659179,False,15,0.03515625
m01_unmarked,framenet,Perception_active,Change_event_duration,59,1,14,1,True,1.0581813203458523e-16,True,15,0.0009765625
m01_unmarked,framenet,Process_end,Change_event_duration,14,6,6,5,True,0.1153182983398437,False,11,1.0
m01_unmarked,framenet,Evidence,Change_event_duration,20,4,13,4,True,0.0015438795089721,False,17,0.049041748046875
m01_unmarked,framenet,Process_end,Adjusting,16,8,9,5,True,0.1515896320343017,False,14,0.4239501953125
m01_unmarked,framenet,Perception_experience,Cause_to_perceive,13,12,7,4,True,1.0,False,11,0.548828125
m01_unmarked,framenet,Bringing,Hunting,18,6,10,2,True,0.0226558446884155,False,12,0.03857421875
m01_unmarked,framenet,Bringing,Cause_to_start,21,0,11,0,False,9.5367431640625e-07,True,11,0.0009765625
m01_unmarked,framenet,Process_end,Using,9,6,7,5,True,0.6072387695312499,False,12,0.7744140625
m01_unmarked,framenet,Bringing,Dispersal,26,6,10,3,True,0.0005350527353584,False,13,0.09228515625
m01_unmarked,framenet,Manipulation,Dispersal,11,4,7,4,True,0.1184692382812499,False,11,0.548828125
m01_unmarked,framenet,Cause_motion,Dispersal,9,5,6,4,True,0.4239501953125,False,10,0.75390625
m01_unmarked,framenet,Scouring,Intentionally_create,7,4,6,4,True,0.548828125,False,10,0.75390625
m01_unmarked,framenet,Arriving,Cause_change_of_phase,30,1,11,1,True,2.9802322387695312e-08,True,12,0.00634765625
m01_unmarked,framenet,Placing,Scouring,49,13,9,8,True,4.8175233992660445e-06,False,17,1.0
m01_unmarked,framenet,Scrutiny,Scouring,15,10,5,7,True,0.4243562221527099,False,12,0.7744140625
m01_unmarked,framenet,Self_motion,Scouring,47,4,9,3,True,2.4163071543625847e-10,True,12,0.14599609375
m01_unmarked,framenet,Rope_manipulation,Examination,21,5,12,3,True,0.0024939179420471,False,15,0.03515625
m01_unmarked,framenet,Notification_of_charges,Posture,16,4,12,3,True,0.0118179321289062,False,15,0.03515625
m01_unmarked,framenet,Possession,Dimension,26,4,11,3,True,5.9476122260093696e-05,False,14,0.057373046875
m01_unmarked,framenet,Hiring,Adjusting,24,0,11,0,False,1.1920928955078125e-07,True,11,0.0009765625
m01_unmarked,framenet,Arranging,Examination,13,4,7,4,True,0.049041748046875,False,11,0.548828125
m01_unmarked,framenet,Evidence,Scouring,12,4,7,4,True,0.076812744140625,False,11,0.548828125
m01_unmarked,framenet,Categorization,Cooking_creation,16,2,9,2,True,0.001312255859375,False,11,0.0654296875
m01_unmarked,framenet,Borrowing,Bringing,8,5,6,4,True,0.5810546875,False,10,0.75390625
m01_unmarked,framenet,Possession,Hunting,18,7,9,3,True,0.0432852506637573,False,12,0.14599609375
m01_unmarked,framenet,Performers_and_roles,Billing,12,5,7,5,True,0.143463134765625,False,12,0.7744140625
m01_unmarked,framenet,Separating,Undressing,12,10,5,8,True,0.8318119049072266,False,13,0.5810546875
m01_unmarked,framenet,Separating,Filling,21,11,8,6,True,0.1101841651834547,False,14,0.79052734375
m01_unmarked,framenet,Travel,Filling,16,1,9,1,True,0.000274658203125,False,10,0.021484375
m01_unmarked,framenet,Experience_bodily_harm,Damaging,16,8,9,5,True,0.1515896320343017,False,14,0.4239501953125
m01_unmarked,framenet,Leadership,Location_of_light,16,3,8,3,True,0.004425048828125,False,11,0.2265625
m01_unmarked,framenet,Emotion_heat,Rope_manipulation,10,7,7,5,True,0.629058837890625,False,12,0.7744140625
m01_unmarked,framenet,Rope_manipulation,Experience_bodily_harm,8,8,5,6,True,1.0,False,11,1.0
m01_unmarked,framenet,Eclipse,Reshaping,10,5,8,4,True,0.3017578124999999,False,12,0.3876953125
m01_unmarked,framenet,Impact,Eclipse,11,10,7,7,True,1.0,False,14,1.0
m01_unmarked,framenet,Activity_finish,Cooking_creation,12,8,8,3,True,0.5034446716308594,False,11,0.2265625
m01_unmarked,framenet,Activity_finish,Submitting_documents,19,7,13,5,True,0.0289592742919921,False,18,0.09625244140625
m01_unmarked,framenet,Hiring,Telling,24,3,8,2,True,4.9233436584472656e-05,False,10,0.109375
m01_unmarked,framenet,Hiring,Scheduling,27,4,10,4,True,3.39532271027565e-05,False,14,0.1795654296875
