field,cluster
usas:S1.2.1,331
usas:S1.2.2,190
usas:S1.2.3,7
usas:S1.2.4,198
usas:S1.2.5,3
usas:S2,25
usas:S2.1f,58
usas:S2.2m,56
usas:S2mf,47
usas:S3.1,92
usas:S3.2,322
usas:S4,327
usas:S4f,53
usas:S4m,68
usas:S4mf,57
usas:S5,294
usas:S5+c,548
usas:S6,256
usas:S7.1,204
usas:S7.2,195
usas:S7.3,262
usas:S7.4,121
usas:S8,99
usas:S9,200
usas:T1.1.1,42
usas:T1.1.2,40
usas:T1.1.3,1
usas:T1.2,43
usas:T1.3,36
usas:T2,115
usas:T3,319
usas:T4,433
usas:W1,34
usas:W2,375
usas:W3,427
usas:W4,364
usas:X2,185
usas:X2.1,150
usas:X2.2,530
usas:X2.3,157
usas:X2.4,165
usas:X2.5,154
usas:X2.6,183
usas:X3,163
usas:X3.1,160
usas:X3.2,229
usas:X3.3,456
usas:X3.4,168
usas:X3.5,159
usas:X4.1,493
usas:X4.2,360
usas:X5.1,518
usas:X5.2,214
usas:X6,67
usas:X7,187
usas:X8,182
usas:X9.1,172
usas:X9.2,62
usas:Y1,545
usas:Y2,129
usas:Z1,546
usas:Z1f,12
usas:Z1m,517
usas:Z1mf,534
usas:Z2,535
usas:Z3,536
usas:Z3c,14
usas:Z4,192
usas:Z5,51
usas:Z6,55
usas:Z8,49
verbnet:accompany,91
verbnet:admire,236
verbnet:admit,120
verbnet:adopt,321
verbnet:advise,263
verbnet:amalgamate,325
verbnet:amuse,222
verbnet:animal_sounds,230
verbnet:appeal,373
verbnet:appear,358
verbnet:appoint,210
verbnet:approve,346
verbnet:assessment,179
verbnet:assuming_position,408
verbnet:avoid,71
verbnet:banish,528
verbnet:battle,260
verbnet:begin,114
verbnet:bend,407
verbnet:berry,436
verbnet:bill,106
verbnet:body_internal_motion,75
verbnet:body_internal_states,219
verbnet:braid,516
verbnet:break,453
verbnet:breathe,239
verbnet:bring,329
verbnet:build,302
verbnet:bulge,296
verbnet:bump,248
verbnet:butter,466
verbnet:calibratable_cos,424
verbnet:calve,45
verbnet:captain,162
verbnet:care,149
verbnet:carry,484
verbnet:carve,472
verbnet:characterize,525
verbnet:chase,91
verbnet:cheat,509
verbnet:chew,82
verbnet:chit_chat,251
verbnet:clear,507
verbnet:cling,70
verbnet:coil,447
verbnet:coloring,467
verbnet:complain,7
verbnet:complete,117
verbnet:concealment,136
verbnet:confess,132
verbnet:confine,351
verbnet:conjecture,146
verbnet:consider,152
verbnet:conspire,281
verbnet:consume,78
verbnet:contiguous_location,368
verbnet:contribute,397
verbnet:convert,503
verbnet:cooking,387
verbnet:cooperate,279
verbnet:cope,66
verbnet:correspond,254
verbnet:cost,109
verbnet:crane,411
verbnet:create,298
verbnet:cut,451
verbnet:declare,140
verbnet:defend,102
verbnet:destroy,452
verbnet:dine,86
verbnet:disappearance,489
verbnet:disassemble,442
verbnet:discover,157
