category,delta,edges_pos,n_edges,lo,hi,mde,p,bonferroni,labeling,cell,coverage,scen,pov,context
A9,0.0024496080351029893,20,41,-0.023293958633114738,0.028193174703320716,0.03677652381173961,0.8529936391141139,False,usas,C1_indiv,0.9749163879598662,C1,indiv,labor
E2,-0.004189678361661821,3,41,-0.007377743974304879,-0.0010016127490187626,0.00455437944663294,0.013801785078106523,False,usas,C1_indiv,0.9749163879598662,C1,indiv,labor
E3,-0.006681842955272811,10,41,-0.011810413309910839,-0.001553272600634782,0.007326529078054326,0.014577195455611038,False,usas,C1_indiv,0.9749163879598662,C1,indiv,labor
E5,0.0007721256395699662,3,41,-0.00012471374415164366,0.0016689650232915763,0.0012811991196022999,0.09930223756284472,False,usas,C1_indiv,0.9749163879598662,C1,indiv,labor
G2.1,-0.01732447001054354,10,41,-0.028732380700213347,-0.005916559320873732,0.01629701527095687,0.004929248540563667,False,usas,C1_indiv,0.9749163879598662,C1,indiv,labor
H4,-0.0004761743053576148,3,41,-0.0021851369312830787,0.001232788320567849,0.0024413751798935198,0.5880155426699235,False,usas,C1_indiv,0.9749163879598662,C1,indiv,labor
I2.2,0.00039441208850494997,14,41,-0.0064777492556996425,0.007266573432709543,0.009817373348863703,0.9109977421398006,False,usas,C1_indiv,0.9749163879598662,C1,indiv,labor
I3.1,-0.013367923855652712,2,41,-0.02115885156491233,-0.0055769961463930946,0.011129896727513739,0.0017084145598618543,False,usas,C1_indiv,0.9749163879598662,C1,indiv,labor
M1,0.028680404015208247,30,41,0.01815882966800425,0.039201978362412244,0.01503082049600571,3.9508444909267e-06,True,usas,C1_indiv,0.9749163879598662,C1,indiv,labor
M2,-0.002162704979211196,19,41,-0.017849466230046483,0.01352405627162409,0.022409658929764698,0.7883791371648341,False,usas,C1_indiv,0.9749163879598662,C1,indiv,labor
N3.2,0.018468587535538643,28,41,0.012920962652415335,0.02401621241866195,0.007925178404461868,8.647931823979527e-08,True,usas,C1_indiv,0.9749163879598662,C1,indiv,labor
N4,0.0005219756624125255,5,41,-0.0018125145969780532,0.002856465921803104,0.003334986084843683,0.6635684073449838,False,usas,C1_indiv,0.9749163879598662,C1,indiv,labor
N5,-0.03350273121550548,7,41,-0.04893113284897173,-0.018074329582039236,0.022040573762094635,0.00012198373496530478,True,usas,C1_indiv,0.9749163879598662,C1,indiv,labor
N5.1,-0.020760941674603687,4,41,-0.02791059472693471,-0.013611288622272663,0.010213790074758604,1.2830500074505242e-06,True,usas,C1_indiv,0.9749163879598662,C1,indiv,labor
O4.2,-0.012149089163042063,19,41,-0.03796528896212663,0.013667110636042501,0.03688028542726366,0.36186343808049687,False,usas,C1_indiv,0.9749163879598662,C1,indiv,labor
