cell,usas,mean_excess,n_pairs,n_obs_used,p
MARKED,K1,0.37442472906013713,28,3874,0.0007495487734569066
MARKED,T3,0.37187132150283586,28,8415,6.624559990522312e-07
MARKED,X2,0.3671665273162692,22,459,0.0020842407003394347
MARKED,A5.3,0.3657930299937018,29,3601,0.002766578509281784
MARKED,N3.7,0.36421101467621436,28,5151,0.0002256126498451799
MARKED,Q4,0.3627501168009614,27,1313,0.0017303846559617172
MARKED,A1.9,0.36061856663361685,28,872,0.000887878401164254
MARKED,S4m,0.3455705965376954,26,996,0.0004478789427506169
MARKED,X2.4,0.34368313343168805,28,5793,0.0002104172471224211
MARKED,X3.4,0.33963429118517136,28,24322,6.203007253567523e-05
MARKED,N3.3,0.33913401054312164,26,1327,0.007236969144057714
MARKED,W1,0.33710017897977324,16,319,0.022581770852663663
MARKED,F2,0.3369135844724996,28,6427,0.00038916501985887606
MARKED,E6,0.3367894347314487,28,5543,9.14511557683329e-06
MARKED,A2.2,0.3305005111874503,28,10728,1.4798374289233345e-05
MARKED,M6,0.3283256441917057,31,66411,0.00010160588252973686
MARKED,S6,0.3264634477648251,28,5672,0.00030707549134038426
MARKED,Z4,0.3225949943118092,31,8483,0.002215366700625645
MARKED,T4,0.31982040009211243,28,2303,0.0010408765345519418
MARKED,C1,0.3183183901756868,28,7561,3.5991967660798354e-05
MARKED,A1.7,0.3166192891314669,28,15700,3.1938638498640403e-07
MARKED,N6,0.3162165165246557,28,3980,0.0007645732245518007
MARKED,W2,0.31357399002369885,28,2127,0.0032171723112753986
MARKED,P1,0.308234449944674,29,12421,0.0024297251399255796
MARKED,S7.3,0.2996844065038756,26,944,0.06119244782853345
MARKED,I1.1,0.2985837946096935,28,9372,3.527636287759055e-06
MARKED,X2.2,0.2966324873646133,28,14007,0.012964256705270946
MARKED,A14,0.29435522631133687,28,3306,0.021780102010278534
MARKED,X2.6,0.28976201278316754,28,1371,0.03678298977576834
MARKED,A1.8,0.2896311730079744,28,1843,0.00010005803264321982
MARKED,L2mfnc,0.28572860236874487,16,487,0.16455168895830505
MARKED,A1.1.2,0.2833810742377242,28,14285,0.00023518977887056178
MARKED,S2mfc,0.27697952629241807,20,374,0.10907351774624234
MARKED,O3,0.275520117671277,28,2871,0.0030381664042904637
MARKED,B4,0.2672841724727298,28,9966,0.00040416621508993725
MARKED,E4.1,0.26660462134601565,28,5444,0.0402844331727108
MARKED,M7,0.2620954492283678,27,3394,0.048228011738388706
MARKED,B3,0.2588465817071882,28,5979,0.0029278141378359032
MARKED,A6.1,0.24973619759970855,28,19347,1.2724795475477312e-05
MARKED,I1.3,0.2448159356892004,28,3756,0.020675493380335138
MARKED,Z1mf,0.2423039196695102,29,1960,0.24736679466785377
MARKED,K5.1,0.24214176822523886,28,4829,0.001978746608975463
MARKED,N5,0.2346140821806523,28,42023,9.781909759717201e-06
MARKED,G2.2,0.22312806373551514,28,7804,0.03980575202939325
MARKED,W3,0.22031850168194314,27,4984,0.07457458248885239
MARKED,X2.3,0.21970638139889528,19,564,0.35744336257738457
MARKED,A10,0.2179943420003226,28,51612,0.000509064811477973
MARKED,S1.1.3,0.2147226167881062,28,3967,0.006986276923725037
MARKED,S4f,0.21450159074419525,28,7006,0.00016673236101651096
MARKED,A5.1,0.21118756726018637,28,41610,1.856363681699274e-05
MARKED,Q1.2,0.2051956685172002,28,27426,9.47690922196398e-05
MARKED,I2.1,0.20447237495730172,28,4295,0.013785112142975333
MARKED,Z8mfn,0.20312229584448754,31,38941,0.006159174953000765
MARKED,X8,0.2022966641974062,28,6860,0.003036750577012155
MARKED,S7.4,0.19992267586085655,28,19636,0.0056895951990903765
MARKED,N4,0.19382245141525256,31,35012,0.022429517671353736
MARKED,A13.1,0.1850341045454545,10,150,0.11703881392223017
MARKED,A7,0.1768540780747136,28,40530,3.902616793775122e-05
MARKED,T1.3,0.17637751626986828,31,18160,0.042420892853753854
MARKED,Z1m,0.1726574572652702,30,1798,0.11136449907192532
MARKED,S2.2m,0.1690333303550861,28,1348,0.046790121202672376
MARKED,F1,0.16607607201952068,28,21803,0.005622203820521977
MARKED,L2mfn,0.16596782105087765,27,9837,0.0068951975971546274
MARKED,N5.2,0.1653793202181026,28,8423,0.0005950276535304035
MARKED,E3,0.16489326147544806,28,24765,0.0010039980746767445
MARKED,I2.2,0.16417784143043443,28,11520,0.0006322155431352026
MARKED,I1,0.16371038716580513,28,10167,0.019021685477212114
MARKED,A9,0.1619534095033653,28,159317,0.04651469153426174
MARKED,A3,0.1597298140101172,29,114985,0.00021420447522786315
MARKED,G1.1,0.15726248682133534,28,3867,0.26589048082274214
MARKED,E5,0.15691657111760882,28,3413,0.25178112506261524
MARKED,A13.4,0.1566967811723576,28,12604,0.0003545273217386983
MARKED,Z2,0.15257239653151958,28,7621,0.049461099689999254
MARKED,S7.2,0.1498721145534047,25,1450,0.4603555897818354
MARKED,O1.3,0.14631189357489036,24,1053,0.038606018210479764
MARKED,X7,0.14091687743652595,28,22247,0.0008430184564281499
MARKED,S1.2.4,0.136640137389193,31,2491,0.23652114764496188
MARKED,M4,0.13466807989993596,28,2765,0.26024446416736996
MARKED,T1.1.3,0.13223139218283747,25,613,0.15959274561125353
MARKED,H4,0.13082267393373825,28,17181,0.007292729019319744
MARKED,I1.2,0.12665364086711656,28,12950,0.0029141098559811182
MARKED,H1,0.12473093048967747,28,3141,0.20050909596716218
MARKED,S4c,0.12299916849159465,27,1248,0.5067291239862062
MARKED,B5,0.12000710352556888,28,12935,0.06507003151437882
MARKED,E2,0.11931480232528999,28,12027,0.04391314757376232
MARKED,T1,0.11649221294557088,28,1527,0.21452723938256482
MARKED,M8,0.11323493433635243,28,6237,0.3214216811312086
MARKED,A8,0.11077767667371649,28,16576,0.034363437949890975
MARKED,B1,0.10960949334170454,28,57980,0.0671717504579494
MARKED,M3fn,0.1069910719495717,28,4483,0.16938679592903036
MARKED,H2,0.10631835059573792,28,17214,0.13261402458538715
MARKED,G1.1c,0.10477313954381533,27,1886,0.45398786071437797
MARKED,X9.1,0.10368507503478364,28,7889,0.038786272026223464
MARKED,S7.1,0.10303680860177286,28,24208,0.012381599735428336
MARKED,S5,0.10141264454438745,28,7934,0.054331348853900584
MARKED,Q1.3,0.0957990480762315,28,4798,0.3122369207620639
MARKED,Q4c,0.08713865894781661,26,1419,0.08482536805104161
MARKED,L2,0.08359787260866547,28,6493,0.49196825757214346
MARKED,G3,0.08340704605499093,28,14164,0.023054074902578034
MARKED,S1.2.6,0.08188772478532672,25,972,0.384179293343659
MARKED,T1.2,0.08156428225712893,28,2359,0.2611073264123477
MARKED,M5,0.08100035795839099,28,1549,0.3264360000564055
MARKED,I3.1,0.0784173374747081,28,14782,0.1896053908362422
MARKED,Z8,0.07524670691280275,33,46386,0.4958062760463945
MARKED,F4,0.059191273029365075,28,6920,0.2645440250819476
MARKED,L2fn,0.05574086439399874,21,971,0.33615528391156285
MARKED,K3,0.0552523615084259,15,267,0.866966047966394
MARKED,S9,0.048469819497716636,28,9207,0.5902367083439365
MARKED,Z6,0.04798267091367816,30,38364,0.19850311474709284
MARKED,Y2,0.040890583810792774,33,157643,0.6011132855503774
MARKED,B2,0.04071011215600178,29,4140,0.7194474257054121
MARKED,X9.2,0.03549179413719133,28,14683,0.40825059097952754
MARKED,S3.2,0.0329676485871235,28,53778,0.2999496422788284
MARKED,H5,0.032367540314568795,27,3585,0.8201215242059469
MARKED,M2,0.02514797385701658,32,125396,0.8674476669517159
MARKED,N1,0.023105067980502603,28,9173,0.8645815245841617
MARKED,X4.2,0.01615709472237359,28,8072,0.6286247812168385
MARKED,S4,0.0020254143382997538,28,4214,0.9787098877942082
MARKED,S2.1f,-0.0011385600120458177,28,2261,0.9930950142796144
MARKED,O4.1,-0.026426938583409467,28,14260,0.9199661663578983
MARKED,Z1,-0.04820272024013091,26,894,0.7437946029302168
MARKED,L1,-0.04831769174726642,28,10125,0.327533799190765
MARKED,G1.2,-0.06692965796315445,28,2336,0.6434595661620006
MARKED,Z5,-0.07407963536696305,33,1189029,0.7417557914078237
MARKED,N5.1,-0.08175279024084067,28,13341,0.659853734875229
MARKED,M3,-0.08657094850809252,28,5303,0.2752688924858641
MARKED,L3,-0.11654753327323016,28,3391,0.34112468051229
MARKED,Z8f,-0.12265218582704593,33,188837,0.32320466075190163
MARKED,Z8m,-0.17643021357075583,33,243155,0.2789614198931658
MARKED,I3.2,-0.19223093733564897,21,587,0.5375873375878305
MARKED,F3,-0.21665075813330187,28,2326,0.16322090684221058
MARKED,Z8mf,-0.22043330774121841,33,61724,0.16429834282640962
UNMARKED,S4mf,1.60364589937099,10,329,0.0003544677776126553
UNMARKED,A13.6,1.5736708210023909,8,155,0.005332930994713666
UNMARKED,Z1f,1.1623326718281808,16,543,0.03049404999510606
UNMARKED,A1.3,1.1378216045596823,23,1319,1.0162274134913071e-07
UNMARKED,A1.4,1.1299284517131398,26,883,0.0002632061642637544
UNMARKED,S1.2.1,1.0106025597208508,15,212,0.002014883942376922
UNMARKED,X4.1,0.9933494111761011,24,969,0.00024438911698673857
UNMARKED,N3.5,0.9866644960870177,23,576,5.771861637608861e-06
UNMARKED,K4,0.9295870181360141,29,1574,0.028326000022767448
UNMARKED,N2,0.8581371108532706,18,293,0.010929749605908841
UNMARKED,Q3,0.800390651217272,29,6892,0.09735771251107748
UNMARKED,X5.1,0.7923618351164392,27,1356,0.0005771137218679221
UNMARKED,A1.5.2,0.7902699668109668,9,90,0.16808655673344924
UNMARKED,T1.1.2,0.783979069768356,27,855,0.0002321463315408056
UNMARKED,T1.1.1,0.7745080903691984,27,1254,6.7971842824641586e-09
UNMARKED,X5.2,0.7734631531409037,27,1490,1.3306206760147578e-07
UNMARKED,Q1.1,0.765851690940545,29,2503,0.00540440823512155
UNMARKED,N3.8,0.764716014724898,29,4815,0.0008828803101988724
UNMARKED,S1.1.2,0.7556517672281979,27,2175,2.4934230929855115e-07
UNMARKED,N4c,0.7367564720279719,11,101,0.06124342792192714
UNMARKED,A15,0.7349443716162025,16,283,0.027427360750111873
UNMARKED,A6.2,0.7026891165065423,27,1067,8.08910894683971e-06
UNMARKED,G2.1,0.6874376798301739,29,14151,0.00158610433825564
UNMARKED,A4.2,0.6838680804408381,28,5088,0.0001320444740493249
UNMARKED,X3.5,0.6760008953245019,9,129,0.015192340022372193
UNMARKED,N3.6,0.6635814645541,10,258,0.04112358740412721
UNMARKED,H3,0.6602285646981559,19,407,0.0005708292006630891
UNMARKED,A6.3,0.6299512013953618,11,204,0.13688619272442962
UNMARKED,Q4.2,0.6285232432207,19,289,0.002471871723886751
UNMARKED,O1.3,0.622333964200068,19,379,0.01534910567614044
UNMARKED,O4.2,0.6157153733631515,28,2466,0.00039524771372466237
UNMARKED,A1.1.1,0.5968604179351996,29,104599,0.11840209212025712
UNMARKED,O4.5,0.5940083493439344,28,3535,5.979228009578046e-07
UNMARKED,A5.2,0.5893927132213788,27,2003,0.00910260171426236
UNMARKED,A12,0.5884598708700802,28,2030,3.344764861906157e-05
UNMARKED,K2,0.5860671696247166,29,3221,0.1586851094734497
UNMARKED,K3,0.5844072414747017,15,210,0.010271254920181128
UNMARKED,Z8mfc,0.5757396045095661,26,1039,2.6188477079603167e-07
UNMARKED,X3.1,0.5628904722684006,24,889,0.00014990774513159194
UNMARKED,X3.2,0.5570735967929124,29,12921,0.0020190445973955985
UNMARKED,A13.2,0.54954605931172,21,413,0.050520047873469365
