word	tag	auc	auc_flipnull	n_models	base_share	aligned_share
blush	noun	0.5636	0.4627	25	0.000239	0.000353
urgent	adjective	0.5633	0.4799	20	0.000176	0.000312
twilight	noun	0.5624	0.4423	37	0.000413	0.000430
simply	adverb	0.5619	0.4981	20	0.000176	0.000314
won	verb	0.5617	0.4853	44	0.000509	0.000529
requires	verb	0.5617	0.4457	48	0.000555	0.000546
called	verb	0.5614	0.4917	85	0.001773	0.001758
reports	noun	0.5614	0.4568	79	0.001205	0.001035
car	noun	0.5612	0.5267	84	0.001386	0.001228
ground	noun	0.5607	0.5414	28	0.000285	0.000382
can't	adverb	0.5607	0.5198	44	0.000549	0.000543
might	verb	0.5605	0.5156	91	0.003118	0.003173
around	adverb	0.5603	0.4440	87	0.003254	0.003429
taking	verb	0.5598	0.4976	82	0.001847	0.001583
east	noun	0.5591	0.4832	50	0.000616	0.000540
red	noun	0.5588	0.4657	49	0.000654	0.000663
Journal	noun	0.5586	0.5321	53	0.000637	0.000561
walls	noun	0.5586	0.5718	39	0.000463	0.000551
see	verb	0.5584	0.5534	92	0.003187	0.003145
beginning	noun	0.5579	0.4976	25	0.000262	0.000355
building	noun	0.5577	0.5095	57	0.000792	0.000783
tint	noun	0.5572	0.5378	52	0.000634	0.000539
soon	adverb	0.5572	0.5057	60	0.000832	0.000757
kept	verb	0.5572	0.4910	33	0.000353	0.000501
rain	noun	0.5562	0.4374	20	0.000216	0.000428
invited	verb	0.5562	0.4877	31	0.000328	0.000402
est	noun	0.5562	0.4939	20	0.000204	0.000337
Bill	noun	0.5560	0.4563	34	0.000370	0.000420
briefly	adverb	0.5558	0.4542	21	0.000198	0.000294
fault	noun	0.5558	0.4123	47	0.000574	0.000528
Herald	noun	0.5555	0.4794	56	0.000684	0.000586
river	noun	0.5553	0.4090	42	0.000566	0.000668
note	noun	0.5551	0.4551	34	0.000418	0.000521
brush	noun	0.5548	0.4679	21	0.000195	0.000280
promenade	noun	0.5548	0.4887	23	0.000220	0.000309
landed	verb	0.5546	0.5430	63	0.000838	0.000656
collected	verb	0.5546	0.5560	59	0.000751	0.000612
recruits	noun	0.5543	0.4825	52	0.000682	0.000745
frequent	adjective	0.5543	0.4683	21	0.000198	0.000286
face	noun	0.5539	0.5047	25	0.000267	0.000357
head	noun	0.5539	0.4589	72	0.001166	0.000968
lain	verb	0.5536	0.4761	46	0.000610	0.000585
left	verb	0.5536	0.5021	72	0.001342	0.001233
use	verb	0.5529	0.4983	26	0.000268	0.000386
noise	noun	0.5529	0.4792	43	0.000501	0.000492
construction	noun	0.5529	0.4877	40	0.000461	0.000447
once	adverb	0.5527	0.5069	87	0.001990	0.001878
leaving	verb	0.5522	0.4813	21	0.000203	0.000345
Light	noun	0.5520	0.4844	21	0.000200	0.000288
broken	verb	0.5520	0.4409	55	0.000835	0.000811
