word	tag	auc	auc_flipnull	n_models	base_share	aligned_share
over	adverb	0.4754	0.4759	63	0.001069	0.000765
daily	adjective	0.4754	0.5236	38	0.000505	0.000350
piece	noun	0.4752	0.5392	43	0.000570	0.000428
not	adverb	0.4738	0.5066	91	0.006310	0.005941
across	adverb	0.4728	0.4766	32	0.000419	0.000300
rolled	verb	0.4724	0.4776	28	0.000393	0.000320
Telegraph	noun	0.4721	0.4575	20	0.000265	0.000194
Star	noun	0.4714	0.5052	30	0.000394	0.000279
place	noun	0.4712	0.5468	91	0.002919	0.002612
also	adverb	0.4702	0.5688	88	0.003142	0.002774
original	adjective	0.4702	0.4416	54	0.000874	0.000655
street	noun	0.4700	0.4922	52	0.000964	0.000677
Independent	noun	0.4695	0.4700	28	0.000376	0.000266
American	noun	0.4693	0.5239	44	0.000634	0.000437
sitting	verb	0.4693	0.6129	46	0.000722	0.000498
port	noun	0.4688	0.4440	23	0.000307	0.000211
same	adjective	0.4679	0.5496	58	0.001081	0.000875
ink	noun	0.4674	0.4934	25	0.000336	0.000237
black	adjective	0.4674	0.5487	65	0.001168	0.000782
rooms	noun	0.4672	0.5262	42	0.000635	0.000438
stop	verb	0.4657	0.5012	34	0.000458	0.000302
deck	noun	0.4650	0.5388	23	0.000307	0.000206
ragged	adjective	0.4631	0.4915	21	0.000283	0.000186
clerk	noun	0.4629	0.4856	24	0.000330	0.000215
lose	verb	0.4627	0.4820	35	0.000921	0.000714
Japanese	noun	0.4620	0.5158	34	0.000461	0.000304
short	adjective	0.4603	0.5255	53	0.000768	0.000515
distance	noun	0.4594	0.5196	26	0.000380	0.000260
last	adjective	0.4586	0.5690	89	0.002533	0.002173
lobby	noun	0.4582	0.4445	29	0.000439	0.000300
guineas	noun	0.4582	0.4870	54	0.000764	0.000465
travel	noun	0.4575	0.5558	26	0.000373	0.000234
World	noun	0.4565	0.5402	22	0.000309	0.000192
keeping	verb	0.4563	0.5050	24	0.000328	0.000206
fellow	noun	0.4551	0.5116	62	0.001051	0.000735
son	noun	0.4549	0.5028	24	0.000354	0.000215
line	noun	0.4542	0.4804	45	0.000636	0.000423
hotel	noun	0.4539	0.5111	24	0.000351	0.000229
glare	noun	0.4534	0.5484	40	0.000549	0.000377
roads	noun	0.4532	0.5165	22	0.000309	0.000185
office	noun	0.4530	0.4802	20	0.000307	0.000216
Sun	noun	0.4527	0.5347	40	0.000570	0.000348
do	verb	0.4527	0.5794	79	0.001939	0.001550
cannot	adverb	0.4525	0.4894	33	0.000484	0.000310
Being	verb	0.4523	0.5234	20	0.000304	0.000163
took	verb	0.4520	0.4558	89	0.003391	0.002939
shillings	noun	0.4518	0.4955	25	0.000349	0.000212
stiff	adjective	0.4494	0.4823	28	0.000395	0.000232
truck	noun	0.4492	0.4636	20	0.000286	0.000162
satire	noun	0.4490	0.4811	25	0.000371	0.000213
follows	verb	0.4490	0.5551	56	0.000810	0.000471
back	noun	0.4478	0.5449	92	0.003295	0.002880
in	adverb	0.4473	0.5600	78	0.001592	0.001214
encyclopedia	noun	0.4468	0.4716	26	0.000370	0.000210
walking	verb	0.4464	0.5135	44	0.000679	0.000417
spe	adjective	0.4454	0.4844	25	0.000350	0.000213
pound	noun	0.4449	0.5014	51	0.000725	0.000437
telling	verb	0.4442	0.4036	72	0.001430	0.000953
die	verb	0.4435	0.4887	37	0.001134	0.000827
livres	noun	0.4428	0.4582	33	0.000461	0.000282
men	noun	0.4426	0.5629	92	0.003372	0.002990
going	verb	0.4407	0.5673	66	0.001268	0.000916
Post	noun	0.4395	0.5402	40	0.000577	0.000350
have	verb	0.4393	0.5784	92	0.004642	0.004319
come	verb	0.4390	0.4738	86	0.002966	0.002547
trice	noun	0.4379	0.5017	50	0.000742	0.000422
marks	noun	0.4360	0.5777	53	0.000854	0.000582
will	verb	0.4355	0.5579	85	0.002416	0.001891
saying	verb	0.4336	0.5203	37	0.000601	0.000414
bruises	noun	0.4334	0.5468	43	0.000609	0.000346
had	verb	0.4315	0.5184	92	0.016494	0.016047
again	adverb	0.4310	0.5265	82	0.002491	0.001967
jeans	noun	0.4298	0.5579	30	0.000438	0.000257
warning	noun	0.4284	0.4735	32	0.000482	0.000263
at	adverb	0.4277	0.5338	27	0.000438	0.000216
did	verb	0.4258	0.5633	92	0.004974	0.004605
thought	verb	0.4256	0.5470	89	0.002355	0.001866
are	verb	0.4249	0.6047	92	0.004818	0.004350
God	noun	0.4232	0.6304	67	0.001096	0.000634
man	noun	0.4225	0.5090	92	0.003522	0.003136
dealing	verb	0.4223	0.5132	32	0.000462	0.000251
version	noun	0.4220	0.5874	61	0.001117	0.000721
tidings	noun	0.4192	0.5345	21	0.000330	0.000143
drifted	verb	0.4180	0.4787	54	0.000811	0.000430
Duomo	noun	0.4178	0.5638	21	0.000329	0.000142
south	noun	0.4173	0.5558	50	0.000768	0.000430
orders	noun	0.4140	0.4939	21	0.000331	0.000138
sackcloth	noun	0.4097	0.5267	22	0.000350	0.000144
other	adjective	0.4078	0.5102	92	0.004221	0.003772
went	verb	0.4048	0.6016	92	0.004791	0.004236
gotten	verb	0.4029	0.4927	33	0.000508	0.000238
there	adverb	0.4008	0.5392	92	0.007128	0.006358
whole	noun	0.4003	0.5409	77	0.001676	0.001119
kissing	verb	0.4000	0.4818	20	0.000396	0.000136
rubles	noun	0.3922	0.5454	23	0.000376	0.000137
natives	noun	0.3911	0.5000	24	0.000391	0.000140
swollen	adjective	0.3885	0.5057	31	0.000482	0.000234
sterling	noun	0.3859	0.5482	56	0.000877	0.000419
ought	verb	0.3852	0.5295	44	0.000696	0.000326
has	verb	0.3828	0.5877	92	0.003713	0.003186
back	adverb	0.3811	0.5832	92	0.008143	0.007399
home	noun	0.3802	0.6139	86	0.002262	0.001621
then	adverb	0.3793	0.5078	92	0.004694	0.004139
crowns	noun	0.3762	0.5669	35	0.000550	0.000232
twinkling	noun	0.3715	0.5352	23	0.000417	0.000114
was	verb	0.3696	0.5553	92	0.012085	0.011271
disappeared	verb	0.3684	0.5262	77	0.001884	0.001165
when	adverb	0.3660	0.4816	92	0.009822	0.008673
first	adjective	0.3651	0.5513	90	0.003456	0.002769
