word	tag	auc	auc_flipnull	n_models	base_share	aligned_share
腰部	noun	0.6990	0.5640	27	0.000288	0.000482
怎样	adverb	0.6955	0.5675	33	0.007373	0.007695
仍然	adverb	0.6955	0.5779	31	0.000227	0.000239
墓	noun	0.6920	0.5813	30	0.000214	0.000224
好的	verb	0.6920	0.6574	21	0.000200	0.000502
巴黎	noun	0.6903	0.5727	32	0.000241	0.000292
理解	verb	0.6886	0.6194	21	0.000281	0.000960
回到	verb	0.6886	0.6090	34	0.001582	0.002887
手套	noun	0.6886	0.6125	27	0.000270	0.000370
激动	verb	0.6886	0.5986	33	0.000316	0.000255
绝望	verb	0.6886	0.6401	30	0.000244	0.000285
时间	noun	0.6886	0.6453	32	0.000326	0.000522
栅栏	noun	0.6886	0.5917	31	0.000243	0.000253
墙壁	noun	0.6851	0.6955	22	0.000187	0.000341
上下	verb	0.6851	0.6021	29	0.000439	0.000565
哑	noun	0.6851	0.6747	31	0.000227	0.000275
糖	noun	0.6851	0.5709	31	0.000227	0.000276
缓缓	adverb	0.6834	0.6211	28	0.000937	0.001847
起床	verb	0.6834	0.6003	26	0.000240	0.000369
多云	verb	0.6817	0.5882	27	0.000197	0.000246
嘶哑	noun	0.6817	0.5882	26	0.000185	0.000247
远方	noun	0.6817	0.5917	34	0.000747	0.000948
集体	noun	0.6817	0.5035	26	0.000183	0.000195
眼	noun	0.6782	0.5882	31	0.000483	0.000691
废墟	noun	0.6782	0.5640	31	0.000314	0.000411
宽恕	noun	0.6765	0.5830	24	0.000167	0.000192
讲述	verb	0.6765	0.6263	32	0.000635	0.000974
狂喜	noun	0.6747	0.4360	23	0.000155	0.000231
伤害	verb	0.6747	0.5398	34	0.001603	0.002263
开始	verb	0.6747	0.6159	30	0.014623	0.016091
缓慢	verb	0.6747	0.5190	25	0.000280	0.000490
转向	verb	0.6747	0.4533	31	0.000554	0.000986
护士	noun	0.6730	0.5277	30	0.000227	0.000210
出来	verb	0.6713	0.6990	33	0.000483	0.000769
组织	verb	0.6713	0.5502	23	0.000210	0.000286
写下	verb	0.6713	0.6298	21	0.000140	0.000281
地面	noun	0.6713	0.6401	34	0.001033	0.001497
推	verb	0.6713	0.5467	25	0.000412	0.001240
参加	verb	0.6696	0.6557	26	0.000391	0.000551
写作	verb	0.6678	0.5709	25	0.000198	0.000335
摆脱	verb	0.6678	0.6159	31	0.002086	0.003179
抵抗	noun	0.6661	0.6713	22	0.000156	0.000288
安慰	verb	0.6661	0.5536	24	0.000296	0.000526
心脏	noun	0.6661	0.6349	32	0.000525	0.000665
决定	verb	0.6644	0.6125	25	0.000276	0.000510
快乐	verb	0.6644	0.5433	25	0.000182	0.000293
首先	adverb	0.6644	0.4879	27	0.000520	0.000915
下方	noun	0.6644	0.5969	20	0.000155	0.000240
追求	verb	0.6644	0.6263	22	0.000429	0.002045
