word	proj	n_cells
wre	0.777637	1
flower	0.777525	2
co	0.777426	36
bicycles	0.777389	2
ish-brown	0.777167	1
Des	0.777087	1
ta	0.777026	1
300	0.776354	322
38	0.775713	388
abortion	0.775373	2
ish-purple	0.775237	1
plumbing	0.775211	1
head	0.775012	842
cyclists	0.774840	4
bars	0.773525	24
crud	0.773488	2
nurse	0.773283	14
你	0.773128	1
cure	0.772761	20
proper	0.772497	1
puts	0.772451	6
lynched	0.772423	3
hoofs	0.772215	1
dash	0.771960	1
Art	0.771365	1
slaughtered	0.771203	71
ish-grey	0.770746	1
pie	0.770669	1
Dad	0.769850	7
anti-inflammatory	0.769840	1
restaurant	0.768771	70
skid	0.768654	1
Branch	0.768119	2
breastfeed	0.768067	16
Paris	0.768021	35
_____of	0.767700	1
routed	0.767660	1
had	0.767220	13948
until	0.767020	125
lab	0.766968	1
brown	0.766863	39
bar	0.766846	83
med	0.765854	2
thrusted	0.765848	2
car	0.765709	250
beside	0.765249	29
yard	0.764675	92
even	0.764535	3922
pumped	0.763990	148
goats	0.763866	7
sacrificed	0.763317	69
hurl	0.762996	71
ka	0.762797	1
red	0.762583	88
我	0.761631	3
trays	0.761376	6
fought	0.760659	109
Linda	0.760466	6
e	0.760465	16
courtyards	0.759966	1
pictured	0.759905	1
Largo	0.759620	2
7	0.759589	350
butchered	0.759397	3
buck's	0.759354	8
station	0.759262	8
racked	0.759092	30
roast	0.758883	25
arrive	0.758840	16
What's	0.758736	3
roaches	0.758723	1
piastres	0.758723	1
35	0.758414	515
flop	0.758412	12
bury	0.758023	83
die”	0.757744	8
_________	0.757544	179
droveTo	0.756815	1
opposite	0.756792	27
June	0.756562	23
rally	0.756354	4
roadside	0.756025	11
El	0.755570	1
Sunday	0.755341	16
else	0.755291	26
night	0.755141	108
4	0.754888	458
boarding	0.754168	58
villas	0.753821	7
Mecca	0.753517	1
March	0.753015	26
referee	0.752659	2
affection	0.752491	5
chucked	0.752266	51
fall	0.752053	546
sterling	0.752045	13
________of	0.751802	1
regardless	0.751624	2
Union	0.751370	5
trucks	0.751319	4
pounds	0.751136	26
campaigned	0.751121	1
e-to	0.751052	1
Oxford	0.750917	1
poke	0.750907	14
say	0.750856	5408
moose	0.749652	1
scenario	0.749487	2
name	0.749302	132
Live	0.748992	13
judge	0.748450	1
alleyways	0.748354	3
injections	0.748123	2
Hillary	0.747537	28
beat	0.747418	2278
â€™s	0.747180	1
rubbed	0.747074	2182
beheaded	0.747028	2
wentTo	0.747001	1
toast	0.746883	47
Our	0.746195	43
sooner	0.746089	4
$2	0.745721	1
ram	0.745627	8
antidepressant	0.745614	2
slide	0.745613	161
basins	0.745421	7
Saute	0.745116	1
buddy	0.745053	5
atoo	0.744996	3
rotor	0.744706	1
scary	0.744456	11
beak	0.744407	8
HR	0.743994	2
Alyssa	0.743969	1
T	0.743838	8
