lineage,group,depth,ratio_base,ratio_aligned,d
01-ai/Yi-1.5-9B,f11_love_he,1.0,0.887458,0.697784,-0.189674
01-ai/Yi-1.5-9B,f11_loyal,0.125,0.602273,0.807340,0.205067
01-ai/Yi-1.5-9B,f11_loyal,0.25,0.913574,0.742428,-0.171146
01-ai/Yi-1.5-9B,f11_loyal,0.375,0.940093,0.811724,-0.128369
01-ai/Yi-1.5-9B,f11_loyal,0.5,0.978153,1.196093,0.217940
01-ai/Yi-1.5-9B,f11_loyal,0.625,1.005229,0.995165,-0.010064
01-ai/Yi-1.5-9B,f11_loyal,0.75,1.071218,1.056666,-0.014552
01-ai/Yi-1.5-9B,f11_loyal,0.875,0.857996,1.077747,0.219751
01-ai/Yi-1.5-9B,f11_loyal,1.0,0.785127,0.589951,-0.195176
01-ai/Yi-1.5-9B,f11_parent,0.125,0.928228,0.981666,0.053438
01-ai/Yi-1.5-9B,f11_parent,0.25,0.877677,1.058617,0.180940
01-ai/Yi-1.5-9B,f11_parent,0.375,0.919788,1.015221,0.095433
01-ai/Yi-1.5-9B,f11_parent,0.5,0.908593,0.798415,-0.110179
01-ai/Yi-1.5-9B,f11_parent,0.625,0.988719,0.869694,-0.119025
01-ai/Yi-1.5-9B,f11_parent,0.75,1.045589,1.104584,0.058995
01-ai/Yi-1.5-9B,f11_parent,0.875,1.213219,0.981950,-0.231269
01-ai/Yi-1.5-9B,f11_parent,1.0,1.137052,0.983091,-0.153961
01-ai/Yi-1.5-9B,f11_reason,0.125,1.001730,1.031862,0.030133
01-ai/Yi-1.5-9B,f11_reason,0.25,0.801203,0.989857,0.188654
01-ai/Yi-1.5-9B,f11_reason,0.375,0.788183,0.759210,-0.028973
01-ai/Yi-1.5-9B,f11_reason,0.5,1.835162,1.145957,-0.689206
01-ai/Yi-1.5-9B,f11_reason,0.625,0.883076,0.882153,-0.000923
01-ai/Yi-1.5-9B,f11_reason,0.75,0.786322,0.684518,-0.101804
01-ai/Yi-1.5-9B,f11_reason,0.875,0.724014,0.901262,0.177248
01-ai/Yi-1.5-9B,f11_reason,1.0,0.782787,0.915775,0.132988
01-ai/Yi-1.5-9B,f11_sensation,0.125,0.951283,0.962550,0.011267
01-ai/Yi-1.5-9B,f11_sensation,0.25,0.909492,0.904235,-0.005257
01-ai/Yi-1.5-9B,f11_sensation,0.375,0.595975,0.773865,0.177890
01-ai/Yi-1.5-9B,f11_sensation,0.5,0.870183,0.808617,-0.061566
01-ai/Yi-1.5-9B,f11_sensation,0.625,0.682875,0.839995,0.157120
01-ai/Yi-1.5-9B,f11_sensation,0.75,1.708613,3.074473,1.365860
01-ai/Yi-1.5-9B,f11_sensation,0.875,1.514104,2.285446,0.771342
01-ai/Yi-1.5-9B,f11_sensation,1.0,0.721324,0.810353,0.089028
01-ai/Yi-1.5-9B,f11_species,0.125,1.077998,0.825001,-0.252997
01-ai/Yi-1.5-9B,f11_species,0.25,0.702391,0.931748,0.229357
01-ai/Yi-1.5-9B,f11_species,0.375,0.374291,0.864171,0.489881
01-ai/Yi-1.5-9B,f11_species,0.5,0.890443,0.825549,-0.064894
01-ai/Yi-1.5-9B,f11_species,0.625,0.953545,0.694910,-0.258635
01-ai/Yi-1.5-9B,f11_species,0.75,0.974285,0.954896,-0.019389
01-ai/Yi-1.5-9B,f11_species,0.875,0.643573,0.676971,0.033398
